"LAN201803300",27,"$Giants challenged call that Pence was out at 1st; call was overturned - safe on error","FILENAME_TX","LINE_NUMBER_CT"
"LAN201803300",57,"$Dodgers challenged call that McCutchen was safe on pickoff attempt; call was overturned - out on pickoff","2018LAN.EVN.regular.comment.csv",2
"LAN201804130",20,"$Diamondbacks challenged call that Peralta was out at 2nd; call was overturnd - safe at second on throwing error","2018LAN.EVN.regular.comment.csv",3
"LAN201804140",19,"$Taijuan Walker left with injured arm","2018LAN.EVN.regular.comment.csv",4
"LAN201804140",32,"$Dodgers challenged call that Marrero had not passed Avila at first - call was overturned - single, not home run","2018LAN.EVN.regular.comment.csv",5
"LAN201804140",44,"$Logan Forsythe left with injured shoulder","2018LAN.EVN.regular.comment.csv",6
"LAN201804150",71,"$Diamondbacks challenged call that Goldschmidt was picked off first after 1st pitch; call was overturned - safe, no pickoff","2018LAN.EVN.regular.comment.csv",7
"LAN201804220",62,"$Nationals challenged call that Taylor was safe at 2nd; call was overturned - out on caught stealing","2018LAN.EVN.regular.comment.csv",8
"LAN201804220",66,"$Dodgers challenged call that Taylor was safe at 2nd; call was upheld - stolen base","2018LAN.EVN.regular.comment.csv",9
"LAN201804230",1,"$Marlins challenged call that 4th pitch was foul in outfield; call was upheld - foul ball","2018LAN.EVN.regular.comment.csv",10
"LAN201804240",35,"$Dodgers challenged call that Peters was safe at first on error; call was overturned - ground out","2018LAN.EVN.regular.comment.csv",11
"LAN201804250",67,"$Marlins challenged call that Dietrich was out at 1st to complete DP; call was overturned - force out, no DP","2018LAN.EVN.regular.comment.csv",12
"LAN201805090",9,"$Diamondbacks challenged call that Taylor was safe at 2nd on wild pitch; call was overturned - out advancing","2018LAN.EVN.regular.comment.csv",13
"LAN201805110",54,"ej,kempm001,P,porta901,Called third strike $Kemp ejected by HP umpire Porter for arguing called third strike","2018LAN.EVN.regular.comment.csv",14
"LAN201805210",63,"$Dodgers challenged call that second pitch was a ball, claiming it hit Grandal; call was upheld - ball","2018LAN.EVN.regular.comment.csv",15
"LAN201805250",32,"$Dodgers challenged call that Forsythe was out at 2nd; call was upheld - double play","2018LAN.EVN.regular.comment.csv",16
"LAN201805280",67,"$Phillies challenged call that Turner was safe at first; call was upheld - force out, no DP","2018LAN.EVN.regular.comment.csv",17
"LAN201805280",75,"$Hoskins fouled the 2-2 pitch off his face and left game; Florimon completed strikeout charged to Hoskins; after he pinch-hit in the next day's game, it was discovered he had suffered a broken jaw","2018LAN.EVN.regular.comment.csv",18
"LAN201805290",12,"$Kenta Maeda left with an injured hip","2018LAN.EVN.regular.comment.csv",19
"LAN201805310",64,"$Phillies challenged call that Turner was safe at first; call was overturned - ground out","2018LAN.EVN.regular.comment.csv",20
"LAN201806080",9,"$Dodgers challenged call that Puig was out at 1st; call was upheld - out on pickoff","2018LAN.EVN.regular.comment.csv",21
"LAN201806080",40,"$Walker Buehler left with an injured side","2018LAN.EVN.regular.comment.csv",22
