"DET196004220",75,"Debut game for Em Lindbeck"FILENAME_TX","LINE_NUMBER_CT"

"DET196005152",49,"$deflected off Dick Hall's shoulder"1960DET.EVA.regular.comment.csv",2

"DET196005280",55,"ej,tempj101,P,umonf901,Bnech jockeying $Indians Temple, not in game, ejected by HP umpire Umont for complaining that Bunning was throwing at Indians"1960DET.EVA.regular.comment.csv",3

"DET196006150",60,"ej,colar101,P,hurle901,Called third strike Rocky Colavito ejected by HP umpire Eddie Hurley"1960DET.EVA.regular.comment.csv",4

"DET196006150",73,"rain delay"1960DET.EVA.regular.comment.csv",5

"DET196006160",90,"33 minute rain delay"1960DET.EVA.regular.comment.csv",6

"DET196006180",49,"$homerun off the upper deck facade after twice fouling off bunt attempts"1960DET.EVA.regular.comment.csv",7

"DET196006191",73,"ej,courc101,P,hurle901,Balls and strikes Clint Courtney ejected by HP umpire Eddie Hurley"1960DET.EVA.regular.comment.csv",8

"DET196006210",2,"$Red Wilson suffered broken blood vessel"1960DET.EVA.regular.comment.csv",9

"DET196006250",115,"$Harmon Killebrew left with bad left shoulder"1960DET.EVA.regular.comment.csv",10

"DET196007041",3,"ej,minom101,P,runge901,Threw bat at Jim Bunning Minnie Minoso ejected by HP umpire Ed Runge"1960DET.EVA.regular.comment.csv",11

"DET196007160",37,"$Eddie Yost called for interference"1960DET.EVA.regular.comment.csv",12

"DET196007172",60,"$the Tigers disputed this home run, claiming it was foul; fans threw trash onto the field"1960DET.EVA.regular.comment.csv",13

"DET196007190",27,"Debut game for Phil Regan"1960DET.EVA.regular.comment.csv",14

"DET196007210",59,"$Reno Bertoia beaned; carried from the field on a stretcher"1960DET.EVA.regular.comment.csv",15

"DET196008071",71,"26 minute rain delay"1960DET.EVA.regular.comment.csv",16

"DET196008200",43,"ej,asprk101,P,drumc901,Call at 2B ej,appll101,C,drumc901,Call at 2B $Indians Aspromonte and coach Appling ejected by 2B 2B umpire Drummond for arguing Aspromonte was safe on steal attempt as Temple made 3rd safely"1960DET.EVA.regular.comment.csv",17

"DET196009070",14,"$Jim Pagliaroni injured on play at HP"1960DET.EVA.regular.comment.csv",18

"DET196009080",65,"$missed squeeze play"1960DET.EVA.regular.comment.csv",19

"DET196009100",52,"$the ball cleared the top of the RF stands, the third time Mickey Mantle has done this"1960DET.EVA.regular.comment.csv",20

"DET196009112",44,"$onto the roof"1960DET.EVA.regular.comment.csv",21

"DET196009130",51,"Debut game for Ray Barker"1960DET.EVA.regular.comment.csv",22

"DET196009170",87,"Debut game for Dick McAuliffe"1960DET.EVA.regular.comment.csv",23

"DET196009182",37,"Debut game for Stan Johnson"1960DET.EVA.regular.comment.csv",24

