"SEA200604070",64,"$Adrian Beltre called for interference","FILENAME_TX","LINE_NUMBER_CT"
"SEA200604240",0,"$Debut for umpire Mike Muchlinski","2006SEA.EVA.regular.comment.csv",2
"SEA200605050",70,"fan interference","2006SEA.EVA.regular.comment.csv",3
"SEA200605060",19,"ej,hargm001,M,reynj901,Balls and strikes Mariners Manager Mike Hargrove ejected by HP umpire Jim Reynolds","2006SEA.EVA.regular.comment.csv",4
"SEA200605060",54,"ej,goffm801,C,reynj901,Check swing Mariners First Base Coach Mike Goff ejected by HP umpire Jim Reynolds","2006SEA.EVA.regular.comment.csv",5
"SEA200605200",57,"originally scored E4, changed to single next day","2006SEA.EVA.regular.comment.csv",6
"SEA200606300",61,"Mariners send 27 batters to the plate in game for 3rd time in their history","2006SEA.EVA.regular.comment.csv",7
"SEA200607010",1,"Ibanez pulled ball back from over the fence","2006SEA.EVA.regular.comment.csv",8
"SEA200607050",56,"ej,everc001,P,knigb901,Comments about HP umpire $Mariners  Everett ejected by 1B umpire Knight for saying something to the 1B coach about HP umpire Phil Cuzzi","2006SEA.EVA.regular.comment.csv",9
"SEA200607080",50,"ej,hargm001,M,barrt901,Balls and strikes Mariners Manager Mike Hargrove ejected by HP umpire Ted Barrett","2006SEA.EVA.regular.comment.csv",10
"SEA200607210",53,"Red Sox pitcher Kyle Snyder left the game due to an injured leg","2006SEA.EVA.regular.comment.csv",11
"SEA200607230",78,"$the first inside the park homer at Safeco Field","2006SEA.EVA.regular.comment.csv",12
"SEA200607250",41,"ej,hargm001,M,mcclt901,Balls and strikes Mariners Manager Mike Hargrove ejected by HP umpire Tim McClelland","2006SEA.EVA.regular.comment.csv",13
"SEA200608230",32,"fan interference","2006SEA.EVA.regular.comment.csv",14
"SEA200608290",71,"Guerrero's liner struck Soriano on his head behind his right ear and caromed into foul territory on the 3B side; he suffered a concussion and was admitted to the hospital. On September 14, it was announced he was out for rest of season","2006SEA.EVA.regular.comment.csv",15
"SEA200609130",5,"fan interference","2006SEA.EVA.regular.comment.csv",16
