"TOR198504180",0,"ej,raded103,M,barnl901,Balk non-call $Rangers manager Rader ejected by 1B umpire Barnett arguing for a balk sometime in game","FILENAME_TX","LINE_NUMBER_CT"
"TOR198504190",31,"$12 pitches, including 9 straight 2-strike fouls","1985TOR.EVA.regular.comment.csv",2
"TOR198504190",54,"$Tony Fernandez rounded 2B too far and was trapped when RF Jim Dwyer threw to 1B Wayne Gross who followed Fernandez up the line","1985TOR.EVA.regular.comment.csv",3
"TOR198505070",17,"ej,lansc001,P,mckej901,Balls and strikes Carney Lansford ejected by HP umpire Jim McKean","1985TOR.EVA.regular.comment.csv",4
"TOR198505310",42,"ej,mosel001,P,mccol901,Called third strike Lloyd Moseby ejected by HP umpire Larry McCoy","1985TOR.EVA.regular.comment.csv",5
"TOR198506220",43,"ej,cox-b103,M,brinj901,Timing of decision to resume after rain delay $Blue Jays manager Cox ejected by 3B umpire Brinkman when he interceded for one of his players who pestered Brinkman dring the 3 hour 16 minute rain dely abour when would resume","1985TOR.EVA.regular.comment.csv",6
"TOR198506230",28,"ej,bellg001,P,cousd901,Charging mound after HBP $George Bell charged the mound and kicked pitcher Bruce Kison; both benches cleared; Bell then punched catcher Rich Gedman; Bell ejected by HP umpire Derryl Cousins","1985TOR.EVA.regular.comment.csv",7
"TOR198507180",39,"$Dave Kingman called for interference for running into his own batted ball","1985TOR.EVA.regular.comment.csv",8
"TOR198507200",18,"Debut game for Cecil Fielder","1985TOR.EVA.regular.comment.csv",9
"TOR198507250",35,"$Doug DeCinces injured","1985TOR.EVA.regular.comment.csv",10
"TOR198507270",1,"Debut game for Tony Mack","1985TOR.EVA.regular.comment.csv",11
"TOR198507280",7,"$George Bell fell between 2B and 3B","1985TOR.EVA.regular.comment.csv",12
"TOR198508020",2,"ej,valeb102,M,reedr901,Obstruction non-call $Rangers manager Valentine ejected by HP umpire Reed for arguing that pitcher had obstructed McDowell's attempt to return to 1st after line drive","1985TOR.EVA.regular.comment.csv",13
"TOR198508160",69,"White had 2 errors in game... guessing both on this play","1985TOR.EVA.regular.comment.csv",14
"TOR198508180",52,"ej,mcrah001,P,barnl901,Checked swing Hal McRae ejected by 1B umpire Larry Barnett","1985TOR.EVA.regular.comment.csv",15
"TOR198509010",54,"Debut game for John Cerutti","1985TOR.EVA.regular.comment.csv",16
"TOR198509210",10,"$Ted Simmons thought Lloyd Moseby made catch and returned to 1B","1985TOR.EVA.regular.comment.csv",17
"TOR198510050",46,"$Garth Iorg called for interference","1985TOR.EVA.regular.comment.csv",18
"TOR198510060",76,"$Phil Niekro's 300th win (and oldest shut-out pitcher)","1985TOR.EVA.regular.comment.csv",19
