"PHI199204080",20,"$John Kruk called for obstruction, but no error charged","FILENAME_TX","LINE_NUMBER_CT"
"PHI199204080",75,"Debut game for Julio Peguero","1992PHI.EVN.regular.comment.csv",2
"PHI199204110",46,"Change from error to hit on 4/17","1992PHI.EVN.regular.comment.csv",3
"PHI199204110",56,"Debut game for Miguel Batista","1992PHI.EVN.regular.comment.csv",4
"PHI199204120",62,"Debut game for Jeff Grotewold","1992PHI.EVN.regular.comment.csv",5
"PHI199204260",31,"Andy Ashby left with broken bone after being hit on hand by liner","1992PHI.EVN.regular.comment.csv",6
"PHI199205050",25,"Tom Candiotti left after being struck by line drive","1992PHI.EVN.regular.comment.csv",7
"PHI199205050",71,"$infield in","1992PHI.EVN.regular.comment.csv",8
"PHI199205060",24,"ej,websm001,P,rapue901,Balls and strikes (from bench) Mitch Webster ejected by HP umpire Ed Rapuano from the bench arguing balls and strikes to Dave Hansen; Webster was not in the game","1992PHI.EVN.regular.comment.csv",9
"PHI199205110",65,"$Lenny Dykstra missed a diving catch","1992PHI.EVN.regular.comment.csv",10
"PHI199205130",9,"ORIGINALLY SCORED AS HIT","1992PHI.EVN.regular.comment.csv",11
"PHI199205180",23,"$diving catch by Dykstra","1992PHI.EVN.regular.comment.csv",12
"PHI199205260",0,"ej,cox-b103,M,herna901,Balls and strikes Braves manager Bobby Cox ejected by HP umpire Angel Hernandez sometime in game","1992PHI.EVN.regular.comment.csv",13
"PHI199206050",59,"Debut game for Tom Marsh","1992PHI.EVN.regular.comment.csv",14
"PHI199206070",69,"Debut game for Bob Ayrault","1992PHI.EVN.regular.comment.csv",15
"PHI199206090",54,"ej,fregj101,M,westj901,Call at 2B $Phillies manager Fregosi ejected by 2B umpire West for arguing call that SS was off base on force attempt","1992PHI.EVN.regular.comment.csv",16
"PHI199206180",27,"fan interference","1992PHI.EVN.regular.comment.csv",17
"PHI199206290",52,"$Terry Mulholland thought he was out and left the field; he was tagged out in the dugout","1992PHI.EVN.regular.comment.csv",18
"PHI199206300",1,"Debut game for Mike Williams","1992PHI.EVN.regular.comment.csv",19
"PHI199207160",15,"Debut game for Joe Millette","1992PHI.EVN.regular.comment.csv",20
"PHI199207160",73,"fan interference","1992PHI.EVN.regular.comment.csv",21
"PHI199207210",28,"ej,bowal001,C,gormb901,Call at 1B $Phillies coach Bowa ejected by HP umpire Gorman for arguing Hollins was safe at 1st on DP","1992PHI.EVN.regular.comment.csv",22
"PHI199207210",70,"$the ball struck the 3B bag and caromed to Gary Sheffield","1992PHI.EVN.regular.comment.csv",23
"PHI199207290",14,"Debut game for Todd Pratt","1992PHI.EVN.regular.comment.csv",24
"PHI199208070",13,"$the ball struck the 3B bag","1992PHI.EVN.regular.comment.csv",25
"PHI199208181",60,"Wes Chamberlain suffers sprained left ankle on play at 1B","1992PHI.EVN.regular.comment.csv",26
"PHI199208220",0,"Debut for umpire Bob Long","1992PHI.EVN.regular.comment.csv",27
"PHI199208290",17,"$Charlie Leibrandt celebrates 1000th strikeout by rolling ball to dugout; since he did not ask for time Ricky Jordan advanced to 2B on the error","1992PHI.EVN.regular.comment.csv",28
"PHI199208290",43,"$Mark Lemke rounded 1B too far","1992PHI.EVN.regular.comment.csv",29
"PHI199208300",40,"$the ball hit the 3B bag","1992PHI.EVN.regular.comment.csv",30
"PHI199209070",36,"Terry Mulholland left with sprained left knee","1992PHI.EVN.regular.comment.csv",31
"PHI199209110",52,"Mariano Duncan left with strained left shoulder","1992PHI.EVN.regular.comment.csv",32
"PHI199209120",50,"$suicide squeeze","1992PHI.EVN.regular.comment.csv",33
"PHI199209230",24,"Marinao Duncan left with jammed left shoulder","1992PHI.EVN.regular.comment.csv",34
"PHI199209240",87,"ej,lefej101,M,bonig901,Intentional HBP ej,scanb001,P,bonig901,Intentional HBP ej,holld001,P,bonig901,Charging the mound $Dave Hollins was hit on the shoulder and charged the mound; he had been hit in his previous plate appearance; both benches cleared and a 10-minute brawl ensued; HP umpire Greg Bonin thought pitcher Bob Scanlan was thrwoing at Hollins; Hollins, Scanlan and Cubs manager Jim Lefebvre ejected by Bonin","1992PHI.EVN.regular.comment.csv",35
"PHI199209271",44,"$3B umpire Joe West ruled no catch by Stan Javier","1992PHI.EVN.regular.comment.csv",36
