"NYA197404060",49,"$while Graig Nettles was at bat, a ball was called on a spitter"FILENAME_TX","LINE_NUMBER_CT"

"NYA197404070",9,"400 ft"1974NYA.EVA.regular.comment.csv",2

"NYA197404170",54,"$Roy White's throw hit Juan Beniquez on the helmet as he slid into 2B"1974NYA.EVA.regular.comment.csv",3

"NYA197404240",29,"375' HR"1974NYA.EVA.regular.comment.csv",4

"NYA197404240",49,"Bobby Murcer left with strained back"1974NYA.EVA.regular.comment.csv",5

"NYA197404250",60,"Paul Splittorff left with blister on middle finger of pitching hand"1974NYA.EVA.regular.comment.csv",6

"NYA197404270",0,"ej,cardl101,P,brinj901,Arguing call from previous game ej,martb105,M,brinj901,Arguing call from previous game (Kicked dirt on umpire) Leo Cardenas and Rangers Manager Billy Martin ejected by 3B umpire Joe Brinkman before start of game yelling about a call from the previous game"1974NYA.EVA.regular.comment.csv",7

"NYA197404270",16,"Dick Billings injured on slide; torn ligaments in left ankle"1974NYA.EVA.regular.comment.csv",8

"NYA197404282",24,"Debut game for Rick Sawyer"1974NYA.EVA.regular.comment.csv",9

"NYA197404300",62,"440ft"1974NYA.EVA.regular.comment.csv",10

"NYA197405100",10,"$Graig Nettles and Yankees manager Bill Virdon argued heatedly about a foul call on a Nettles drive landing high in the RF stands during this at-bat"1974NYA.EVA.regular.comment.csv",11

"NYA197405100",60,"Debut game for Bob Hansen"1974NYA.EVA.regular.comment.csv",12

"NYA197405121",72,"rain starts"1974NYA.EVA.regular.comment.csv",13

"NYA197405122",54,"33 minute rain delay"1974NYA.EVA.regular.comment.csv",14

"NYA197405122",60,"59 minute rain delay at 6:21; game called at 7:20pm"1974NYA.EVA.regular.comment.csv",15

"NYA197405140",55,"$Rick Dempsey ran off field; forgot the number of outs"1974NYA.EVA.regular.comment.csv",16

"NYA197405150",42,"ej,houkr101,M,odomj901,Balls and strikes Tigers Manager Ralph Houk ejected by HP umpire Jim Odom"1974NYA.EVA.regular.comment.csv",17

"NYA197405150",78,"ej,virdb101,M,odomj901,Balls and strikes Yankees Manager Bill Virdon ejected by HP umpire Jim Odom"1974NYA.EVA.regular.comment.csv",18

"NYA197405262",87,"ej,huntb105,C,anthm901,Call at 3B (Threw hat) ej,weave801,M,anthm901,Call at 3B $Graig Nettles tagged Rich Coggins running from 2B; when the ball came out of Nettles glove, 3B umpire Merle Anthony ruled Coggins out; Orioles Coach Billy Hunter threw his hat and was ejected by Anthony; Orioles Manager Earl Weaver came out to argue and was ejected by Anthony"1974NYA.EVA.regular.comment.csv",19

"NYA197405270",58,"Bill Sudakis injured"1974NYA.EVA.regular.comment.csv",20

"NYA197405270",61,"Jorge Orta out on appeal for missing 2B on single to RF"1974NYA.EVA.regular.comment.csv",21

"NYA197406070",59,"$bench clearing brawl when ball was thrown at Lou Piniella's head"1974NYA.EVA.regular.comment.csv",22

"NYA197406210",50,"Lou Piniella was hit on the left knee"1974NYA.EVA.regular.comment.csv",23

"NYA197406240",46,"20 minute rain delay"1974NYA.EVA.regular.comment.csv",24

"NYA197407120",42,"Elliott Maddox injured on play"1974NYA.EVA.regular.comment.csv",25

"NYA197407141",38,"Dave Pagan left with shoulder problems"1974NYA.EVA.regular.comment.csv",26

"NYA197407160",48,"$Thurman Munson dropped the infield fly"1974NYA.EVA.regular.comment.csv",27

"NYA197407180",52,"425' HR"1974NYA.EVA.regular.comment.csv",28

"NYA197407200",22,"$ball dropped between Roy White and Elliott Maddox; sun trouble"1974NYA.EVA.regular.comment.csv",29

"NYA197408040",3,"ej,coopc001,P,sprim901,Called third strike Cecil Cooper ejected by HP umpire Marty Springstead"1974NYA.EVA.regular.comment.csv",30

"NYA197408170",6,"73 minute rain delay"1974NYA.EVA.regular.comment.csv",31

"NYA197408170",52,"Game called by rain"1974NYA.EVA.regular.comment.csv",32

"NYA197408180",31,"Rudy May injured leg"1974NYA.EVA.regular.comment.csv",33

"NYA197408180",82,"Debut game for Francisco Barrios"1974NYA.EVA.regular.comment.csv",34

"NYA197408200",42,"Danny Thompson injured"1974NYA.EVA.regular.comment.csv",35

"NYA197409021",69,"Sandy Alomar injured on collision with John Briggs, who was called for interference"1974NYA.EVA.regular.comment.csv",36

"NYA197409060",58,"Game called because of rain; 2nd game was cancelled"1974NYA.EVA.regular.comment.csv",37

"NYA197409072",35,"$Graig Nettles called out for an illegal bat; the bat broke on a single to LF and superballs fell out of the barrel; he was called out but not ejected"1974NYA.EVA.regular.comment.csv",38

"NYA197409072",60,"Debut game for Larry Murray"1974NYA.EVA.regular.comment.csv",39

"NYA197409170",0,"Protest=H"1974NYA.EVA.regular.comment.csv",40

"NYA197409170",44,"$Boog Powell dropped pop bunt and then threw to Bobby Grich at 1B for the out on Sandy Alomar; Grich tagged Jim Mason, who stepped off the bag; Yankees protested game"1974NYA.EVA.regular.comment.csv",41

"NYA197409201",57,"ej,cartr101,P,malog901,Called third strike Rico Carty ejected by HP umpire George Maloney"1974NYA.EVA.regular.comment.csv",42

"NYA197409210",67,"ej,ellij101,P,frana901,Called third strike John Ellis ejected by HP umpire Art Frantz"1974NYA.EVA.regular.comment.csv",43

"NYA197409220",45,"$Lou Piniella was called out at 2B but when Remy Hermoso dropped the the ball 2B umpire Jerry Neudecker reversed himself; Piniella stood up and walked away and Hermoso tagged him for the out"1974NYA.EVA.regular.comment.csv",44

"NYA197409242",8,"$Bobby Murcer fell and couldn't get back to 2B"1974NYA.EVA.regular.comment.csv",45

