"MIN200803310",64,"Debut game for Darren O'Day","FILENAME_TX","LINE_NUMBER_CT"
"MIN200804010",56,"Debut game for Brian Bass","2008MIN.EVA.regular.comment.csv",2
"MIN200804010",69,"Debut game for Matt Tolbert","2008MIN.EVA.regular.comment.csv",3
"MIN200804030",24,"Twins pitcher Kevin Slowey left the game due to an injured arm","2008MIN.EVA.regular.comment.csv",4
"MIN200804040",28,"Twins RF Michael Cuddyer left the game due to an injured hand/wrist","2008MIN.EVA.regular.comment.csv",5
"MIN200804050",64,"Debut game for Yasuhiko Yabuta","2008MIN.EVA.regular.comment.csv",6
"MIN200804060",17,"Debut game for Denard Span","2008MIN.EVA.regular.comment.csv",7
"MIN200805020",0,"$Twins managed by Scott Ullger because Ron Gardenhire's brother died","2008MIN.EVA.regular.comment.csv",8
"MIN200805020",45,"$Gomez was hit on the side of the head by the throw","2008MIN.EVA.regular.comment.csv",9
"MIN200805020",45,"Twins center fielder Carlos Gomez left the game due to an injured head","2008MIN.EVA.regular.comment.csv",10
"MIN200805030",0,"$Twins managed by Scott Ullger because Ron Gardenhire's brother died","2008MIN.EVA.regular.comment.csv",11
"MIN200805030",19,"Twins pitcher Scott Baker left the game due to an injured groin","2008MIN.EVA.regular.comment.csv",12
"MIN200805040",0,"$Twins managed by Scott Ullger because Ron Gardenhire's brother died","2008MIN.EVA.regular.comment.csv",13
"MIN200805090",55,"Twins second baseman Brendan Harris left the game due to an injured leg","2008MIN.EVA.regular.comment.csv",14
"MIN200805210",8,"ej,bradm001,P,nelsj901,Called third strike from bench ej,washr001,M,nelsj901,Arguing about Milton Bradley's ejection Rangers designated hitter Milton Bradley ejected by HP umpire Jeff Nelson for yelling from the bench after being called out on strikes; Rangers manager Ron Washington went out to discuss this with Nelson and was also ejected by Nelson","2008MIN.EVA.regular.comment.csv",15
"MIN200806010",40,"Twins pitcher Nick Blackburn left the game due to an injured head","2008MIN.EVA.regular.comment.csv",16
"MIN200806010",53,"Debut game for Scott Patterson","2008MIN.EVA.regular.comment.csv",17
"MIN200806270",42,"Twins second baseman Alexi Casilla left the game due to an injured hand/wrist","2008MIN.EVA.regular.comment.csv",18
"MIN200806300",2,"$Carlos Guillen stared at pitcher Glen Perkins after a pitch was high and inside","2008MIN.EVA.regular.comment.csv",19
"MIN200806300",21,"Tigers first baseman Miguel Cabrera left the game due to an injured leg","2008MIN.EVA.regular.comment.csv",20
"MIN200806300",26,"ej,gardr001,M,hoyej901,Arguing warning to both teams $the first pitch to Joe Mauer was behind him and the second almost hit him; HP umpire James Hoye issued a warning to both teams and Twins manager Ron Gardenhire came out to argue with Hoye, who ejected Gardenhire","2008MIN.EVA.regular.comment.csv",21
"MIN200807180",17,"Debut game for Taylor Teagarden","2008MIN.EVA.regular.comment.csv",22
"MIN200807310",59,"ej,gardr001,M,fostm901,Checked swing $on the third pitch to Denard Span, he was struck by the pitch and awarded first by HP umpire Bill Welke; Span had attempted to bunt and 3B umpire Marty Foster ruled that Span had swung; thus, Span had to come back to the plate and resume his at bat; Twins Manager Ron Gardenhire came out to argue with Foster and was ejected by Foster; Gardenhire argued for several minutes; as he left the field, Gardenhire threw his hat and kicked it about 15 feet into the air; the crowd chanted 'Gardy!, Gardy!' and started throwing hats and other items onto the field; White Sox Manager Ozzie Guillen took his team off the field; Gardenhire said after the game that the hat was excessive but that he hoped the Vikings coach saw it in case he needs a new punter; said Gardenhire: 'I got good height on it!'","2008MIN.EVA.regular.comment.csv",23
"MIN200808010",12,"Debut game for Randy Ruiz","2008MIN.EVA.regular.comment.csv",24
"MIN200808020",0,"Twins Manager Ron Gardenhire served a one-game suspension for his outburst on July 31; 3B Coach Scott Ulger was the acting manager","2008MIN.EVA.regular.comment.csv",25
"MIN200808130",22,"$Brendan Harris called for interference","2008MIN.EVA.regular.comment.csv",26
"MIN200808130",45,"Yankees pitcher Dan Giese left the game due to an injured neck/shoulder","2008MIN.EVA.regular.comment.csv",27
"MIN200808130",46,"umpchange,6,umphome,campa902 umpchange,6,ump1b,rungb901 umpchange,6,ump2b,(None) $Buscher fouled off the third pitch, which struck HP umpire Mike Winters on the mask; after a delay, Winters left the game and 1B umpire Angel Campos moved behind the plate","2008MIN.EVA.regular.comment.csv",28
"MIN200808150",46,"ej,riggj801,M,wegnm901,Catch/no catch call $Suzuki dropped the ball apparently while transfering it from his glove to his throwing hand and 1B umpire Mark Wegner ruled it was not a catch; Mariners Manager Jim Riggleman ejected by Wegner for arguing the call","2008MIN.EVA.regular.comment.csv",29
"MIN200809050",21,"$Alexi Casilla called for interference","2008MIN.EVA.regular.comment.csv",30
