"CLE194004260",62,"$Rollie Hemsley hurt hand on foul ball in top of 7","FILENAME_TX","LINE_NUMBER_CT"
"CLE194005200",15,"$Buddy Rosar injured by foul ball","1940CLE.EVA.regular.comment.csv",2
"CLE194005200",21,"ej,crosf103,P,morig101,Bench jockeying Frankie Crosetti ejected by HP umpire George Moriarty","1940CLE.EVA.regular.comment.csv",3
"CLE194005200",23,"30 minute rain delay","1940CLE.EVA.regular.comment.csv",4
"CLE194006231",67,"$Ted Williams and Doc Cramer collided; Williams knocked unconscious","1940CLE.EVA.regular.comment.csv",5
"CLE194006250",13,"30 minute rain delay","1940CLE.EVA.regular.comment.csv",6
"CLE194006250",17,"$Al Milnar out on appeal for missing 2B","1940CLE.EVA.regular.comment.csv",7
"CLE194006250",48,"Game called for rain","1940CLE.EVA.regular.comment.csv",8
"CLE194006260",30,"$Joe Dimaggio overslid 2B and ran towards 3B","1940CLE.EVA.regular.comment.csv",9
"CLE194007060",33,"ej,dykej101,M,kolll901,Call at 2B $White Sox Manager Dykes ejected by 3B umpire Kolls for arguing that Chapman was out on steal attempt","1940CLE.EVA.regular.comment.csv",10
"CLE194007240",63,"ej,simma101,P,kolll901,Called third strike $Simmons ejected by HP umpire Kolls for arguing called third strike","1940CLE.EVA.regular.comment.csv",11
"CLE194007282",5,"$the ball caromed off Ken Keltner to Loue Boudreau","1940CLE.EVA.regular.comment.csv",12
"CLE194007300",72,"$Fritz Ostermueller rounded 3B too far","1940CLE.EVA.regular.comment.csv",13
"CLE194008180",72,"$Game called for rain after Browns scored 4 in top of tenth; score reverts to 9 innings so tie game","1940CLE.EVA.regular.comment.csv",14
"CLE194009080",76,"ej,camps104,P,summb901,Call at 1B Soup Campbell ejected by 1B umpire Bill Summers","1940CLE.EVA.regular.comment.csv",15
"CLE194009112",51,"Game called for rain","1940CLE.EVA.regular.comment.csv",16
