"PHI192805290",3,"$Bernie Friberg dropped the popup but Walt Lerian covered 3B","FILENAME_TX","LINE_NUMBER_CT"
"PHI192805290",43,"No PBP for remainder of game; used Boston Globe story","1928PHI.EVN.regular.comment.csv",2
"PHI192806010",43,"Last two plays were one.","1928PHI.EVN.regular.comment.csv",3
"PHI192806020",13,"$Frisch wrenched back on Memorial Day per SL Post-Dispatch.","1928PHI.EVN.regular.comment.csv",4
"PHI192806080",44,"ej,thomf106,P,rearb901,Call at 3B Fresco Thompson ejected by 1B Umpire Beans Reardon","1928PHI.EVN.regular.comment.csv",5
"PHI192806080",53,"$Clyde Beck called for interference for running into Bernie Friberg on the base line","1928PHI.EVN.regular.comment.csv",6
"PHI192806190",87,"$Jay Partridge called for interference for running into his own batted ball","1928PHI.EVN.regular.comment.csv",7
"PHI192806200",6,"$3B was left uncovered","1928PHI.EVN.regular.comment.csv",8
"PHI192806252",71,"DWV reconstructed 9th from box","1928PHI.EVN.regular.comment.csv",9
"PHI192807240",14,"ej,kolpr101,P,mccob104,Call at 2B $Kolp ejected for arguing call at 2B","1928PHI.EVN.regular.comment.csv",10
"PHI192807260",66,"$Val Picinich batted out of turn and fouled out; the proper batter, Pinky Pittinger, was called out after Phillies pointed out the mistake","1928PHI.EVN.regular.comment.csv",11
"PHI192807260",70,"$Chuck Dressen left after being spiked by Freddy Leach","1928PHI.EVN.regular.comment.csv",12
"PHI192807270",0,"$Weather: Rainy and warm","1928PHI.EVN.regular.comment.csv",13
"PHI192807270",23,"22 minute rain delay","1928PHI.EVN.regular.comment.csv",14
"PHI192807281",43,"ej,mckeb101,M,jordl901,Arguing balls and strikes","1928PHI.EVN.regular.comment.csv",15
"PHI192807300",14,"ej,wilsj105,P,jordl901,Arguing call at first Wilson ejected by Jorda for arguing call.","1928PHI.EVN.regular.comment.csv",16
"PHI192807310",43,"Steal was continuation of previous play; Phillies left field thinking there were three outs.","1928PHI.EVN.regular.comment.csv",17
"PHI192807310",96,"Ball was hit off the scoreboard.","1928PHI.EVN.regular.comment.csv",18
"PHI192808061",26,"ej,englw101,P,mages101,Call at HP $English ejected by umpire Magee for arguing Hurst was out at home","1928PHI.EVN.regular.comment.csv",19
"PHI192809032",76,"$Bob O'Farrell left with injured finger when struck by foul ball","1928PHI.EVN.regular.comment.csv",20
"PHI192809032",79,"Reconstructed 9th from box score","1928PHI.EVN.regular.comment.csv",21
"PHI192809041",70,"$Denny Sothern & Travis Jackson collided","1928PHI.EVN.regular.comment.csv",22
"PHI192809050",66,"$Heinie Sand left with injured hand hurt by Mel Ott's liner","1928PHI.EVN.regular.comment.csv",23
"PHI192809081",38,"$Deitrick was injured when Clarkson's throw to third base hit him in the head","1928PHI.EVN.regular.comment.csv",24
"PHI192809081",84,"ej,taylz101,P,pfirc901,Balls and strikes $Taylor was ejected by umpire Pfirman for arguing balls and strikes","1928PHI.EVN.regular.comment.csv",25
"PHI192809180",12,"DWS: possibly GDP not LDP","1928PHI.EVN.regular.comment.csv",26
"PHI192809200",55,"ej,bushd102,M,morac102,Call at 3B ej,scotp101,P,mages101,Call at 3B $Pirates manager Bush ejected by HP umpire Moran and Pirates Scott ejected by base umpire Magee for arguing that Waner was safe at 3rd; on grounder to first baseman, Adams trapped between 3rd and home; during rundown on Adams Lloyd Waner  attempted to move up to third base; Adams was able to return safely to 3rd but Waner was tagged out between 2nd and 3rd","1928PHI.EVN.regular.comment.csv",27
"PHI192809240",26,"$two runners at 3rd base","1928PHI.EVN.regular.comment.csv",28
"PHI192809270",0,"$The Reds put all 4 infielders on the right side of the field each time Cy Williams batted","1928PHI.EVN.regular.comment.csv",29
