"ALS201907090",51,"Mound Visit"FILENAME_TX","LINE_NUMBER_CT"

"ALS201907090",59,"Mound Visit"2019AS.EVE.asg.comment.csv",2

"ALS201907090",66,"Mound Visit"2019AS.EVE.asg.comment.csv",3

