"KC1195607240",11,"$Tim Thompson and Vic Power nearly fight in dugout arguing about who should have caught Jimmy Piersall's popup in top of second","FILENAME_TX","LINE_NUMBER_CT"
"KC1195607240",26,"PBP from Boston Globe ends here, rest is deduced","1956.EDA.regular.comment.csv",2
"KC1195607240",50,"Buddin late covering 2nd","1956.EDA.regular.comment.csv",3
"KC1195607240",52,"$squeeze that surprised Red Sox so much no one covered 1B","1956.EDA.regular.comment.csv",4
"KC1195609180",23,"PBP from Boston Globe ends here, rest is deduced","1956.EDA.regular.comment.csv",5
"KC1195609190",19,"PBP from Boston Globe ends here, rest is deduced","1956.EDA.regular.comment.csv",6
