"CHN195604222",64,"$game called due to darkness"FILENAME_TX","LINE_NUMBER_CT"

"CHN195605020",130,"Play by play data ends here, rest of game deduced from newspapers"1956CHN.EVN.regular.comment.csv",2

"CHN195605061",17,"$HP umpire Vic Delmore called Dick Groat out but 1B umpire Jocko Conlan overruled"1956CHN.EVN.regular.comment.csv",3

"CHN195605062",73,"$game halted due to darkness"1956CHN.EVN.regular.comment.csv",4

"CHN195605120",47,"ej,hutcf101,M,goetl901,Trap vs catch $Cardinals manager Hutchinson ejected by 2B umpire Goetz for arguing that Irvin's double had been caught, not trapped"1956CHN.EVN.regular.comment.csv",5

"CHN195605131",1,"DWS: bogus FLE2, but Landrith needs error this game"1956CHN.EVN.regular.comment.csv",6

"CHN195605132",76,"$game called due to darkness"1956CHN.EVN.regular.comment.csv",7

"CHN195605301",6,"ej,meyer101,P,engeb902,Intentional HBP ej,brutb101,P,engeb902,Charging mound $Pitcher Meyer and Bruton ejected by HP umpire Engeln after Bruton was hit on head; Bruton charged mound benches cleared ejected by HP umpire Bill Engeln"1956CHN.EVN.regular.comment.csv",8

"CHN195606010",36,"$Jim Brosnan hurt arm pitching to Carl Furillo"1956CHN.EVN.regular.comment.csv",9

"CHN195606060",21,"$Dale Long injured leg sliding into 3B"1956CHN.EVN.regular.comment.csv",10

"CHN195606060",51,"$Frank Thomas pulled leg muscle rounding 3B in 3rd inning"1956CHN.EVN.regular.comment.csv",11

"CHN195606070",69,"$Lee Walls out on appeal for missing 3B"1956CHN.EVN.regular.comment.csv",12

"CHN195606080",38,"ej,hemus101,P,dixoh901,Interference non-call ej,rober102,P,dixoh901,Interference non-call Robin Roberts and Solly Hemus ejected by 1B umpire Hal Dixon arguing that Vito Valentinetti ran out of the baseline causing the throwing error"1956CHN.EVN.regular.comment.csv",13

"CHN195606290",20,"Eddie Mathews left a sore neck"1956CHN.EVN.regular.comment.csv",14

"CHN195606290",71,"possible difference on RBI for Hoak"1956CHN.EVN.regular.comment.csv",15

"CHN195607012",6,"$Vito Valentinetti took the throw from the outfield at HP and made a a bad throw to 3B attempting to get Henry Aaron; Andy Pafko had stopped at 2B; Joe Adcock out for passing Pafko, who was then caught in a rundown"1956CHN.EVN.regular.comment.csv",16

"CHN195607030",39,"$the ball was picked up in the bullpen by a player who was called for interference, allowing Hal Smith to score"1956CHN.EVN.regular.comment.csv",17

"CHN195607121",7,"last two plays really one play"1956CHN.EVN.regular.comment.csv",18

"CHN195607121",20,"Into LF bleachers"1956CHN.EVN.regular.comment.csv",19

"CHN195607121",49,"Into LCF seats"1956CHN.EVN.regular.comment.csv",20

"CHN195607121",59,"Mazeroski: good play on low throw from Thomas"1956CHN.EVN.regular.comment.csv",21

"CHN195607122",57,"officials: not K for Chiti"1956CHN.EVN.regular.comment.csv",22

"CHN195607150",18,"ej,snidd101,P,jackb901,Call at 2B ej,crair101,P,jackb901,Call at 2B $Duke Snider and Roger Craig ejected by 2B umpire Bill Jackowski"1956CHN.EVN.regular.comment.csv",23

"CHN195607160",29,"$Sandy Amoros hurt during stolen base"1956CHN.EVN.regular.comment.csv",24

"CHN195607160",44,"ej,bakeg101,P,gorea901,Called third strike (Threw bat) Gene Baker ejected by HP umpire Artie Gore"1956CHN.EVN.regular.comment.csv",25

"CHN195607160",50,"following plays wiped out: Gilliam BBBCCC  K/C Reese BFBBX  D8/78/L Snider CBCBC  K/C Furillo BF rain game called for rain at 3:18"1956CHN.EVN.regular.comment.csv",26

"CHN195607200",55,"Jim Brosnan left with recurrence of muscle soreness in his right shoulder"1956CHN.EVN.regular.comment.csv",27

"CHN195607222",51,"$Daryl Spencer's swing at strike three struck HP umpire Hal Dixon on the side; after a short delay Dixon stayed in the game"1956CHN.EVN.regular.comment.csv",28

"CHN195608122",70,"$Game called for darkness; to be made up on 9-25"1956CHN.EVN.regular.comment.csv",29

"CHN195608152",57,"$game called for darkness"1956CHN.EVN.regular.comment.csv",30

"CHN195608160",65,"ej,baile101,P,engeb902,Balls and strikes Ed Bailey ejected by HP umpire Bill Engeln"1956CHN.EVN.regular.comment.csv",31

"CHN195608231",50,"60 minute rain delay"1956CHN.EVN.regular.comment.csv",32

"CHN195608232",45,"TSN says Mueller PR in 5th but officials for Rhodes and Mueller indicates this walk is Mueller's"1956CHN.EVN.regular.comment.csv",33

"CHN195608232",72,"$Game called due to darkness"1956CHN.EVN.regular.comment.csv",34

"CHN195608282",68,"$Game called due to darkness"1956CHN.EVN.regular.comment.csv",35

"CHN195608290",3,"$Duke Snider rounded 1B too far as Jim Gilliam held 3B; Walt Moryn threw to Harry Chiti, who tried to throw to Dee Fondy to get Snider"1956CHN.EVN.regular.comment.csv",36

"CHN195608290",67,"$Dee Fondy missed cutoff of Pete Whisenant's throw"1956CHN.EVN.regular.comment.csv",37

"CHN195608300",23,"$Harry Chiti left with broken knuckle from pitch"1956CHN.EVN.regular.comment.csv",38

"CHN195608300",61,"$Carl Furillo's throw hit Hobie Landrith"1956CHN.EVN.regular.comment.csv",39

"CHN195609070",48,"$Ernie Banks waited to see if the ball would be caught"1956CHN.EVN.regular.comment.csv",40

"CHN195609252",67,"$game called for darkness"1956CHN.EVN.regular.comment.csv",41

