"SDN198105200",30,"umpchange,4,ump1b,mcshj901 umpchange,4,ump2b,(None) $1B umpire Paul Pryor hit with line drive foul and left the game; John McSherry moved from 2B to 1B","FILENAME_TX","LINE_NUMBER_CT"
"SDN198108100",37,"$pHIL Niekro aggravated groin muscle injury","1981SDN.EVN.regular.comment.csv",2
"SDN198108270",82,"ej,portd001,P,engeb901,Call at 1B ej,herzw101,M,engeb901,Call at 1B Darrell Porter and Cardinals Manager Whitey Herzog ejected by 1B umpire Bob Engel","1981SDN.EVN.regular.comment.csv",3
"SDN198109020",54,"Debut game for Eric Show","1981SDN.EVN.regular.comment.csv",4
"SDN198109030",52,"Luis Tiant left with blister on right foot","1981SDN.EVN.regular.comment.csv",5
"SDN198109040",74,"Debut game for Al Wiggins","1981SDN.EVN.regular.comment.csv",6
"SDN198109060",49,"Debut game for Steve Fireovid","1981SDN.EVN.regular.comment.csv",7
"SDN198109150",42,"ej,lasot101,M,pryop901,Balls and strikes $Ozzie Smith stole 2B on a pitch that was eventually called ball four by HP umpire Paul Pryor; when Tommy Lasorda changed pitchers he yelled at and was ejected by Pryor","1981SDN.EVN.regular.comment.csv",8
"SDN198109150",45,"$7 consecutive hits for Kennedy","1981SDN.EVN.regular.comment.csv",9
"SDN198109160",34,"$sixth consecutive hit for Joe Lefebvre","1981SDN.EVN.regular.comment.csv",10
"SDN198109230",9,"Dave Collins reinjured a pulled groin in top of inning","1981SDN.EVN.regular.comment.csv",11
"SDN198109230",69,"$Juan Bonilla called for interference at 2B","1981SDN.EVN.regular.comment.csv",12
