"ATL201404270",8,"replay,1,uptoj001,ATL,millb901,ATL02,,N,M,CIN,A ej,pricb801,M,millb901,Replay ruling ej,bailh001,P,gibsg901,Replay ruling $when B.J. Upton was called safe at 1B on a pick off attempt, Reds manager Bryan Price challenged the ruling; the call was upheld by replay; Price came onto the field to ask about the ruling and was told by crew chief Bill Miller to go back to the dugout; when Price came onto the field anyway, he was ejected by Miller; Homer Bailey was ejected from the bench by 1B umpire Greg Gibson","2014ATL.EVN.regular.comment.csv",14
"ATL201405050",48,"replay,6,moliy001,SLN,welkt901,ATL02,,Y,M,ATL,C $the ball caromed off Aaron Harang's leg toward 3B; Chris Johnson picked up the ball and stretched to touch the bag with his foot; when Peter Bourjos was called safe, Braves manager Fredi Gonzalez challenged the ruling; it was overturned by replay","2014ATL.EVN.regular.comment.csv",15
"ATL201405100",41,"Braves left fielder Justin Upton left the game due to an injured back","2014ATL.EVN.regular.comment.csv",16
"ATL201405200",34,"replay,4,simma001,ATL,culbf901,ATL02,,Y,M,ATL,A $when Andrelton Simmons was called out at 2B, Braves manager Fredi Gonzalez challenged the ruling; it was overturned by replay","2014ATL.EVN.regular.comment.csv",17
"ATL201405220",16,"replay,2,simma001,ATL,culbf901,ATL02,,Y,M,MIL,C $when Chris Johnson was called safe at 2B, Brewers manager Ron Roenicke challenged the ruling; it was overturned by replay","2014ATL.EVN.regular.comment.csv",18
"ATL201405220",35,"Brewers right fielder Ryan Braun left the game due to an injured side","2014ATL.EVN.regular.comment.csv",19
"ATL201405220",60,"$Zake Duke was warming up in the Brewers bullpen when manager Ron Roenicke asked for a new pitcher; Duke came out of the bullpen but was sent back and Will Smith came into the game; the umpires huddled and Braves manager Fredi Gonzalez talked with crew chief Fieldin Culbreth; Smith was only allowed eight warmup pitches; Culbreth talked with the replay officials in New York to confirm the number of warmup pitches","2014ATL.EVN.regular.comment.csv",20
"ATL201405220",61,"replay,7,doumr001,ATL,culbf901,ATL02,,N,U,,K","2014ATL.EVN.regular.comment.csv",21
"ATL201405220",62,"replay,7,heywj001,ATL,culbf901,ATL02,,Y,M,ATL,C $when Ryan Doumit was called out at 2B after a glove flip of the ball by Jeff Bianchi, Braves manager Fredi Gonzalez challenged the ruling; the flip pulled SS Jean Segura off the bag so the challenge was allowed; the call was overturned by replay","2014ATL.EVN.regular.comment.csv",22
"ATL201405220",69,"replay,8,johnc003,ATL,culbf901,ATL02,,Y,M,ATL,T $when Chris Johnson was ruled out on a good catch in CF, Braves manager Fredi Gonzalez challenged the ruling; it was overturned by replay","2014ATL.EVN.regular.comment.csv",23
"ATL201405230",9,"replay,2,arenn001,COL,cedeg901,ATL02,,N,M,ATL,A $when Nolan Arenado was called safe at 2B, Braves manager Fredi Gonzalez challenged the ruling; the call was upheld by replay","2014ATL.EVN.regular.comment.csv",24
"ATL201405230",14,"Rockies third baseman Nolan Arenado left the game due to an injured hand","2014ATL.EVN.regular.comment.csv",25
"ATL201405230",55,"replay,7,lemad001,COL,cedeg901,ATL02,,Y,M,COL,A $when Jordan Pacheco was called out at 1B on a pickoff, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2014ATL.EVN.regular.comment.csv",26
"ATL201405240",52,"replay,7,blacc001,COL,cedeg901,ATL02,,Y,M,COL,A $when Charlie Culberson was called out at HP, Rockies manager Walt Weiss challenged the ruling; the call was overturned by replay","2014ATL.EVN.regular.comment.csv",27
"ATL201405260",40,"$Ramiro Pena called for interference for running into his own bunt","2014ATL.EVN.regular.comment.csv",28
"ATL201405270",33,"replay,4,rossd001,BOS,davib902,ATL02,,N,M,ATL,A $when Grady Sizemore was called safe at 3B, Braves manager Fredi Gonzalez challenged the ruling; the call was upheld by replay","2014ATL.EVN.regular.comment.csv",29
"ATL201405270",72,"Braves shortstop Andrelton Simmons left the game due to an injured ankle","2014ATL.EVN.regular.comment.csv",30
"ATL201406040",36,"$Endy Chavez called for interference for running into his own bunt","2014ATL.EVN.regular.comment.csv",31
"ATL201406040",71,"replay,9,uptoj001,ATL,barrt901,ATL02,,N,M,ATL,C $when Justin Upton was called out at 1B, Braves manager Fredi Gonzalez challenged the ruling; the call was upheld by replay","2014ATL.EVN.regular.comment.csv",32
"ATL201406130",16,"Braves right fielder Jason Heyward left the game due to an injured hand","2014ATL.EVN.regular.comment.csv",33
"ATL201406140",0,"$bench coach Dino Ebel ran the Angels because manager Mike Scioscia left to attend Bob Welch's funeral","2014ATL.EVN.regular.comment.csv",34
"ATL201406150",25,"Angels shortstop Erick Aybar left the game due to an injured hip","2014ATL.EVN.regular.comment.csv",35
"ATL201406160",13,"replay,2,johnc003,ATL,culbf901,ATL02,,Y,M,ATL,C $Chase Utley's throw to 1B was wide and Ryan Howard's foot came off the bag; Howard tried to tag Chris Johnson, who was ruled safe by 1B umpire Manny Gonzalez; HP umpire Fieldin Culbreth overruled Gonzalez and called Johnson out; Braves manager Fredi Gonzalez challenged the ruling; the call was overturned by replay and Johnson was safe","2014ATL.EVN.regular.comment.csv",36
"ATL201406300",27,"replay,3,simma001,ATL,scotd901,ATL02,,Y,M,NYN,A $when B.J. Upton was called safe at 2B, Mets manager Terry Collins challenged the ruling; the call was overturned by replay","2014ATL.EVN.regular.comment.csv",37
"ATL201406300",58,"originally scored as single, changed to error on 07-03-2014","2014ATL.EVN.regular.comment.csv",38
"ATL201407010",65,"Braves second baseman Tommy La Stella left the game due to an injured foot","2014ATL.EVN.regular.comment.csv",39
"ATL201407050",6,"replay,1,hilla001,ARI,nelsj901,ATL02,,Y,M,ARI,C $when Aaron Hill was called out at 1B, D-Backs manager Kirk Gibson challenged the ruling; the call was overturned by replay","2014ATL.EVN.regular.comment.csv",40
"ATL201407180",63,"originally scored as DP, but ball eluded catcher, constituting a misplay and DP was removed on 07-22-2014","2014ATL.EVN.regular.comment.csv",41
"ATL201407190",56,"replay,7,johnc003,ATL,davig901,ATL02,,N,M,PHI,A $when Chris Johnson was called safe at 2B, Phillies manager Ryne Sandberg challenged the ruling; the call was upheld by replay","2014ATL.EVN.regular.comment.csv",42
"ATL201407230",21,"originally E9 on advance to 3rd; error removed on 07-31-2014","2014ATL.EVN.regular.comment.csv",43
"ATL201407230",65,"$infield in","2014ATL.EVN.regular.comment.csv",44
"ATL201407230",66,"ej,redmm001,M,porta901,Call at 3B $after the Marlins failed to tag Jason Heyward; Marlins Manager Mike Redmond argued that Heyward ran out of the baseline; Redmond ejected by 3B umpire Alan Porter","2014ATL.EVN.regular.comment.csv",45
