"TBA199905010",56,"ej,moehb001,P,barnl901,Throwing doctored baseball Tigers pitcher Brian Moehler ejected by HP Umpire Larry Barnett for scuffing the baseball","FILENAME_TX","LINE_NUMBER_CT"
"TBA199905050",1,"Debut game for Ryan Rupe","1999TBA.EVA.regular.comment.csv",2
"TBA199906260",68,"ej,fregj101,M,koscg901,Balls and strikes $Blue Jays manager Fregosi ejected by HP umpire Kosc for arguing balls and strikes while Bush at bat","1999TBA.EVA.regular.comment.csv",3
"TBA199907250",51,"ej,rothl101,M,reynj901,Call at 1B Devil Rays manager Larry Rothschild ejected by 1B umpire Jim Reynolds","1999TBA.EVA.regular.comment.csv",4
"TBA199907280",59,"ej,collt801,M,evanj901,Call at 2B Angels manager Terry Collins ejected by 2B umpire Jim Evans","1999TBA.EVA.regular.comment.csv",5
"TBA199908060",48,"ej,rothl101,M,onorb901,Balls and strikes $Devil Rays manager Rothschild ejected by HP umpire O'Nora for arguing balls and strikes while Vizquel at bat","1999TBA.EVA.regular.comment.csv",6
"TBA199908070",1,"Debut game for Dave Roberts","1999TBA.EVA.regular.comment.csv",7
"TBA199909120",47,"Debut game for Jeff Sparks","1999TBA.EVA.regular.comment.csv",8
"TBA199909150",69,"Debut game for Dennis Stark","1999TBA.EVA.regular.comment.csv",9
