"PHA195004210",0,"$the Athletics honored Connie Mack in his fiftieth year of managing the team","FILENAME_TX","LINE_NUMBER_CT"
"PHA195004210",16,"$Pete Suder called for interference by HP umpire Art Paparella for throwing his bat in front of the ball as it rolled down the 3B line","1950PHA.EVA.regular.comment.csv",2
"PHA195004210",25,"rain started","1950PHA.EVA.regular.comment.csv",3
"PHA195004210",31,"rain stopped","1950PHA.EVA.regular.comment.csv",4
"PHA195004210",70,"Debut game for Harry Byrd","1950PHA.EVA.regular.comment.csv",5
"PHA195004231",53,"Debut game for Bob Scherbarth","1950PHA.EVA.regular.comment.csv",6
"PHA195004232",65,"$game called for darkness","1950PHA.EVA.regular.comment.csv",7
"PHA195004250",58,"Joost hits foul off right thigh and leaves game after the AB","1950PHA.EVA.regular.comment.csv",8
"PHA195004250",70,"SS Wahl but can't hold line drive for sure DP","1950PHA.EVA.regular.comment.csv",9
"PHA195005281",60,"$Eddie Joost out on appeal for missing 2B","1950PHA.EVA.regular.comment.csv",10
"PHA195005282",65,"$Game called for curfew","1950PHA.EVA.regular.comment.csv",11
"PHA195005301",50,"$Bobby Shantz bruised finger on play at 1B","1950PHA.EVA.regular.comment.csv",12
"PHA195006280",21,"$onto the roof","1950PHA.EVA.regular.comment.csv",13
"PHA195006280",62,"$onto the roof of a house across the street","1950PHA.EVA.regular.comment.csv",14
"PHA195007172",7,"ej,dykej101,C,mcgob901,Balls and strikes $Athletics coach Dykes ejected by HP umpire McGowan for arguing that catcher Robinson should be ejected for arguing balls and strikes","1950PHA.EVA.regular.comment.csv",15
"PHA195007172",51,"ej,robia101,P,mcgob901,Balls and strikes Aaron Robinson ejected by HP umpire Bill McGowan","1950PHA.EVA.regular.comment.csv",16
"PHA195008180",3,"Ball hit light tower and bounced back into field; in play by AL rules then","1950PHA.EVA.regular.comment.csv",17
"PHA195008202",21,"Phila. Evening Bulletin describes this play as Fain retrieves Joost's wild throw Paper does not say in which inning or game of the DH, but need out on bases","1950PHA.EVA.regular.comment.csv",18
"PHA195008202",46,"Wind blows pop fly away from Rizzuto","1950PHA.EVA.regular.comment.csv",19
"PHA195008232",21,"Off LF balcony facade","1950PHA.EVA.regular.comment.csv",20
"PHA195008232",37,"Into upper LF pavilion","1950PHA.EVA.regular.comment.csv",21
"PHA195008232",64,"Over RF wall","1950PHA.EVA.regular.comment.csv",22
"PHA195008232",71,"Texas Leaguer","1950PHA.EVA.regular.comment.csv",23
"PHA195008271",1,"Debut game for Ray Herbert","1950PHA.EVA.regular.comment.csv",24
"PHA195008280",11,"$Sam Chapman out on appeal for missing 2B on apparent triple","1950PHA.EVA.regular.comment.csv",25
"PHA195009020",7,"Pesky: great running catch","1950PHA.EVA.regular.comment.csv",26
"PHA195009020",18,"It rained from the 3rd inning through the 5th but not hard enough to stop the game.","1950PHA.EVA.regular.comment.csv",27
"PHA195009020",30,"McCosky was pulled after making two bad plays in the field","1950PHA.EVA.regular.comment.csv",28
"PHA195009020",39,"Parnell's throw hit Valo; Doerr retrieved it and threw to Dropo to get Valo who had turned toward 2B.","1950PHA.EVA.regular.comment.csv",29
"PHA195009020",45,"Doerr: leaping catch","1950PHA.EVA.regular.comment.csv",30
"PHA195009020",61,"Pesky: neat play","1950PHA.EVA.regular.comment.csv",31
"PHA195009020",71,"Stephens: nice leaping catch","1950PHA.EVA.regular.comment.csv",32
"PHA195009020",75,"Through Zarilla","1950PHA.EVA.regular.comment.csv",33
"PHA195009252",37,"Hitchcock lets CF Chapman's throw go through him","1950PHA.EVA.regular.comment.csv",34
"PHA195009252",55,"Play-by-play accounts end, rest is deduced","1950PHA.EVA.regular.comment.csv",35
