"CHA200704020",66,"Debut game for Gustavo Molina"FILENAME_TX","LINE_NUMBER_CT"

"CHA200704050",11,"White Sox pitcher Mark Buehrle left the game due to an injured arm"2007CHA.EVA.regular.comment.csv",2

"CHA200704080",1,"Debut game for John Danks"2007CHA.EVA.regular.comment.csv",3

"CHA200704180",19,"ej,hairj002,P,hoyej901,call at 1B Rangers left fielder Jerry Hairston ejected by 1B umpire James Hoye"2007CHA.EVA.regular.comment.csv",4

"CHA200704250",40,"Debut game for Andy Gonzalez"2007CHA.EVA.regular.comment.csv",5

"CHA200704270",5,"$Thome aggravated side injured earlier in week, left after hitting foul ball"2007CHA.EVA.regular.comment.csv",6

"CHA200704270",66,"Angels center fielder Garret Anderson left the game due to an injured groin"2007CHA.EVA.regular.comment.csv",7

"CHA200704290",40,"Angels shortstop Maicer Izturis left the game due to an injured leg"2007CHA.EVA.regular.comment.csv",8

"CHA200704290",52,"ej,sciom001,M,dowda901,Call at 3B Angels Manager Mike Scioscia ejected by HP umpire Adam Dowdy"2007CHA.EVA.regular.comment.csv",9

"CHA200705210",46,"ej,dye-j001,P,guccc901,Called third strike White Sox right fielder Jermaine Dye ejected by HP umpire Chris Guccione"2007CHA.EVA.regular.comment.csv",10

"CHA200705270",5,"White Sox third baseman Pablo Ozuna left the game due to an injured leg"2007CHA.EVA.regular.comment.csv",11

"CHA200706060",1,"fan interference"2007CHA.EVA.regular.comment.csv",12

"CHA200706070",69,"ej,piera001,P,davib902,Balls and strikes White Sox catcher A. J. Pierzynski ejected by HP umpire Bob Davidson for pounding his bat on the plate after striking out; he then flipped his helmet back towards the plate"2007CHA.EVA.regular.comment.csv",13

"CHA200706070",82,"$Joe Torre's 2000th win as manager"2007CHA.EVA.regular.comment.csv",14

"CHA200706080",26,"ej,berkl001,P,holbs901,Called third strike ej,garnp001,M,holbs901,Called third strike $Berkman and Astros manager Garner ejected by HP umpire Holbrook for arguing called third strike"2007CHA.EVA.regular.comment.csv",15

"CHA200706080",47,"$Owens left the game due to an injured leg"2007CHA.EVA.regular.comment.csv",16

"CHA200706080",64,"Pence left the game due to an injured leg"2007CHA.EVA.regular.comment.csv",17

"CHA200706180",40,"White Sox right fielder Jermaine Dye left the game due to an injured leg"2007CHA.EVA.regular.comment.csv",18

"CHA200706190",20,"Marlins pitcher Dontrelle Willis left the game due to an injured arm"2007CHA.EVA.regular.comment.csv",19

"CHA200706200",57,"Previous play is really 1E6"2007CHA.EVA.regular.comment.csv",20

"CHA200706220",2,"$Great diving catch by Erstad, but injured ankle and was batted for in bottom of first; this was his first game back from the DL after three weeks"2007CHA.EVA.regular.comment.csv",21

"CHA200706240",62,"ej,guilo001,M,westj901,Obstruction call $Pie stopped at 3B, Pagan was caught between 2B and 3B as DeRosa headed to 2B; Uribe tagged out Pagan and then threw home where Pie was tagged out in a rundown; the umpires conferred and ruled that Uribe obstructed Pagan as he tried to go from 1B to 3B; the runners were put back on the bases and White Sox Mgr Ozzie Guillen calmly argued the play and told umpire crew chief Joe West: 'You are just going to have to run me.' Guillen was ejected by West"2007CHA.EVA.regular.comment.csv",22

"CHA200707040",1,"Debut game for Garrett Olson"2007CHA.EVA.regular.comment.csv",23

"CHA200707062",10,"$Twins catcher Mike Redmond left the game due to an injured head after being struck on the side of the head by Jim Thome's bat; Redmond received seven stitches at the ballpark; the bat also struck HP umpire Randy Marsh, who remained in the game"2007CHA.EVA.regular.comment.csv",24

"CHA200707062",65,"fan interference"2007CHA.EVA.regular.comment.csv",25

"CHA200707230",36,"$Granderson was standing off the bag and failed to get back when Uribe stopped the ball in the hole"2007CHA.EVA.regular.comment.csv",26

"CHA200707242",53,"White Sox catcher Toby Hall left the game due to an injured head"2007CHA.EVA.regular.comment.csv",27

"CHA200707270",4,"$McDonald and Clayton did not realize that McDonald was in the lineup as the starting shortstop. When Clayton took the field, he became an unannounced sub and McDonald was not available for the rest of the game. Toronto bench coach Ernie Whitt was demoted to first base coach over this incident."2007CHA.EVA.regular.comment.csv",28

"CHA200707280",17,"Debut game for Danny Richar"2007CHA.EVA.regular.comment.csv",29

"CHA200708080",17,"Debut game for Asdrubal Cabrera"2007CHA.EVA.regular.comment.csv",30

"CHA200708080",45,"Indians designated hitter Travis Hafner left the game due to an injured knee"2007CHA.EVA.regular.comment.csv",31

"CHA200708200",4,"umpchange,1,ump2b,dowda901 umpchange,1,ump3b,cousd901"2007CHA.EVA.regular.comment.csv",32

"CHA200708200",35,"umpchange,5,ump3b,marqa901 $Umpire Alfonso Marquez' flight from LA was very late, so Derryl Cousins, who had worked 1B in the afternoon Cubs game, filled in until Marquez arrived"2007CHA.EVA.regular.comment.csv",33

"CHA200708210",43,"White Sox left fielder Scott Podsednik left the game due to an injured chest"2007CHA.EVA.regular.comment.csv",34

"CHA200708241",0,"$Debut for umpire Damien Beal"2007CHA.EVA.regular.comment.csv",35

"CHA200709070",78,"Debut game for Lance Broadway"2007CHA.EVA.regular.comment.csv",36

"CHA200709080",16,"Debut game for Jose Morales"2007CHA.EVA.regular.comment.csv",37

"CHA200709080",52,"Twins catcher Jose Morales left the game due to an injured foot/ankle"2007CHA.EVA.regular.comment.csv",38

"CHA200709160",86,"$Thome's 500th career home run; the 23rd player to reach the milestone and the first time for a game-ending homer as #500. This was his 2000th game"2007CHA.EVA.regular.comment.csv",39

"CHA200709280",57,"fan interference"2007CHA.EVA.regular.comment.csv",40

"CHA200709290",69,"ej,leylj801,M,eddid901,Call at 2B $2B umpire Doug Eddings ruled that SS Omar Infante's foot was off the bag when he caught catcher Ivan Rodriguez' high throw; Tigers Manager Jim Leyland ejected by 2B umpire Doug Eddings"2007CHA.EVA.regular.comment.csv",41

