"SLN198704160",2,"$bunted over Terry Pendelton's head; out trying for double","FILENAME_TX","LINE_NUMBER_CT"
"SLN198704180",82,"$Kevin McReynolds twisted his ankle and Tom Herr tagged him on the ground","1987SLN.EVN.regular.comment.csv",2
"SLN198704190",13,"$hit the top of the fence amd caromed back onto the field","1987SLN.EVN.regular.comment.csv",3
"SLN198704190",30,"$Mets catcher Lyons chased foul pop from Clark and crashed into Cardinals dugout where he collided with St. Louis pitcher Tudor, breaking Tudor's right tibia; Tudor would be out of action until 8-01-1987","1987SLN.EVN.regular.comment.csv",4
"SLN198704280",55,"$Randy Ready caught off 2B; Tony Gwynn slipped at HP","1987SLN.EVN.regular.comment.csv",5
"SLN198704290",22,"Debut game for Rod Booker","1987SLN.EVN.regular.comment.csv",6
"SLN198705010",43,"Two errors on Vince Coleman","1987SLN.EVN.regular.comment.csv",7
"SLN198705020",62,"$Mickey Hatcher failed to cover 3B on double steal","1987SLN.EVN.regular.comment.csv",8
"SLN198705150",39,"Eric Davis injured on play","1987SLN.EVN.regular.comment.csv",9
"SLN198705150",44,"$ball rolled under stands","1987SLN.EVN.regular.comment.csv",10
"SLN198705250",16,"$Jack Clark muffed throw from SS Ozzie Smith and threw wildly to 3B","1987SLN.EVN.regular.comment.csv",11
"SLN198705260",73,"$Dion James called for interference","1987SLN.EVN.regular.comment.csv",12
"SLN198705280",44,"$SS Andres Thomas threw to 1B after play; ball went to backstop","1987SLN.EVN.regular.comment.csv",13
"SLN198705280",47,"$Gary Roenicke called for interference for running into his own batted ball","1987SLN.EVN.regular.comment.csv",14
"SLN198705300",26,"$relay throw hit Tom Herr","1987SLN.EVN.regular.comment.csv",15
"SLN198706130",19,"$Ryne Sandberg injured on the play","1987SLN.EVN.regular.comment.csv",16
"SLN198706140",8,"ej,michg101,M,crawj901,Balls and strikes $Cubs manager Michael ejected by HP umpire Crawford for arguing balls and strikes after Clark walked","1987SLN.EVN.regular.comment.csv",17
"SLN198706150",69,"$Jim Morrison caught stealing home twice in one inning","1987SLN.EVN.regular.comment.csv",18
"SLN198706160",51,"$line drive off Doug Drabek's leg","1987SLN.EVN.regular.comment.csv",19
"SLN198706190",0,"Debut for umpire Mark Hirschbeck","1987SLN.EVN.regular.comment.csv",20
"SLN198706190",1,"Debut game for Jeff Fischer","1987SLN.EVN.regular.comment.csv",21
"SLN198706210",65,"$Andres Gallaraga tipped liner chased it and threw wildly","1987SLN.EVN.regular.comment.csv",22
"SLN198706240",14,"Debut game for Ken Dowell","1987SLN.EVN.regular.comment.csv",23
"SLN198707072",59,"$Terry Pendleton scooped the bunt and tagged Pena","1987SLN.EVN.regular.comment.csv",24
"SLN198707100",94,"Debut game for Lance Johnson","1987SLN.EVN.regular.comment.csv",25
"SLN198707120",0,"90s","1987SLN.EVN.regular.comment.csv",26
"SLN198707120",54,"$Ricky Horton knocked down the drive with his pitching arm","1987SLN.EVN.regular.comment.csv",27
"SLN198707280",4,"ej,herzw101,M,westj901,Interference non-call $Cardinals manager Herzog ejected by 2B umpire West for arguing Hernandez had interfered with 2bman when he bowled him over","1987SLN.EVN.regular.comment.csv",28
"SLN198707280",83,"ej,robib101,C,rungp101,Call at 1B Mets coach Bill Robinson ejected by 1B umpire Paul Runge","1987SLN.EVN.regular.comment.csv",29
"SLN198707310",41,"$Bob Forsch threw wide of 2B","1987SLN.EVN.regular.comment.csv",30
"SLN198708130",60,"ej,colev001,P,kiblj901,Called third strike Vince Coleman ejected by HP umpire John Kibler","1987SLN.EVN.regular.comment.csv",31
"SLN198708160",21,"ej,hayev001,P,hallt901,Called third strike Von Hayes ejected by HP umpire Tom Hallion","1987SLN.EVN.regular.comment.csv",32
"SLN198708280",19,"$Jeff Blauser covered 3B on bunt","1987SLN.EVN.regular.comment.csv",33
"SLN198708290",4,"$Joe Magrane picked off Gerald Perry but Jack Clark didn't throw to 2B","1987SLN.EVN.regular.comment.csv",34
"SLN198709010",19,"$Vince Coleman called for interference for running into his own bunt","1987SLN.EVN.regular.comment.csv",35
"SLN198709020",33,"$Willie McGee overslid on the steal attempt","1987SLN.EVN.regular.comment.csv",36
"SLN198709020",69,"ej,concd001,P,palld901,Balls and strikes Dave Concepcion ejected by HP umpire Dave Pallone","1987SLN.EVN.regular.comment.csv",37
"SLN198709050",58,"ej,clarj001,P,harvd901,Fair/foul call (Claim ball bunted twice) $Cardinals Clark ejected by HP umpire Harvey for arguing that Clark had hit the ball twice on his bunt; Clark was  therefore not covering 1st and throw went into RF","1987SLN.EVN.regular.comment.csv",38
"SLN198709050",65,"ej,herzw101,M,harvd901,Fair/foul call ej,leyvn801,C,harvd901,Fair/foul call Cardinals manager Whitey Herzog and coach Nick Leyva ejected by HP umpire Doug Harvey for continuing the argument from the previous half inning","1987SLN.EVN.regular.comment.csv",39
"SLN198709200",29,"ej,luccf801,M,westj901,Checked swing (Bumped umpire, threw hat) Cubs manager Frank Lucchesi ejected by HP umpire Joe West arguing a checked swing call on Andre Dawson in the previous half inning","1987SLN.EVN.regular.comment.csv",40
"SLN198709210",40,"$bad hop off Mike Schmidt's arm","1987SLN.EVN.regular.comment.csv",41
