"CIN201804120",40,"$originally scored as E6, changed to single on 04-16-2018, making run he scored now earned","FILENAME_TX","LINE_NUMBER_CT"
"CIN201804120",55,"$Cardinals challenged call that Ozuna was out at first; call was upheld - ground out","2018CIN.EVN.regular.comment.csv",2
"CIN201804130",33,"$Cardinals challenged call that Mesoraco was safe at 1st; call was upheld - single","2018CIN.EVN.regular.comment.csv",3
"CIN201804150",0,"$Rain delay of 2:36 before game started","2018CIN.EVN.regular.comment.csv",4
"CIN201804150",68,"$Reds challenged call that throw had not gone out of play; call was overturned - batter awarded 2nd","2018CIN.EVN.regular.comment.csv",5
"CIN201804150",71,"$Cardinals challenged call that Mesoraco was hit by pitch; call was upheld - hit by pitch","2018CIN.EVN.regular.comment.csv",6
"CIN201804230",52,"umpchange,6,ump1b,onorb901 umpchange,6,ump2b,(None) 1b umpire Bucknor left for undisclosed reason","2018CIN.EVN.regular.comment.csv",7
"CIN201804240",97,"$Braves challenged call that Markakis was out at first; call was upheld - ground out","2018CIN.EVN.regular.comment.csv",8
"CIN201804250",48,"$Reds challenged call that Duvall was out at home; call was overturne - safe at home","2018CIN.EVN.regular.comment.csv",9
"CIN201804250",80,"$Braves challenged call that Markakis was out at 1st to complete DP; call was overturned - force out, no DP","2018CIN.EVN.regular.comment.csv",10
"CIN201804260",47,"$umpire review after foul on 2nd pitch; call was upheld - foul, not home run","2018CIN.EVN.regular.comment.csv",11
"CIN201805010",48,"$Reds challenged call that Duvall was out at 2nd; call was upheld - out on pickoff","2018CIN.EVN.regular.comment.csv",12
"CIN201805010",58,"$Umpire review to check Perez's ball; call was upheld - homer","2018CIN.EVN.regular.comment.csv",13
"CIN201805020",13,"$Travis Shaw left with injured foot","2018CIN.EVN.regular.comment.csv",14
"CIN201805060",3,"$both runs originally scored as earned, second one changed to unearned on 05-08-2018","2018CIN.EVN.regular.comment.csv",15
"CIN201805060",7,"run originally scored as earned, changed to unearned on 05-08-2018","2018CIN.EVN.regular.comment.csv",16
"CIN201805090",3,"$Flores batted when the batter should have been Cabrera; he struck out so the Reds did not comment; Cabrera then batted out of turn and hit a ground rule double; the correct batter was Bruce, who followed Flores in the lineup; the Reds pointed out the mistake and Bruce was called out per the rules; the Mets followed the correct order the rest of the game","2018CIN.EVN.regular.comment.csv",17
"CIN201805180",77,"$originally scored as E4, changed to single on 05-30-2018","2018CIN.EVN.regular.comment.csv",18
"CIN201805191",42,"$Cubs challenged call that Caratini was out at first; call was overturned - single","2018CIN.EVN.regular.comment.csv",19
"CIN201805200",57,"ej,schwk001,P,tumpj901,Arguing called third strike $Kyle Schwarber ejected by plate umpire Tumpane for arguing called third strike","2018CIN.EVN.regular.comment.csv",20
"CIN201805240",69,"$Pirates challenged call that Diaz was out at first; call was upheld - ground out","2018CIN.EVN.regular.comment.csv",21
"CIN201806050",65,"$Reds challenged call that Winker was out at home; call was upheld - out at home","2018CIN.EVN.regular.comment.csv",22
"CIN201806070",3,"$Reds challenged call that Blackmon was safe at first; call was overturned - double play","2018CIN.EVN.regular.comment.csv",23
"CIN201806070",15,"$Rockies challenged call that Casali was safe at second; call was upheld - double","2018CIN.EVN.regular.comment.csv",24
"CIN201806070",29,"$Reds challenged call that Wolters did not interfere at second; call was upheld - force out, no interference","2018CIN.EVN.regular.comment.csv",25
"CIN201806090",75,"$Reds challenged call that Schebler was out at first; call was upheld - ground out","2018CIN.EVN.regular.comment.csv",26
"CIN201806100",3,"$Reds challenged call that Pham was safe at second on double; call was overturned - single and out stretching","2018CIN.EVN.regular.comment.csv",27
"CIN201806100",21,"$Cardinals challenged call that Ozuna's ball had been caught to to start double play; call was overturned - droppped for single","2018CIN.EVN.regular.comment.csv",28
"CIN201806100",38,"$Cardinals challenged call that Hamilton was safe at third; call was upheld - safe advancing on wild pitch","2018CIN.EVN.regular.comment.csv",29
"CIN201806200",50,"$Umpire review of ball hit by Suarez; call ws overturned - home run, not double","2018CIN.EVN.regular.comment.csv",30
"CIN201806210",25,"$Reds challenged call that Peraza was out at second; call was overturned - stolen base","2018CIN.EVN.regular.comment.csv",31
"CIN201806220",21,"$Cubs challenged call that Gimenez was out at first; call was overturned - safe on throwing error","2018CIN.EVN.regular.comment.csv",32
"CIN201806220",52,"$Reds challenged call that Baez was hit by pitch; call was upheld - hit by pitch","2018CIN.EVN.regular.comment.csv",33
"CIN201806230",10,"$Umpire reviewed call that ball hit by Contreras; call was upheld - home run","2018CIN.EVN.regular.comment.csv",34
"CIN201806230",32,"ej,hydeb801,C,gibsg901,Timeout request $Chicago bench coach Brandon Hyde ejected by HP umpire Gibson after 4th pitch to Contreras; Contreras said that when he asked asked for a timeout Gibson said something he didn't like and bench coach Hyde was ejected for complaining from the bench","2018CIN.EVN.regular.comment.csv",35
"CIN201806240",61,"$Cubs challenged call that Votto was safe at second; call was upheld - double","2018CIN.EVN.regular.comment.csv",36
"CIN201806280",4,"$Christian Yelich left with an injured back","2018CIN.EVN.regular.comment.csv",37
"CIN201806280",77,"$Originally scored as stolen base, changed to defensive indifference on 06-29-2018","2018CIN.EVN.regular.comment.csv",38
"CIN201806290",52,"Ryan Braun left with an injured back","2018CIN.EVN.regular.comment.csv",39
"CIN201806290",79,"$Reds challenged call that Gennett's fly was caught, claiming it was trapped; call was upheld - fly out","2018CIN.EVN.regular.comment.csv",40
"CIN201807020",41,"Injury Delay","2018CIN.EVN.regular.comment.csv",41
"CIN201807020",51,"Mound Visit","2018CIN.EVN.regular.comment.csv",42
"CIN201807020",53,"Mound Visit","2018CIN.EVN.regular.comment.csv",43
"CIN201807020",59,"Mound Visit","2018CIN.EVN.regular.comment.csv",44
"CIN201807020",60,"Mound Visit","2018CIN.EVN.regular.comment.csv",45
"CIN201807020",64,"Mound Visit","2018CIN.EVN.regular.comment.csv",46
"CIN201807020",71,"Mound Visit","2018CIN.EVN.regular.comment.csv",47
"CIN201807020",72,"$White Sox challenged call that Duvall was safe at first; call was upheld - safe on fielder's choice","2018CIN.EVN.regular.comment.csv",48
"CIN201807020",73,"$Umpire review of call that Suarez was safe at home; call was upheld - safe","2018CIN.EVN.regular.comment.csv",49
"CIN201807020",74,"Mound Visit","2018CIN.EVN.regular.comment.csv",50
