"SLN191704220",74,"Grounder deflected by Warner to Ward."FILENAME_TX","LINE_NUMBER_CT"

"SLN191704230",53,"Ball deflected by Hinchman, Cooper fielded it."1917SLN.EVN.regular.comment.csv",2

"SLN191704240",78,"Possibly defensive indifference."1917SLN.EVN.regular.comment.csv",3

"SLN191705010",6,"Hit and run."1917SLN.EVN.regular.comment.csv",4

"SLN191705010",16,"Douglas injured arm on last pitch in top of 2nd."1917SLN.EVN.regular.comment.csv",5

"SLN191705010",41,"Hit and run."1917SLN.EVN.regular.comment.csv",6

"SLN191705010",72,"Into the stands."1917SLN.EVN.regular.comment.csv",7

"SLN191705010",76,"Bottom of ninth derived from Retrosheet box score."1917SLN.EVN.regular.comment.csv",8

"SLN191706190",95,"Apparent defensive indifference."1917SLN.EVN.regular.comment.csv",9

"SLN191706200",60,"$Game called so Pirates could catch train."1917SLN.EVN.regular.comment.csv",10

"SLN191706261",8,"Smith: shoetop catch"1917SLN.EVN.regular.comment.csv",11

"SLN191706261",11,"Past Doyle"1917SLN.EVN.regular.comment.csv",12

"SLN191706261",12,"High bounder caromed off Deal's glove"1917SLN.EVN.regular.comment.csv",13

"SLN191706261",28,"Hit & run"1917SLN.EVN.regular.comment.csv",14

"SLN191706261",30,"Hopped over Deal"1917SLN.EVN.regular.comment.csv",15

"SLN191706261",32,"Doyle: fast play; bare-handed scoop"1917SLN.EVN.regular.comment.csv",16

"SLN191706261",36,"Past Baird"1917SLN.EVN.regular.comment.csv",17

"SLN191706261",41,"Cruise hit IPHR to CF fence but failed to touch 2B. 277 and all box scores added Mann assist here."1917SLN.EVN.regular.comment.csv",18

"SLN191706261",46,"Ames knocked it down"1917SLN.EVN.regular.comment.csv",19

"SLN191706261",57,"Hopped over Deal"1917SLN.EVN.regular.comment.csv",20

"SLN191706261",58,"Doyle: sensational leaping catch"1917SLN.EVN.regular.comment.csv",21

"SLN191706261",89,"Past Baird"1917SLN.EVN.regular.comment.csv",22

"SLN191706261",108,"Packard thought it was foul and did not run.  Zeider's return throw went past 1B but Doyle backed up the play."1917SLN.EVN.regular.comment.csv",23

"SLN191706271",71,"Remainder of game derived from Retrosheet box score."1917SLN.EVN.regular.comment.csv",24

"SLN191706280",47,"Remainder of game from 6/29 Chicago Tribune."1917SLN.EVN.regular.comment.csv",25

"SLN191706280",56,"Betzel missed pitch on suicide squeeze."1917SLN.EVN.regular.comment.csv",26

"SLN191709031",21,"Delayed steal"1917SLN.EVN.regular.comment.csv",27

"SLN191709031",74,"ej,mitcf101,M,byrol901,HBP non-call $Cubs manager Mitchell ejected by HP umpire Byron for arguing that Wilson had been hit by pitch before he walked; Byron ruled that Wilson made no attempt to evade pitch"1917SLN.EVN.regular.comment.csv",28

"SLN191709031",75,"Hit through Paulette who recovered then overthrew 3B"1917SLN.EVN.regular.comment.csv",29

"SLN191709031",78,"During this AB Elliott fractured a thumb due to foul tip"1917SLN.EVN.regular.comment.csv",30

"SLN191709111",46,"Pitler missed ball on squeeze play."1917SLN.EVN.regular.comment.csv",31

"SLN191709112",50,"ej,pitlj101,P,harrp901,Catch/trap call $2bman Pilter ejected by base umpire Harrison for arguing he caught bunt"1917SLN.EVN.regular.comment.csv",32

"SLN191709112",58,"ej,carem101,PIT,P,harrp901, ej,bezdh801,PIT,M,harrp901, $Pirates Carey and manager Bezdekejected by base umpire Harrison for arguing Gonzalez was out on steal; Carey lay down in center field to protest"1917SLN.EVN.regular.comment.csv",33

