"PHA192704230",39,"$Earle Combs called for interference for running in front of Eddie Collins"FILENAME_TX","LINE_NUMBER_CT"

"PHA192705020",53,"$Ira Flagstead left with injured left leg"1927PHA.EVA.regular.comment.csv",2

"PHA192705050",61,"ej,cobbt101,P,ormsr901,Fair/foul call (Bumped umpire) ej,simma101,P,ormsr901,Fair/foul call Ty Cobb and Al Simmons ejected by HP umpire Red Ormsby; Cobb bumped Ormsby"1927PHA.EVA.regular.comment.csv",3

"PHA192705050",71,"$the crowd threw seat cushions at HP umpire Red Ormsby, who needed a police escort to leave the field"1927PHA.EVA.regular.comment.csv",4

"PHA192705302",0,"Protest=H"1927PHA.EVA.regular.comment.csv",5

"PHA192705302",33,"$Johnny Grabowski caught the foul pop and fell down a flight of stairs into the Athletics dugout; both Eddie Collins and Ty Cobb scored but Cobb was put back on 3B; the Athletics protested the game"1927PHA.EVA.regular.comment.csv",6

"PHA192705312",11,"Bob Meusel left with injured leg"1927PHA.EVA.regular.comment.csv",7

"PHA192705312",14,"$missed squeeze"1927PHA.EVA.regular.comment.csv",8

"PHA192706020",52,"$Homer Summa was trapped off 3B but got back safely; Johnny Hodapp ran to 3B and was tagged out"1927PHA.EVA.regular.comment.csv",9

"PHA192706070",32,"$Wally Schang rounded 2B too far and Fred Schulte tried to score"1927PHA.EVA.regular.comment.csv",10

"PHA192706070",39,"ej,gastm101,P,rowlp801,Entering stands to attack heckling fan $on the way to the dugout Milt Gaston was insulted by fans seated behind the Browns dugout; Gaston went into the stands and exchanged blows with a spectator, but teammates and police pulled him back onto the field; Gaston ejected by HP umpire Pants Rowland"1927PHA.EVA.regular.comment.csv",11

"PHA192706100",67,"$Jimmy Dykes rounded 3B too far"1927PHA.EVA.regular.comment.csv",12

"PHA192706170",57,"Ty Cobb rounded 1B too far"1927PHA.EVA.regular.comment.csv",13

"PHA192706180",42,"Ty Cobb fell close to 1B and injured his left leg"1927PHA.EVA.regular.comment.csv",14

"PHA192707290",74,"$Bill Hunnefield called for interference when his bat struck the ball a second time in fair territory"1927PHA.EVA.regular.comment.csv",15

"PHA192708022",6,"$Buck Crouse suffered a split finger when struck by a foul ball"1927PHA.EVA.regular.comment.csv",16

"PHA192708032",16,"$obstruction called on unknown Indians player during rundown"1927PHA.EVA.regular.comment.csv",17

"PHA192708040",17,"$Cy Perkins left with a split finger"1927PHA.EVA.regular.comment.csv",18

"PHA192708090",72,"$the ball struck a house across the street"1927PHA.EVA.regular.comment.csv",19

"PHA192708100",56,"$HP umpire Brick Owens went to LF and had a fan removed from the park"1927PHA.EVA.regular.comment.csv",20

"PHA192709020",4,"$onto the housetops across the street"1927PHA.EVA.regular.comment.csv",21

"PHA192709020",70,"$Zack Wheat struck by throw on the chest"1927PHA.EVA.regular.comment.csv",22

"PHA192709130",9,"$Lefty Grove retired the side on 11 pitches"1927PHA.EVA.regular.comment.csv",23

"PHA192709210",7,"umpchange,1,umphome,hildg101 umpchange,1,ump1b,mcgob901 umpchange.3,ump3b,(None) $HP umpire Evans injuerd his leg when he tripped over a bat; 1B umpire Hildebrand went behind the plate, 3B umpire McGowan moved to 1st base and game was completed with two umpires"1927PHA.EVA.regular.comment.csv",24

"PHA192709221",67,"$Sam Langford struck on the knee"1927PHA.EVA.regular.comment.csv",25

"PHA192709222",17,"ej,simma101,P,mcgob901,Call at 2B Al Simmons ejected by 1B umpire Bill McGowan"1927PHA.EVA.regular.comment.csv",26

