"CIN199104080",0,"$Debut for umpires John Floras, Randy Bruns and Frank Ballina, who worked because the staff umpires were not working due to contract negotiations which stalled during spring training; the contract was settled but the assigned umpires could not get to Cincinnati in time to work the game","FILENAME_TX","LINE_NUMBER_CT"
"CIN199108030",66,"ej,oneip001,P,darlg901,Fair/foul call on possible HR (Threw equipment) ej,pinil001,M,darlg901,Fair/foul call on possible HR (Covered HP with dirt) $Bill Doran hit a ball down the RF line that is ruled a home run by 1B umpire Dutch Rennert; Rennert then asked HP umpire Gary Darling for help; all three umpires on the crew agreed it was a foul ball; Rennert changed the call to a foul ball; Reds manager Lou Piniella threw a tantrum, covering HP with dirt; Paul O'Neill threw a Gatorade bucket onto the field; both Piniella and O'Neill were ejected by Darling; Piniella said after the game that Darling was biased against the Reds and the umpire union filed a $5 million lawsuit against Piniella that was settled in December","1991CIN.EVN.regular.comment.csv",29
"CIN199108070",6,"Mariano Duncan left with injured ribcage","1991CIN.EVN.regular.comment.csv",30
"CIN199108220",7,"Debut game for Reggie Sanders","1991CIN.EVN.regular.comment.csv",31
"CIN199108220",46,"Debut game for Steve Foster","1991CIN.EVN.regular.comment.csv",32
"CIN199108260",24,"Lenny Dykstra left with injured shoulder after slamming into wall while catching fly ball","1991CIN.EVN.regular.comment.csv",33
"CIN199108270",57,"Ted Power left with right hand bruise","1991CIN.EVN.regular.comment.csv",34
"CIN199108300",67,"Debut game for Terry McDaniel","1991CIN.EVN.regular.comment.csv",35
"CIN199109090",15,"Tim Belcher left with a pulled right groin muscle","1991CIN.EVN.regular.comment.csv",36
"CIN199109100",57,"Debut game for Mike Christopher","1991CIN.EVN.regular.comment.csv",37
"CIN199109110",2,"$Ted Wood's swing carried him onto HP and interfered with catcher Joe Oliver's throw to 2B on Willie McGee's attempted steal; McGee called out on the interference","1991CIN.EVN.regular.comment.csv",38
"CIN199109110",68,"$off the glove of Kevin Bass","1991CIN.EVN.regular.comment.csv",39
"CIN199109120",43,"Freddie Benavides left with right ankle sprain","1991CIN.EVN.regular.comment.csv",40
"CIN199109140",1,"Debut game for Kenny Lofton","1991CIN.EVN.regular.comment.csv",41
"CIN199109140",54,"$failed suicide squeeze on a pitchout","1991CIN.EVN.regular.comment.csv",42
"CIN199109150",37,"Debut game for Gary Cooper","1991CIN.EVN.regular.comment.csv",43
"CIN199109150",38,"Debut game for Jeff Juden","1991CIN.EVN.regular.comment.csv",44
"CIN199109280",50,"Reggie Sanders left with unknown injury","1991CIN.EVN.regular.comment.csv",45
"CIN199109280",53,"Tony Fernandez left with a sore back suffered on the play at HP in the fifth","1991CIN.EVN.regular.comment.csv",46
