"KCA199104080",0,"Debut for umpires Ed Murray and Gus Klein, who worked because the staff umpires were not working due to contract negotiations which stalled during spring training; the contract was settled but the assigned umpires could not get to Kansas City in time to work the game; former AL umpire Dallas Parks worked at 2B","FILENAME_TX","LINE_NUMBER_CT"
"KCA199104140",14,"Debut game for David Howard","1991KCA.EVA.regular.comment.csv",2
"KCA199104280",0,"Protest=V","1991KCA.EVA.regular.comment.csv",3
"KCA199104280",19,"umpchange,2,ump2b,(None) rain delay $2B umpire Al Clark suffered back spams and did not return after the rain delay","1991KCA.EVA.regular.comment.csv",4
"KCA199104280",22,"2:03 rain delay","1991KCA.EVA.regular.comment.csv",5
"KCA199104280",77,"$Red Sox protest game because Mike Macfarlane never touched 1B after HBP","1991KCA.EVA.regular.comment.csv",6
"KCA199104300",1,"1:42 rain delay prior to start","1991KCA.EVA.regular.comment.csv",7
"KCA199105040",61,"Debut game for Ray Giannelli","1991KCA.EVA.regular.comment.csv",8
"KCA199105170",42,"Debut game for Jim Hunter","1991KCA.EVA.regular.comment.csv",9
"KCA199105200",0,"$Henry Cotto left after he fouled the first pitch off his head","1991KCA.EVA.regular.comment.csv",10
"KCA199105220",9,"$on the infield fly, 3B Edgar Martinez did not catch the ball and both Kirk Gibson and Brian McRae left their bases; McRae was called out for passing Gibson","1991KCA.EVA.regular.comment.csv",11
"KCA199105310",18,"Junior Ortiz left with a twisted ankle","1991KCA.EVA.regular.comment.csv",12
"KCA199106010",67,"27-minute rain delay","1991KCA.EVA.regular.comment.csv",13
"KCA199106010",68,"26-minute rain delay with 1-0 count on Greg Gagne","1991KCA.EVA.regular.comment.csv",14
"KCA199106020",55,"$Scott Erickson kicked the ball directly to 1B","1991KCA.EVA.regular.comment.csv",15
"KCA199106060",94,"$ball was deflected by Buechele to Diaz who threw home","1991KCA.EVA.regular.comment.csv",16
"KCA199106060",100,"ej,mcrah001,M,scotd901,Call at 3B (Bumped umpire) $Royals manager McRae ejected by 3B umpire Scott for arguing that Franco was doubled up at 3rd on foul popup; McRae bumped Scott during the argument","1991KCA.EVA.regular.comment.csv",17
"KCA199106060",129,"$the ball was deflected by Seitzer to Stillwell","1991KCA.EVA.regular.comment.csv",18
"KCA199106240",10,"$with Brian McRae running on the pitch, Bill Pecota's backswing hit catcher Ron Tingley; Pecota was called out for interference","1991KCA.EVA.regular.comment.csv",19
"KCA199106240",66,"$1B Bill Pecota pitched","1991KCA.EVA.regular.comment.csv",20
"KCA199107150",4,"Mike Macfarlane injured in collision at HP","1991KCA.EVA.regular.comment.csv",21
"KCA199107170",20,"$the ball deflected off Ben McDonald's pitching hand","1991KCA.EVA.regular.comment.csv",22
"KCA199107180",14,"Debut game for Tim Spehr","1991KCA.EVA.regular.comment.csv",23
"KCA199107190",10,"Debut game for Scott Livingstone","1991KCA.EVA.regular.comment.csv",24
"KCA199107230",46,"$missed squeeze play","1991KCA.EVA.regular.comment.csv",25
"KCA199107250",56,"ej,bichd001,P,joycj901,Checked swing Dante Bichette ejected by 1B umpire Jim Joyce for arguing checked swing strike three","1991KCA.EVA.regular.comment.csv",26
"KCA199108050",48,"George Brett's 1000th extra base hit","1991KCA.EVA.regular.comment.csv",27
"KCA199108070",62,"$George Brett interfered with 2B Jody Reed after being tagged out; Jim Eisenreich called out","1991KCA.EVA.regular.comment.csv",28
"KCA199108100",15,"Debut game for Harvey Pulliam","1991KCA.EVA.regular.comment.csv",29
"KCA199108190",19,"$Bernie Williams called out for running into his own bunt","1991KCA.EVA.regular.comment.csv",30
"KCA199108200",58,"fan interference","1991KCA.EVA.regular.comment.csv",31
"KCA199108220",46,"Luis Aquino left with strained right pectoral muscle","1991KCA.EVA.regular.comment.csv",32
"KCA199108270",30,"$Lance Johnson and Sammy Sosa collided","1991KCA.EVA.regular.comment.csv",33
"KCA199109090",51,"rain delay with 3-2 count on Hrbek","1991KCA.EVA.regular.comment.csv",34
"KCA199109100",26,"43 minute delay with 2-0 count on Harper","1991KCA.EVA.regular.comment.csv",35
"KCA199109100",75,"Debut game for Archie Corbin","1991KCA.EVA.regular.comment.csv",36
"KCA199109150",56,"Debut game for Chris Howard","1991KCA.EVA.regular.comment.csv",37
"KCA199109150",70,"Debut game for Pat Lennon","1991KCA.EVA.regular.comment.csv",38
"KCA199109270",18,"Debut game for Kevin Flora","1991KCA.EVA.regular.comment.csv",39
