"SDN201804120",43,"$Giants challenged call that Pence was out at first; call overturned - safe for single","FILENAME_TX","LINE_NUMBER_CT"
"SDN201804130",38,"$Padres challenged call that Asuaje was out at 1st; call was overturned - safe on error","2018SDN.EVN.regular.comment.csv",2
"SDN201804140",59,"$Giants challenged call that Panik was out at home; call was upheld - out at home to complete double play","2018SDN.EVN.regular.comment.csv",3
"SDN201804160",19,"$originally scored as 3-base error, changed to triple on 04-25-2108, adding RBI and making Seager's run earned","2018SDN.EVN.regular.comment.csv",4
"SDN201804170",103,"$Dodgers challenged call that Pirela's ball was dropped; call was overturned - fly out","2018SDN.EVN.regular.comment.csv",5
"SDN201804180",36,"$Dodgers challenged call that first pitch was a foul, claiming fan interference; call was upheld - foul, no interference","2018SDN.EVN.regular.comment.csv",6
"SDN201804280",8,"$Padres challenged call that Cordero was out; call was upheld - line drive out","2018SDN.EVN.regular.comment.csv",7
"SDN201804280",46,"$@il Myers left with injured back","2018SDN.EVN.regular.comment.csv",8
"SDN201804290",29,"$Yoenis Cespedes left with injured hand","2018SDN.EVN.regular.comment.csv",9
"SDN201805040",0,"$Game played in Monterrey, Mexico","2018SDN.EVN.regular.comment.csv",10
"SDN201805040",52,"$Padres challenged call that 5th pitch was foul, claiming Cordero had been hit by pitch; call was upheld - foul ball","2018SDN.EVN.regular.comment.csv",11
"SDN201805050",0,"$Game played in Monterrey, Mexico","2018SDN.EVN.regular.comment.csv",12
"SDN201805050",49,"$Padres challenged call that Taylor was hit by pitch; call was upheld - hit by pitch","2018SDN.EVN.regular.comment.csv",13
"SDN201805050",74,"$Padres challenged call that Szczur was out at first to complete double play; call was upheld - double play","2018SDN.EVN.regular.comment.csv",14
"SDN201805060",0,"$Game played in Monterrey, Mexico","2018SDN.EVN.regular.comment.csv",15
"SDN201805060",58,"$originally scored as throwing error by 3b man, changed to single on 05-07-2018","2018SDN.EVN.regular.comment.csv",16
"SDN201805080",61,"$Umpire review tag up after fly ball; call was upheld - run scores","2018SDN.EVN.regular.comment.csv",17
"SDN201805090",29,"$Nationals challenged call that Kendrick was out at second; call was upheld - pickoff and caught stealing","2018SDN.EVN.regular.comment.csv",18
"SDN201805100",31,"$Padres challenged call that Hosmer was out at second; call was upheld - single and out stretching","2018SDN.EVN.regular.comment.csv",19
"SDN201805290",69,"$Marlins challenged call that ball by Rojas was caught, claiming a trap; call was overturned - single","2018SDN.EVN.regular.comment.csv",20
"SDN201806010",59,"$Padres challenged call that Schebler was safe at home; call was upheld - safe at home","2018SDN.EVN.regular.comment.csv",21
"SDN201806020",15,"$Batter's interference","2018SDN.EVN.regular.comment.csv",22
"SDN201806020",46,"$Reds challenged call that Pirela was safe at second on steal; call was overturned - out on caught stealing","2018SDN.EVN.regular.comment.csv",23
"SDN201806030",7,"$Christian Villanueva left with an injured ankle","2018SDN.EVN.regular.comment.csv",24
"SDN201806190",10,"$Athletics challenged call that Davis was out at 2nd on force; call was overturned - safe on missed catch error","2018SDN.EVN.regular.comment.csv",25
"SDN201806290",33,"ej,greea001,M,herna901,Arguing balk call $San Diego manager Green ejected by plate umpire Hernandez for continuing to argue balk call in 2nd inning","2018SDN.EVN.regular.comment.csv",26
"SDN201806290",76,"$Padres challenged call that Osuna was safe at 3rd; call was overturned - double and out stretching","2018SDN.EVN.regular.comment.csv",27
"SDN201806300",65,"$Padres challenged call that Polanco was safe at third; call was upheld - triple","2018SDN.EVN.regular.comment.csv",28
"SDN201807010",1,"$Padres challenged call that Meadows was safe at 1st; call was overturned - ground out","2018SDN.EVN.regular.comment.csv",29
"SDN201807090",26,"Mound Visit","2018SDN.EVN.regular.comment.csv",30
"SDN201807090",27,"Mound Visit","2018SDN.EVN.regular.comment.csv",31
"SDN201807090",32,"On-field Delay","2018SDN.EVN.regular.comment.csv",32
"SDN201807090",41,"Mound Visit","2018SDN.EVN.regular.comment.csv",33
"SDN201807090",57,"Mound Visit","2018SDN.EVN.regular.comment.csv",34
"SDN201807090",67,"Mound Visit","2018SDN.EVN.regular.comment.csv",35
"SDN201807090",78,"Mound Visit","2018SDN.EVN.regular.comment.csv",36
"SDN201807090",81,"Mound Visit","2018SDN.EVN.regular.comment.csv",37
"SDN201807100",39,"Mound Visit","2018SDN.EVN.regular.comment.csv",38
"SDN201807100",50,"$Padres challenged call that Bellinger was safe at second; call was upheld - double","2018SDN.EVN.regular.comment.csv",39
"SDN201807100",64,"Mound Visit","2018SDN.EVN.regular.comment.csv",40
"SDN201807110",23,"Mound Visit Injury Delay","2018SDN.EVN.regular.comment.csv",41
"SDN201807110",50,"Mound Visit","2018SDN.EVN.regular.comment.csv",42
"SDN201807110",53,"Mound Visit","2018SDN.EVN.regular.comment.csv",43
"SDN201807120",25,"$Bellinger called out for running inside baseline and being hit by throw","2018SDN.EVN.regular.comment.csv",44
"SDN201807120",33,"Mound Visit","2018SDN.EVN.regular.comment.csv",45
"SDN201807120",50,"Mound Visit","2018SDN.EVN.regular.comment.csv",46
"SDN201807120",51,"Mound Visit","2018SDN.EVN.regular.comment.csv",47
"SDN201807120",53,"On-field Delay","2018SDN.EVN.regular.comment.csv",48
"SDN201807120",55,"Mound Visit","2018SDN.EVN.regular.comment.csv",49
"SDN201807120",59,"Mound Visit","2018SDN.EVN.regular.comment.csv",50
"SDN201807120",68,"Mound Visit","2018SDN.EVN.regular.comment.csv",51
"SDN201807120",72,"$Justin Turner injured hip running out ground ball","2018SDN.EVN.regular.comment.csv",52
"SDN201807120",75,"Mound Visit","2018SDN.EVN.regular.comment.csv",53
"SDN201807130",4,"$Padres challenged call that Jankowski was out at first; call was overturned - single","2018SDN.EVN.regular.comment.csv",54
"SDN201807130",10,"$Umpire review ball hit by Baez; call was upheld - double on fan interference","2018SDN.EVN.regular.comment.csv",55
"SDN201807130",43,"Mound Visit","2018SDN.EVN.regular.comment.csv",56
"SDN201807130",61,"Mound Visit","2018SDN.EVN.regular.comment.csv",57
"SDN201807130",69,"Mound Visit","2018SDN.EVN.regular.comment.csv",58
"SDN201807130",70,"Mound Visit","2018SDN.EVN.regular.comment.csv",59
"SDN201807130",71,"Mound Visit","2018SDN.EVN.regular.comment.csv",60
"SDN201807130",76,"Mound Visit","2018SDN.EVN.regular.comment.csv",61
"SDN201807140",1,"Mound Visit","2018SDN.EVN.regular.comment.csv",62
"SDN201807140",38,"$Cubs challenged call that Heyward was out at second; call was overturned - double","2018SDN.EVN.regular.comment.csv",63
"SDN201807140",39,"Mound Visit","2018SDN.EVN.regular.comment.csv",64
"SDN201807140",56,"Mound Visit","2018SDN.EVN.regular.comment.csv",65
"SDN201807140",58,"Mound Visit","2018SDN.EVN.regular.comment.csv",66
"SDN201807140",71,"Mound Visit","2018SDN.EVN.regular.comment.csv",67
"SDN201807140",82,"Mound Visit Mound Visit","2018SDN.EVN.regular.comment.csv",68
"SDN201807150",2,"Mound Visit","2018SDN.EVN.regular.comment.csv",69
"SDN201807150",5,"Mound Visit","2018SDN.EVN.regular.comment.csv",70
"SDN201807150",39,"Mound Visit","2018SDN.EVN.regular.comment.csv",71
"SDN201807150",57,"Mound Visit","2018SDN.EVN.regular.comment.csv",72
"SDN201807150",59,"Injury Delay Mound Visit","2018SDN.EVN.regular.comment.csv",73
"SDN201807150",60,"Mound Visit","2018SDN.EVN.regular.comment.csv",74
"SDN201807150",66,"Mound Visit","2018SDN.EVN.regular.comment.csv",75
"SDN201807150",69,"Mound Visit","2018SDN.EVN.regular.comment.csv",76
"SDN201807270",18,"Mound Visit","2018SDN.EVN.regular.comment.csv",77
"SDN201807270",24,"Mound Visit","2018SDN.EVN.regular.comment.csv",78
"SDN201807270",42,"Injury Delay","2018SDN.EVN.regular.comment.csv",79
"SDN201807270",56,"Mound Visit","2018SDN.EVN.regular.comment.csv",80
"SDN201807270",64,"Mound Visit","2018SDN.EVN.regular.comment.csv",81
"SDN201807280",9,"Mound Visit","2018SDN.EVN.regular.comment.csv",82
"SDN201807280",11,"Mound Visit","2018SDN.EVN.regular.comment.csv",83
"SDN201807280",27,"Mound Visit","2018SDN.EVN.regular.comment.csv",84
"SDN201807280",36,"Mound Visit","2018SDN.EVN.regular.comment.csv",85
"SDN201807280",49,"Mound Visit","2018SDN.EVN.regular.comment.csv",86
"SDN201807280",50,"Mound Visit","2018SDN.EVN.regular.comment.csv",87
"SDN201807280",51,"Mound Visit","2018SDN.EVN.regular.comment.csv",88
"SDN201807280",54,"Mound Visit","2018SDN.EVN.regular.comment.csv",89
"SDN201807280",55,"Mound Visit","2018SDN.EVN.regular.comment.csv",90
"SDN201807280",67,"Mound Visit","2018SDN.EVN.regular.comment.csv",91
"SDN201807290",13,"Injury Delay","2018SDN.EVN.regular.comment.csv",92
"SDN201807290",22,"$Jankowski ran into his own bunt","2018SDN.EVN.regular.comment.csv",93
"SDN201807290",25,"Mound Visit","2018SDN.EVN.regular.comment.csv",94
"SDN201807290",28,"Mound Visit","2018SDN.EVN.regular.comment.csv",95
