"CHN194305040",22,"agreed that it's suspicious!","FILENAME_TX","LINE_NUMBER_CT"
"CHN194305040",27,"end of pbp, rest deduced","1943.EDN.regular.comment.csv",2
"NY1194304270",60,"pbp account ends here, rest deduced","1943.EDN.regular.comment.csv",3
"CHN194305050",22,"pbp account ends here, rest deduced","1943.EDN.regular.comment.csv",4
"CHN194305050",44,"ej,wilsj105,M,goetl901,Call at 2B $Chicago manger Wilson ejected by 3B umpire Goetz for arguing that Stanky had tagged Musial on the baseline before throwing to 1st","1943.EDN.regular.comment.csv",5
"SLN194304280",25,"pbp account ends here, rest deduced","1943.EDN.regular.comment.csv",6
"PIT194306040",36,"ej,orenj101,P,stewb901,Called third strike $Orengo ejeced by HP umpire Stewart for arguing called third strike","1943.EDN.regular.comment.csv",7
"NY1194306132",0,"Protest=V","1943.EDN.regular.comment.csv",8
"NY1194306132",76,"$Dahlgren let himself HBP. That was disallowed; then Dahlgren hit a bases-clearing double & the phils 'won'; But Ott protested that Dahlgren should have been out; that protest was upheld, game was resumed on August 6","1943.EDN.regular.comment.csv",9
"SLN194306201",20,"$Prim overcome by heat","1943.EDN.regular.comment.csv",10
"PHI194306160",38,"$Game delayed 41 minues at 9:45 PM for scheduled blackout","1943.EDN.regular.comment.csv",11
"BSN194306232",85,"ej,livim101,P,goetl901,Balls and strikes $Livingston ejected by HP umpire Goetz arguing strike 3","1943.EDN.regular.comment.csv",12
"PIT194306150",9,"$Lowrey hit an apparent single but Novikoff was out for missing 2nd, leaving Lowrey with a fielder's choice","1943.EDN.regular.comment.csv",13
"BSN194306201",69,"$Donovan bruised left thumb and left game","1943.EDN.regular.comment.csv",14
"NY1194306271",42,"$Lombardi left game when 'injured knee buckled'","1943.EDN.regular.comment.csv",15
"PIT194307230",10,"$Brandt hit on foot, left game ikn 3rd","1943.EDN.regular.comment.csv",16
"CHN194306272",21,"$Rain delay of 1:02","1943.EDN.regular.comment.csv",17
"BSN194307020",72,"$Major league debut for Martin","1943.EDN.regular.comment.csv",18
"CHN194307222",59,"$runner on 2nd only made it to 3rd on the double as he feared the ball would be caught; however the relay from the shortstop was wild, allowing the runner and the batter to score","1943.EDN.regular.comment.csv",19
"PIT194307310",25,"$Throw got away from Kluttz, but Coscarart out at home","1943.EDN.regular.comment.csv",20
"PIT194307310",29,"ej,frisf101,M,barrg901,Call at 3B $Pirate manager Frisch ejected by 3B umpire Barr for arguing that Burns was out at 3rd","1943.EDN.regular.comment.csv",21
"PIT194308040",50,"$17 minute rain delay","1943.EDN.regular.comment.csv",22
"PIT194308040",53,"$this has to be a busted squeeze","1943.EDN.regular.comment.csv",23
"PIT194308040",59,"$Rowe left game with sore arm","1943.EDN.regular.comment.csv",24
"PIT194308040",61,"$Van Robays hurt leg running out double","1943.EDN.regular.comment.csv",25
"CHN194309040",52,"$Stanky threw to Hack in attempt to get Russell and Hack 'swept a tag in on the base' but Russell had kept running and scored","1943.EDN.regular.comment.csv",26
"SLN194309261",22,"$Klein stopped at third and Walker got in rundown between first and second; Klein broke for home and scored as Walker made it to second; no RBI","1943.EDN.regular.comment.csv",27
"PHI194308170",73,"$Outfielder held ball allowing Triplett to third, no error.","1943.EDN.regular.comment.csv",28
"CHN194309290",71,"$Reyes cut hand during steal and had to leave game","1943.EDN.regular.comment.csv",29
"CHN194309290",119,"$Game called for darkness","1943.EDN.regular.comment.csv",30
"CHN194310031",64,"$Schuster hustled to third and scored when Joost threw ball away after Schuster was trapped in a rundown","1943.EDN.regular.comment.csv",31
"CHN194305280",17,"pbp account ends here, rest deduced","1943.EDN.regular.comment.csv",32
