"NYA201210130",105,"$Derek Jeter left with a broken left ankle"FILENAME_TX","LINE_NUMBER_CT"

"NYA201210140",56,"$Omar Infante rounded 2B and Nick Swisher threw behind him; Robinson Cano dove at the runner and tagged him on the chest before Infante's hand touched the bag; 2B umpire Jeff Nelson called Infante safe"2012ALCS.EVE.post.comment.csv",2

"NYA201210140",57,"ej,giraj001,M,nelsj901,Call at 2B $Yankees Manager Joe Girardi argued with 2B umpire Jeff Nelson about the call on Infante in the previous play; Girardi walked off the mound and continued to argue after being told not to do so; Girardi ejected by Nelson"2012ALCS.EVE.post.comment.csv",3

"DET201210160",29,"Yankees pitcher Phil Hughes left the game due to an injured back"2012ALCS.EVE.post.comment.csv",4

