"LAN196004120",0,"Debut for umpire Chris Pelekoudas"FILENAME_TX","LINE_NUMBER_CT"

"LAN196004170",66,"Debut game for Chris Cannizzaro"1960LAN.EVN.regular.comment.csv",2

"LAN196004300",50,"Billy O'Dell left with blister"1960LAN.EVN.regular.comment.csv",3

"LAN196005020",61,"$Roger Craig hurt in collision with Vada Pinson"1960LAN.EVN.regular.comment.csv",4

"LAN196005060",61,"Don Cardwell pulled muscle"1960LAN.EVN.regular.comment.csv",5

"LAN196005070",47,"Robin Roberts left with stiff arm"1960LAN.EVN.regular.comment.csv",6

"LAN196005070",60,"ej,gillj102,P,varge901,Call at 3B (Bumped umpire) Jim Gilliam ejected by 3B umpire Ed Vargo"1960LAN.EVN.regular.comment.csv",7

"LAN196005100",68,"ej,smith106,P,craws901,Balls and strikes Hal Smith ejected by HP umpire Shag Crawford"1960LAN.EVN.regular.comment.csv",8

"LAN196005300",17,"$Don Drysdale struck on right ankle"1960LAN.EVN.regular.comment.csv",9

"LAN196006030",64,"ej,ashbr101,P,jackb901,Called third strike Richie Ashburn ejected by HP umpire Bill Jackowski"1960LAN.EVN.regular.comment.csv",10

"LAN196006040",29,"ej,larkn101,P,lands901,Balls and strikes Norm Larker ejected by HP umpire Stan Landes"1960LAN.EVN.regular.comment.csv",11

"LAN196006040",56,"ej,avere102,P,barla901,Bench jockeying Earl Averill ejected by 1B umpire Al Barlick"1960LAN.EVN.regular.comment.csv",12

"LAN196006040",61,"Don Cardwell injured arm"1960LAN.EVN.regular.comment.csv",13

"LAN196006050",61,"$the line drive struck a cable in left center and caromed back onto the field"1960LAN.EVN.regular.comment.csv",14

"LAN196006050",77,"$off the LF pole"1960LAN.EVN.regular.comment.csv",15

"LAN196006080",44,"ej,bragb101,C,venzt901,Bench jockeying Dodgers Coach Bobby Bragan ejected by HP umpire Tony Venzon"1960LAN.EVN.regular.comment.csv",16

"LAN196006100",13,"Debut game for Ed Palmquist"1960LAN.EVN.regular.comment.csv",17

"LAN196006120",9,"ej,mcmir101,P,venzt901,Bench jockeying Roy McMillan ejected by HP umpire Tony Venzon"1960LAN.EVN.regular.comment.csv",18

"LAN196006140",55,"$Don Drysdale hurt back fielding Robin Roberts ball in fifth"1960LAN.EVN.regular.comment.csv",19

"LAN196006150",62,"$Sandy Koufax overslid 2B"1960LAN.EVN.regular.comment.csv",20

"LAN196006170",29,"$Dick Stuart's throw struck Wally Moon who was out trying to stretch"1960LAN.EVN.regular.comment.csv",21

"LAN196006170",46,"ej,vernm101,C,burkk101,Balls and strikes Pirates Coach Mickey Vernon ejected by 1B umpire Ken Burkhart"1960LAN.EVN.regular.comment.csv",22

"LAN196007090",60,"$Bob Nieman rounded 3B too far"1960LAN.EVN.regular.comment.csv",23

"LAN196007240",55,"$Stan Williams dropped the ball while standing on the pitching rubber'"1960LAN.EVN.regular.comment.csv",24

"LAN196007270",1,"Debut game for Jim Maloney"1960LAN.EVN.regular.comment.csv",25

"LAN196007270",37,"Roth says: 'short WP' - does this mean OA? He marked CS"1960LAN.EVN.regular.comment.csv",26

"LAN196007270",41,"ej,hutcf101,M,smitv101,Call at 2B ej,newcd101,P,smitv101,Bench jockeying $Vada Pinson was tagged by Charlie Neal, who dropped the ball; 2B umpire Vinnie Smith ruled Pinson out; Reds Manager Fred Hutchinson ejected by Smith; Don Newcombe ejected by Smith for remarks made from the bench"1960LAN.EVN.regular.comment.csv",27

"LAN196007270",53,"$Charlie Neal stumbled rounding 3B"1960LAN.EVN.regular.comment.csv",28

"LAN196007300",55,"$Maury Wills left ill"1960LAN.EVN.regular.comment.csv",29

"LAN196007310",73,"ej,larkn101,P,conlj102,Call at 1B Norm Larker ejected by 1B umpire Jocko Conlan"1960LAN.EVN.regular.comment.csv",30

"LAN196008240",24,"$Wally Moon tripped in front of HP"1960LAN.EVN.regular.comment.csv",31

"LAN196008250",63,"ej,dresc101,M,venzt901,Balls and strikes (Foul tip) $Braves manager Dressen ejected by HP umpire Venzon for arguing ruling from 3B umpire Crawford that a foul tip had been caught"1960LAN.EVN.regular.comment.csv",32

"LAN196008262",55,"Cal McLish pulled muscle"1960LAN.EVN.regular.comment.csv",33

"LAN196008262",61,"$Frank Robinson and Vada Pinson injured in collision"1960LAN.EVN.regular.comment.csv",34

"LAN196008300",22,"$Dick Stuart rounded 2B too far"1960LAN.EVN.regular.comment.csv",35

"LAN196009010",93,"$Duke Snider ruled out for passing John Roseboro between 1B and 2B"1960LAN.EVN.regular.comment.csv",36

"LAN196009250",26,"Debut game for Doug Camilli"1960LAN.EVN.regular.comment.csv",37

"LAN196009260",54,"Debut game for Matty Alou"1960LAN.EVN.regular.comment.csv",38

"LAN196009270",71,"Debut game for Mel Nelson"1960LAN.EVN.regular.comment.csv",39

"LAN196009300",1,"Debut game for Jim Golden"1960LAN.EVN.regular.comment.csv",40

