"OAK201004060",8,"originally scored E5, changed to single next day","FILENAME_TX","LINE_NUMBER_CT"
"OAK201004060",69,"Debut game for Kanekoa Texeira","2010OAK.EVA.regular.comment.csv",2
"OAK201004070",55,"Debut game for Tyson Ross","2010OAK.EVA.regular.comment.csv",3
"OAK201004180",35,"Athletics first baseman Daric Barton left the game due to an injured elbow","2010OAK.EVA.regular.comment.csv",4
"OAK201004200",44,"Athletics second baseman Mark Ellis left the game due to an injured leg","2010OAK.EVA.regular.comment.csv",5
"OAK201004200",49,"$Kevin Kouzmanoff fouled the second pitch off the mask of HP umpire Ed Rapuano, the ball striking the chin area","2010OAK.EVA.regular.comment.csv",6
"OAK201004200",51,"umpchange,6,umphome,kulpr901 umpchange,6,ump2b,(None) $HP umpire Ed Rapuano left the field and 2B umpire Ron Kulpa moved behind the plate after a 13-minute delay for Kulpa to put on his plate gear","2010OAK.EVA.regular.comment.csv",7
"OAK201004210",55,"$the first hit off Phil Hughes; the ball struck Hughes on the forearm and bounced away","2010OAK.EVA.regular.comment.csv",8
"OAK201005030",13,"ej,washr001,M,westj901,Call at 1B changed $Rangers pitcher Rich Harden fielded the ball to the right of the mound and ran to 1B to make the putout; as he approached the bag, he looked over his shoulder and never touched the base, stepping to the foul side of the bag as he went by; Eric Chavez was called out by 1B umpire Paul Schrieber; Athletics manager Bob Geren came out to discuss the call; the umpires huddled and changed the call to safe; Rangers manager Ron Washington came out and argued with crew chief Joe West, who ejected Washington","2010OAK.EVA.regular.comment.csv",9
"OAK201005090",0,"$Dallas Braden throws the 19th perfect game in history","2010OAK.EVA.regular.comment.csv",10
"OAK201005170",38,"$Matt Tuiasosopo's fly ball to the warning track hit Rajai Davis' glove and caromed over the fence","2010OAK.EVA.regular.comment.csv",11
"OAK201005210",17,"Giants third baseman Juan Uribe left the game due to an injured leg","2010OAK.EVA.regular.comment.csv",12
"OAK201005230",47,"ej,gereb001,M,gibsg901,Foul tip call $Juan Uribe swung at the 1-2 slider and barely tipped it; Kurt Suzuki caught the pitch and HP umpire Brian Knight called Uribe out; Uribe protested that the ball hit the ground, so Knight checked with 1B umpire Greg Gibson, who agreed that the ball hit the ground and thus was not a strikeout; Athletics manager Bob Geren argued the call with Gibson, who ejected Geren","2010OAK.EVA.regular.comment.csv",13
"OAK201006070",44,"ej,skaaj801,C,coope901,Balls and strikes Athletics Batting Coach Jim Skaalen ejected by HP umpire Eric Cooper","2010OAK.EVA.regular.comment.csv",14
"OAK201006070",50,"Athletics center fielder Rajai Davis left the game due to a pulled hamstring suffered while running out his fifth inning triple","2010OAK.EVA.regular.comment.csv",15
"OAK201006230",34,"ej,gereb001,M,crawj901,Infield fly non-call $Brandon Phillips allowed the soft liner to bounce in front of him, picked up the ball and threw it home to start the double play; Athletics manager Bob Geren argued with 2B umpire Jerry Crawford that the play should have been and infield fly; Geren was ejected by Crawford","2010OAK.EVA.regular.comment.csv",16
"OAK201006250",19,"DWS: these two plays are really one, but must be separated for now","2010OAK.EVA.regular.comment.csv",17
"OAK201007060",43,"ej,bartd001,P,wintm901,Called third strike $Barton ejected by HP umpire Winters for arguing called third strike, slamming bat down","2010OAK.EVA.regular.comment.csv",18
"OAK201007200",87,"ej,crisc001,P,davib902,Balls and strikes $as Athletics center fielder Coco Crisp walked away from the plate, he was yelling at HP umpire Bob Davidson, who ejected Crisp; Crisp then went back to the plate to continue yelling and Davidson stood there and smiled at Crisp; Athletics manager Bob Geren came out and led Crisp away from the plate before talking with Davidson","2010OAK.EVA.regular.comment.csv",19
"OAK201007200",89,"$HP umpire Bob Davidson called the balk and the Red Sox dugout erupted","2010OAK.EVA.regular.comment.csv",20
"OAK201007200",90,"ej,farrj001,C,davib902,Checked swing $the 2-2 pitch to Adam Rosales was a check swing that 1B umpire Angel Campos ruled as no swing; Red Sox pitching coach John Farrell and manager Terry Francona yelled at Campos about the call; HP umpire Bob Davidson ejected Farrell and Francona came out to vent some frustration after the balk call","2010OAK.EVA.regular.comment.csv",21
"OAK201008020",0,"Debut for umpire John Tumpane","2010OAK.EVA.regular.comment.csv",22
"OAK201008020",30,"$Royals second baseman tagged Matt Watson and complained about the safe ruling; as Watson talked to 2B umpire John Tumpane, Rajai Davis scored from third","2010OAK.EVA.regular.comment.csv",23
"OAK201008020",62,"Debut game for Greg Holland","2010OAK.EVA.regular.comment.csv",24
"OAK201008030",56,"ej,gereb001,M,darlg901,Call at 3B $on a squeeze play, Mitch Maier was caught between third and home; pitcher Jerry Blevins tagged Maier after he stepped on the bag and then tagged Yuniesky Betancourt, who was also standing on the bag; 3B umpire Bill Hohn correctly called the trailing runner Betancourt out; however Maier had stepped off the bag after he was tagged and before Betancourt was tagged; the umpires huddled for a few minutes and ruled that Meier was out because he abandoned his effort per rule 7.08; Betancourt was safe because he was then the only runner on the bag when he was tagged; Athletics Manager Bob Geren argued the ruling, saying that Betancourt was out as the trail runner when he was tagged and the Meier was out for leaving the base; Geren was ejected by HP umpire Gary Darling","2010OAK.EVA.regular.comment.csv",25
"OAK201008030",69,"originally scored as double, changed next day, makes run unearned","2010OAK.EVA.regular.comment.csv",26
"OAK201008080",40,"Athletics first baseman Daric Barton left the game due to an injured shoulder","2010OAK.EVA.regular.comment.csv",27
"OAK201009050",47,"Athletics third baseman Kevin Kouzmanoff left the game due to an injured back","2010OAK.EVA.regular.comment.csv",28
"OAK201009120",80,"ej,bartd001,P,wendh902,Called third strike to end game Athletics first baseman Daric Barton ejected by HP umpire Hunter Wendelstedt even though the game was over","2010OAK.EVA.regular.comment.csv",29
"OAK201009200",3,"White Sox pitcher Gavin Floyd left the game due to an injured shoulder","2010OAK.EVA.regular.comment.csv",30
