"LAN200905060",79,"Debut game for Brent Leach","FILENAME_TX","LINE_NUMBER_CT"
"LAN200905060",82,"$13th consecutive home victory for the Dodgers","2009LAN.EVN.regular.comment.csv",2
"LAN200905070",52,"Debut game for Xavier Paul","2009LAN.EVN.regular.comment.csv",3
"LAN200905180",91,"$Ryan Church called out on appeal for missing 3B; he had scored a run that was negated","2009LAN.EVN.regular.comment.csv",4
"LAN200905180",94,"$CF Carlos Beltran brought in as part of a five-man infield","2009LAN.EVN.regular.comment.csv",5
"LAN200905200",14,"umpchange,2,ump2b,scotd901 umpchange,2,ump3b,uhlej901 $umpire Jake Uhlenhopp flew into LA to work his first major league game when James Hoye became ill; Debut for umpire Jake Uhlenhopp","2009LAN.EVN.regular.comment.csv",6
"LAN200905200",24,"Mets shortstop Jose Reyes left the game due to an injured leg","2009LAN.EVN.regular.comment.csv",7
"LAN200905220",59,"Debut game for Jamie Hoffmann","2009LAN.EVN.regular.comment.csv",8
"LAN200906070",61,"Debut game for Travis Schlichting","2009LAN.EVN.regular.comment.csv",9
"LAN200906160",56,"Debut game for Mitch Jones","2009LAN.EVN.regular.comment.csv",10
"LAN200906290",15,"$pitcher Randy Wolf and catcher Russell Martin walk to the dugout thinking there are three outs","2009LAN.EVN.regular.comment.csv",11
"LAN200907160",61,"Astros first baseman Lance Berkman left the game due to an injured leg","2009LAN.EVN.regular.comment.csv",12
"LAN200907180",60,"ej,coopc001,M,mosec901,Call at 1B $Jeff Keppinger's gounder was bobbled by Orlando Hudson, who picked up the ball and threw to first; Keppinger was called out by 1B umpire Casey Moser on a very close play; the Astros bench exploded, Keppinger yelled at Moser, but was restrained by 1B coach Jose Cruz; Astros manager Cecil Cooper argued with Moser and was ejected very quickly","2009LAN.EVN.regular.comment.csv",13
"LAN200907190",48,"Dodgers second baseman Orlando Hudson left the game due to an injured hand/wrist","2009LAN.EVN.regular.comment.csv",14
"LAN200907200",1,"replay,1,tavew001,CIN,laynj901,LOS03,O,N,I,,H $Willy Tavaras hit a ball at the top of the fence, which was ruled in play; Reds manager Dusty Baker argued that it should be a home run; acting crew chief Jerry Layne watched the replay and upheld the call","2009LAN.EVN.regular.comment.csv",15
"LAN200907200",24,"$the 537th home run for Manny Ramirez, to pass Mickey Mantle","2009LAN.EVN.regular.comment.csv",16
"LAN200907210",59,"Debut game for Craig Tatum","2009LAN.EVN.regular.comment.csv",17
"LAN200907260",51,"$both teams warned by HP umpire Bob Davidson","2009LAN.EVN.regular.comment.csv",18
"LAN200907260",65,"ej,badeb001,P,davib902,Intentional HBP ej,gonzf801,M,davib902,Intentional HBP Marlins pitcher Burke Badenhop and manager Fredi Gonzalez ejected by HP umpire Bob Davidson","2009LAN.EVN.regular.comment.csv",19
"LAN200908040",92,"ej,motag001,P,barkl901,Intentional HBP $Prince Fielder stared at Dodgers pitcher Guillermo Mota, who was immediately ejected by HP umpire Lance Barksdale; two Dodgers had been hit earlier and the score was 17-4; Fielder was escorted to 1B by crew chief Randy Marsh and 1B coach Ed Sedar; after the game Fielder tried to get into the Dodger club house but was denied admission by security personnel; two teammates took Fielder back to the Brewers club house","2009LAN.EVN.regular.comment.csv",20
"LAN200908070",43,"ej,cox-b103,M,coope901,Confusing call on pitch during steal $HP umpire Eric Cooper appeared to call a strike to Andre Ethier on the outside corner as Rafael Furcal was attempting to steal 2B; as 2B umpire Chuck Meriwether called Furcal out at 2B, Cooper called time, saying that the pitch was ball four; Braves manager Bobby Cox argued with Cooper and Cox kept making a strike call with his right arm imitating Cooper's motion; Cox was ejected by Cooper","2009LAN.EVN.regular.comment.csv",21
"LAN200908310",17,"$Ball slipped out of catcher's hand on return throw to pitcher","2009LAN.EVN.regular.comment.csv",22
"LAN200909040",14,"$the ball bounced off pitcher Clayton Kershaw to SS Rafael Furcal, who threw wide of first; the ball bounced off the wall and was recovered by James Loney, who bounced his throw to the plate","2009LAN.EVN.regular.comment.csv",23
"LAN200909060",72,"originally scored E5. changed after game to single","2009LAN.EVN.regular.comment.csv",24
"LAN200909160",0,"$umpire crew chief Gerry Davis was ill and did not start the game at the plate","2009LAN.EVN.regular.comment.csv",25
"LAN200909160",29,"umpchange,4,ump2b,everm901 umpchange,4,ump3b,davig901","2009LAN.EVN.regular.comment.csv",26
"LAN200910030",17,"ej,schab801,C,eddid901,Balls and strikes Dodgers Bench Coach Bob Schaefer ejected by HP umpire Doug Eddings for arguing the strike zone","2009LAN.EVN.regular.comment.csv",27
"LAN200910030",22,"$Contreras entered with 2-0 count as de la Rosa left with tightness in right groin","2009LAN.EVN.regular.comment.csv",28
"LAN200910030",53,"$Pitcher Morales failed to cover first on grounder that both first and second baseman had gone for.","2009LAN.EVN.regular.comment.csv",29
