"BRO192504140",7,"Over Burns","FILENAME_TX","LINE_NUMBER_CT"
"BRO192505030",63,"The crowd swarmed the field as he rounded 3B.  Jack and two policemen made a path to the plate.  The crowd then tried to pick him up after crossing home but he escaped after much struggling.","1925BRO.EVN.regular.comment.csv",62
"BRO192505080",11,"Pretty stop","1925BRO.EVN.regular.comment.csv",63
"BRO192505080",14,"Neat 1-handed diving catch","1925BRO.EVN.regular.comment.csv",64
"BRO192505080",29,"Good catch of wide throw","1925BRO.EVN.regular.comment.csv",65
"BRO192505080",37,"Close play at plate","1925BRO.EVN.regular.comment.csv",66
"BRO192505080",48,"Zitzmann hurt his ankle sliding into 2B","1925BRO.EVN.regular.comment.csv",67
"BRO192505080",53,"Sensational play at each end","1925BRO.EVN.regular.comment.csv",68
"BRO192505080",60,"Great stop","1925BRO.EVN.regular.comment.csv",69
"BRO192505080",71,"Line drive over the drawn-in infield","1925BRO.EVN.regular.comment.csv",70
"BRO192505090",5,"Mitchell was caught between 1B & 2B and run down","1925BRO.EVN.regular.comment.csv",71
"BRO192505090",8,"Sparkling running catch","1925BRO.EVN.regular.comment.csv",72
"BRO192505090",9,"Through Fournier's legs","1925BRO.EVN.regular.comment.csv",73
"BRO192505090",36,"High throw","1925BRO.EVN.regular.comment.csv",74
"BRO192505090",38,"NYEW reported Pinelli tagged Loftus between 3B & home","1925BRO.EVN.regular.comment.csv",75
"BRO192505090",62,"Hit top of CF fence; missed HR by 2'","1925BRO.EVN.regular.comment.csv",76
"BRO192505100",16,"DWS: No CS on error in 1925","1925BRO.EVN.regular.comment.csv",77
"BRO192505100",41,"ej,luqud101,P,riglc901,HBP (Threw bat) $Dolph Luque hit on the ribs; he threw his bat at Tiny Osborne and they ran at each other; HP umpire Cy Rigler got between the players as both benches cleared; Luque ejected by Rigler","1925BRO.EVN.regular.comment.csv",78
"BRO192505100",64,"Raining","1925BRO.EVN.regular.comment.csv",79
"BRO192505120",6,"Running catch","1925BRO.EVN.regular.comment.csv",80
"BRO192505120",22,"Over RF wall, into Bedford Avenue","1925BRO.EVN.regular.comment.csv",81
"BRO192505120",28,"Bounced off Critz' shins","1925BRO.EVN.regular.comment.csv",82
"BRO192505120",30,"Running catch","1925BRO.EVN.regular.comment.csv",83
"BRO192505120",37,"Wild throw over 2B","1925BRO.EVN.regular.comment.csv",84
"BRO192505120",63,"Walker tagged by Vance","1925BRO.EVN.regular.comment.csv",85
"BRO192505120",84,"Fournier couldn't play due to a sore hand","1925BRO.EVN.regular.comment.csv",86
"BRO192505130",3,"Into LF bleachers","1925BRO.EVN.regular.comment.csv",87
"BRO192505130",32,"Wonderful running catch","1925BRO.EVN.regular.comment.csv",88
"BRO192505130",33,"Fine stop","1925BRO.EVN.regular.comment.csv",89
"BRO192505130",39,"Running catch","1925BRO.EVN.regular.comment.csv",90
"BRO192505130",40,"Over Mitchell","1925BRO.EVN.regular.comment.csv",91
"BRO192505130",57,"Off Osborne's bare hand","1925BRO.EVN.regular.comment.csv",92
"BRO192505130",68,"$bounce home run","1925BRO.EVN.regular.comment.csv",93
"BRO192505140",7,"To the exit gate","1925BRO.EVN.regular.comment.csv",94
"BRO192505140",11,"Fine running catch","1925BRO.EVN.regular.comment.csv",95
"BRO192505140",25,"Too hot for Johnston","1925BRO.EVN.regular.comment.csv",96
"BRO192505140",26,"Running catch","1925BRO.EVN.regular.comment.csv",97
"BRO192505140",29,"Past Cooney","1925BRO.EVN.regular.comment.csv",98
"BRO192505140",31,"Off Fournier's shins","1925BRO.EVN.regular.comment.csv",99
"BRO192505140",40,"Mueller fumbled","1925BRO.EVN.regular.comment.csv",100
"BRO192505140",48,"Mueller missed shoestring catch, then threw wild to 3B.","1925BRO.EVN.regular.comment.csv",101
"BRO192505140",86,"During Mueller's AB, Taylor argued a called ball and was ejected by Ump Pfirman.","1925BRO.EVN.regular.comment.csv",102
"BRO192505150",1,"Great stop","1925BRO.EVN.regular.comment.csv",103
"BRO192505150",9,"The throw had Wheat by 10' but Bell dropped it","1925BRO.EVN.regular.comment.csv",104
"BRO192505150",11,"Ball bounced off Bottomley's shins to Hornsby","1925BRO.EVN.regular.comment.csv",105
"BRO192505150",26,"Into LF bleachers","1925BRO.EVN.regular.comment.csv",106
"BRO192505150",42,"Wonderful catch over 2B","1925BRO.EVN.regular.comment.csv",107
"BRO192505150",46,"The game was delayed while Umpire Sweeney directed Mgr Rickey to keep all but the next 2 batters on the bench. It was a thrilling argument and served only to delay what was already a very slow game.  After several minutes Sweeney went to consult with O'Day about the rules regarding the occasion.  Apparently Sweeney won the argument as only Bottomley and Bell were allowed to stand alongside of the bench while Hornsby was hitting.","1925BRO.EVN.regular.comment.csv",108
"BRO192505150",81,"Ump Sweeney called the batter out on a quick pitch while Douthit was three or four feet out of the batter's box. NYT: 'Hubbell struck out Douthit with two quick delivery pitches...Douthit maintained he was not in the batter's box when the last one was made.' SLS: 'It is probable this game will be protested.'","1925BRO.EVN.regular.comment.csv",109
"BRO192505160",8,"Easy fly but Smith slipped","1925BRO.EVN.regular.comment.csv",110
"BRO192505160",9,"Hafey fell trying to field the easy fly; it rolled to fence","1925BRO.EVN.regular.comment.csv",111
"BRO192505160",27,"Robbed of HR when Wheat leaned over LF bleacher fence. Cards argued Wheat had left the playing field to make the catch.","1925BRO.EVN.regular.comment.csv",112
"BRO192505160",45,"Cooney failed to touch the bag","1925BRO.EVN.regular.comment.csv",113
"BRO192505160",66,"Over Hornsby","1925BRO.EVN.regular.comment.csv",114
"BRO192505170",21,"Sensational stop","1925BRO.EVN.regular.comment.csv",115
"BRO192505170",22,"Vance was slow to cover 1B","1925BRO.EVN.regular.comment.csv",116
"BRO192505170",31,"Wide throw home","1925BRO.EVN.regular.comment.csv",117
"BRO192505170",33,"Over RF wall","1925BRO.EVN.regular.comment.csv",118
"BRO192505170",40,"Sensational 1-handed assist","1925BRO.EVN.regular.comment.csv",119
"BRO192505170",43,"DeBerry was spiked on left foot, colliding with Johnston; time was called while the wound was dressed.","1925BRO.EVN.regular.comment.csv",120
"BRO192505170",47,"Wide throw to 1B trying for DP","1925BRO.EVN.regular.comment.csv",121
"BRO192505170",56,"Over RF wall","1925BRO.EVN.regular.comment.csv",122
"BRO192505170",64,"Stock fumbled long enough to allow Pie to score","1925BRO.EVN.regular.comment.csv",123
"BRO192505170",76,"Cuyler fumbled","1925BRO.EVN.regular.comment.csv",124
"BRO192505170",89,"Clever catch","1925BRO.EVN.regular.comment.csv",125
"BRO192505180",14,"Grantham muffed Wright's low throw","1925BRO.EVN.regular.comment.csv",126
"BRO192505180",25,"Gooch let Cuyler's throw get away","1925BRO.EVN.regular.comment.csv",127
"BRO192505180",46,"Fine catch","1925BRO.EVN.regular.comment.csv",128
"BRO192505180",48,"High bounder","1925BRO.EVN.regular.comment.csv",129
