"CHA191604120",0,"Opening Day 1916 at Comiskey Park."
"CHA191604120",2,"Fournier dropped throw from Terry, Bush got back to first."
"CHA191604120",20,"Cobb running on slow roller hit by Veach."
"CHA191604120",25,"Ball deflected off Faber's glove."
"CHA191604120",65,"Coveleski's fourth hit."
"CHA191604130",64,"Top of eighth inning to end from 69."
"CHA191604140",55,"$Cunningham's wild throw went down right field bleachers"
"CHA191604150",37,"Hit and run play failed."
"CHA191604150",72,"Top of eighth inning to end from Tribune."
"CHA191604170",2,"Schalk's bad throw pulled Fournier off bag."
"CHA191604170",79,"Top of tenth inning to end from Tribune."
"CHA191604190",2,"Attempted sacrifice by Tobin."
"CHA191604190",12,"Hit and run play."
"CHA191604190",13,"Double steal attempt, Severeid chased back to first."
"CHA191604190",49,"Hit and run play."
"CHA191604190",62,"Sox argued that Sisler juggled throw from Lavan."
"CHA191604190",69,"Ninth inning used 69."
"CHA191605040",21,"Attempted sacrifice by Williams."
"CHA191605040",36,"Great catch."
"CHA191605050",10,"Gandil was tagged out before touching first."
"CHA191605050",63,"Ball deflected off pitcher."
"CHA191605050",64,"Ninth inning from Tribune."
"CHA191605060",39,"Raining hard but teams kept playing."
"CHA191605060",52,"Graney and Schalk got into a short wrestling match."
"CHA191606030",60,"Bottom of eighth inning to end from 109/Evening Mail."
"CHA191606050",5,"Ball hit umpire O'Loughlin."
"CHA191606050",33,"80 had E6, 109/RBS had as entered."
"CHA191606050",37,"Lynn went in with a 2-2 count."
"CHA191606050",60,"109 had pbp for eighth inning."
"CHA191606100",34,"Wolfgang waited for ball to roll foul."
"CHA191606100",53,"Pitcher deflected ball to E. Collins."
"CHA191606100",69,"Ninth inning from Post/Tribune."
"CHA191606100",75,"Murphy walked after attempting to sacrifice twice."
"CHA191606120",3,"Probably more assists, 109 just had 'he was chased down'."
"CHA191606120",42,"Attempted double steal."
"CHA191606130",3,"$Schalk dropped ball then tagged out Milan."
"CHA191606130",56,"Top of eighth inning to end from Tribune/Post."
"CHA191606140",2,"Attempted sacrifice."
"CHA191606140",27,"Attempted sacrifice."
"CHA191606150",31,"Schalk threw wild trying to catch Agnew off second base."
"CHA191606150",55,"Top of eighth inning to end from Globe/Tribune."
"CHA191606170",33,"Great play by Janvrin."
"CHA191606170",45,"Rain halted game thirty minutes."
"CHA191606170",55,"Top of eighth inning to end from Globe/Tribune."
"CHA191606290",21,"$Ball rolled behind batting cage."
"CHA191606290",32,"Great catch by Felsch in deep center."
"CHA191606290",43,"Attempted double steal."
"CHA191606290",60,"White Sox felt a balk should be called."
"CHA191606300",33,"Von Kolnitz injured his foot."
"CHA191606300",35,"Attempted double steal."
"CHA191606300",35,"Wright replaced Von Kolnitz due to injury"
"CHA191606300",49,"Botched hit and run play."
"CHA191607010",44,"ej,rowlp801,M,evanb901,Call at 2B $Chicago manager Rowland ejected by HP umpire Evans for arguing call that Jackson was out for missing 2nd base"
"CHA191607010",53,"$James unable to handle Baker's short toss after WP."
"CHA191607030",8,"Weilman dropped fly, S. Collins out on infield fly rule."
"CHA191607030",21,"Hit and run."
"CHA191607030",22,"Attempted double steal."
"CHA191607030",28,"Attempted double steal."
"CHA191607030",32,"Throw to the plate was late."
"CHA191607030",64,"Ball hit Pratt near second base."
"CHA191607041",3,"Broken hit and run play."
"CHA191607260",7,"E. Collins escaped rundown."
"CHA191607260",23,"$Weaver out for leaving base too soon."
"CHA191607280",46,"Ball deflected by pitcher."
"CHA191607280",48,"Murphy not listed in RBS with error."
"CHA191607280",62,"Nunamaker injured by foul tip but remained in game."
"CHA191607280",64,"Ninth inning from Tribune/Times/Retrosheet box score."
"CHA191607280",73,"Peck threw ball away trying for force out."
"CHA191607292",5,"Attempted sacrifice."
"CHA191607292",22,"Haley held third."
"CHA191607292",64,"Perfectly executed squeeze play by Ness and Weaver."
"CHA191608012",10,"McInnis hit in back going to second base."
"CHA191608012",10,"Terry injured ankle on last play, had to leave game."
"CHA191608012",15,"Attempted sacrifice."
"CHA191608012",50,"Attempted double steal."
"CHA191608012",55,"Deduced seventh inning to end from Tribune/box score."
"CHA191608012",65,"Lapp popped ball between home and first."
"CHA191608020",19,"Lawry hurt on play at second, possible broken leg."
"CHA191608041",14,"Hit and run failed."
"CHA191608041",51,"Attempted sacrifice."
"CHA191608050",5,"Attempted double steal."
"CHA191608050",64,"Ninth inning from Post/Tribune."
"CHA191608070",42,"Ness hit over Walker's head for IPHR."
"CHA191608070",64,"Gardner injured his hand on last play."
