"DET191704140",26,"Hit and run play."
"DET191704140",60,"attempted squeeze play"
"DET191704160",5,"Poked past Jones playing in"
"DET191704160",8,"Risberg: great play"
"DET191704160",18,"Cobb: great catch"
"DET191704160",66,"Off Bob Jones' glove"
"DET191704160",68,"Burns' throw hit Weaver in the back"
"DET191704160",69,"Hit & run"
"DET191704160",70,"Squeeze bunt; Weaver beat throw home"
"DET191704170",38,"Off the scoreboard"
"DET191704170",39,"$Ball rolled under 'the mattress' in front of the stand. Schalk found it too late to prevent Dyer from scoring."
"DET191704170",48,"To the fence in deep CF"
"DET191704170",50,"Leibold: running catch"
"DET191704170",51,"Felsch: running catch"
"DET191704170",63,"$Hit by a curve on his throwing arm"
"DET191705080",46,"ej,oneis101,P,olous901,Call at HP $Catcher O'Neill ejected by HP umpire O'Loughlin for Arguing that Bush was out at home"
"DET191705250",49,"Delayed steal."
"DET191705250",91,"Balance of game from 5/26 Phil. Inquirer."
"DET191707030",6,"Off Burns"
"DET191707030",33,"Faber deflected it"
"DET191707030",53,"To RF bleacher fence"
"DET191707030",75,"Faber deflected it"
"DET191707050",3,"Ehmke: leaping stop"
"DET191707050",4,"Felsch: running catch"
"DET191707050",5,"Fast play"
"DET191707050",15,"Ehmke: leaping stop"
"DET191707050",20,"Wide throw but ruled hit"
"DET191707050",33,"Vitt stopped terrific bounder"
"DET191707050",49,"Past Bush"
"DET191707050",53,"Running catch by Felsch who dropped it as he fell"
"DET191707050",56,"Felsch: wonderful running catch"
"DET191707050",71,"Replaced with 1-0 count"
"DET191707050",74,"Cobb ruled safe with fall-away slide.  Weaver was so mad at the call that he rolled the ball 20' back of 3B daring Ty to go home."
"DET191707050",77,"Over LF fence"
"DET191707060",4,"$Cobb deliberately dropped it and threw to Bush who tagged Weaver then the bag for a DP, but the play was disallowed."
"DET191707060",15,"Off Collins"
"DET191707060",16,"EBA reported no Risberg PO, yet dpline included him here"
"DET191707060",24,"Risberg: great stop"
"DET191707060",32,"Felsch's throw bounced into DET dugout"
"DET191707060",35,"To the scoreboard"
"DET191707060",69,"Cobb's 35-game hit streak ended"
"DET191707110",4,"Hit on the leg"
"DET191707110",10,"Veach: running catch"
"DET191707110",16,"Guessing PB here"
"DET191707110",26,"Vitt: great 1-handed stop"
"DET191707110",38,"Veach: great running catch"
"DET191707110",53,"Lewis: great running catch"
"DET191707110",60,"Caromed off Ruth's leg"
"DET191707120",3,"Hooper rounded 3B too far"
"DET191707120",7,"Bounced over Hoblitzel"
"DET191707120",15,"Scott: nice running catch"
"DET191707120",23,"Shore knocked it down"
"DET191707120",37,"Cobb dropped it after colliding with Harper"
"DET191707120",41,"Knocked down liner"
"DET191707120",43,"Hooper: great running catch"
"DET191707120",58,"Hooper dropped it after a long run"
"DET191707120",68,"Agnew made the play at 1B"
"DET191708230",43,"$Bunt that Noyes overthrew first, Grover retrieved the ball and threw wildly to home then Schang after chasing down the  ball, threw to third, which was uncovered by the A's."
"DET191708230",48,"Attempted double steal"
"DET191708230",52,"Play started by a Bush's leaping catch of a McInnis liner."
"DET191708230",55,"Jamieson lost the ball after a long run."
"DET191708230",61,"Infield hit"
"DET191708240",13,"Fell between McInnis and Jamieson"
"DET191708240",39,"McInnis throw to Bates had Burns caught off third, but Bates's  throw to the plate hit Burns in the back, allowing the run."
"DET191708240",52,"To the scoreboard"
"DET191709140",8,"Texas Leaguer; Bush nearly collided with Veach"
"DET191709140",14,"Felsch: long running catch"
"DET191709140",29,"Daring fall-away slide around Risberg"
"DET191709140",30,"Off Cicotte's glove"
"DET191709140",43,"Off the scoreboard"
"DET191709140",45,"Young ran at Collins who waited before making a quick break for home.  Young chased him but failed to make the tag."
"DET191709140",47,"Caromed off Mitchell's leg"
"DET191709140",49,"Bush: leaping 1-handed catch"
"DET191709140",57,"Felsch: running catch of low liner"
"DET191709140",64,"Guess; perhaps Heilmann booted Gandil's S9, but then the URs wouldn't match the EBA."
"DET191709140",68,"Guessing 23 here"
"DET191709140",80,"Heilmann was caught off 3B"
"DET191709151",9,"Felsch: running catch"
"DET191709151",16,"Vitt knocked down the terrific drive"
"DET191709151",19,"Felsch: running catch"
"DET191709151",21,"Dauss was run down"
"DET191709151",23,"Young: swell play"
"DET191709151",31,"Collins let it drop; Veach was ignorant of Infield Fly rule"
"DET191709151",33,"Bush: swell play"
"DET191709151",42,"Through Risberg"
"DET191709151",43,"Past Gandil"
"DET191709151",45,"Hit & run; Leibold muffed the liner but got the force"
"DET191709151",48,"Off Vitt's shins"
"DET191709151",49,"High throw home"
"DET191709151",51,"Bounded over Burns"
"DET191709151",68,"Risberg muffed running catch but ruled a hit"
"DET191709151",70,"Felsch: running catch"
"DET191709152",50,"pbp account ends here, rest deduced"
