"PHI194904270",15,"$Bob Elliott struck below left knee cap; he was carried off the field"FILENAME_TX","LINE_NUMBER_CT"

"PHI194905060",52,"ej,murtd101,P,conlj102,Claiming quick pitch ej,castp102,P,conlj102,Claiming quick pitch Danny Murtaugh and Pete Castiglione ejected by HP umpire Jocko Conlan"1949PHI.EVN.regular.comment.csv",2

"PHI194905081",11,"$Granny Hamner left because of a strained back"1949PHI.EVN.regular.comment.csv",3

"PHI194905081",91,"$Buddy Blattner collided with Del Ennis"1949PHI.EVN.regular.comment.csv",4

"PHI194905081",92,"$Phillies switched Silvestri and Miller between 2nd and short for rest of game, depending on handedness of batter"1949PHI.EVN.regular.comment.csv",5

"PHI194905082",58,"$game called for Sunday curfew"1949PHI.EVN.regular.comment.csv",6

"PHI194905291",62,"$Bill Nicholson left with pulled muscle"1949PHI.EVN.regular.comment.csv",7

"PHI194905292",55,"$game called due to curfew"1949PHI.EVN.regular.comment.csv",8

"PHI194905310",3,"$the throw struck Elbie Fletcher as he slid into 3B"1949PHI.EVN.regular.comment.csv",9

"PHI194905310",43,"$Del Ennis thought the ball was foul and did not chase it; the Phillies argued the call"1949PHI.EVN.regular.comment.csv",10

"PHI194906010",48,"$apparently an intervening misplay"1949PHI.EVN.regular.comment.csv",11

"PHI194906121",1,"umpchange,1,umphome,dascf901 umpchange,1,ump1b,goetl901 umpchange,1,ump3b,(None) $HP umpire Jorda left when arm injured on foul; 1B umpire Dascoli went behind plate, 3B umpire Goetz moved to 1st and game was finished with 3 umpires"1949PHI.EVN.regular.comment.csv",12

"PHI194906290",59,"$Luis Olmo injured his ankle sliding in the 5th"1949PHI.EVN.regular.comment.csv",13

"PHI194907080",111,"$Al Dark hit on the head by the throw and carried off field"1949PHI.EVN.regular.comment.csv",14

"PHI194907090",9,"ej,johns103,C,stewb901,Balls and strikes Braves Coach Si Johnson ejected by HP umpire Bill Stewart"1949PHI.EVN.regular.comment.csv",15

"PHI194907090",40,"$Braves manager Billy Southworth was showered with pop bottles when he took his place in the 3B coach's box; Phillies fans had been booing him the entire series for not selecting Ken Heintzelman or Robin Roberts for the N.L. All-Star team; the public address announcer warned the fans to stop or the game would be forfeited to Boston"1949PHI.EVN.regular.comment.csv",16

"PHI194907140",39,"DIFF: This error not in official totals"1949PHI.EVN.regular.comment.csv",17

"PHI194907140",46,"$Nippy Jones injured sliding"1949PHI.EVN.regular.comment.csv",18

"PHI194907150",40,"$HP umpire Al Barlick called Richie Ashburn out on bunt, but consulted with 3B umire Lee Ballanfant who said Joe Garagiola pushed the ball fair Barlick reversed the call to foul"1949PHI.EVN.regular.comment.csv",19

"PHI194907170",42,"game called due to rain and second game cancelled"1949PHI.EVN.regular.comment.csv",20

"PHI194908090",4,"$as Pee Wee Reese scored, his hip hit Andy Seminick on the head, knocking out Seminick and breaking a tooth"1949PHI.EVN.regular.comment.csv",21

"PHI194908090",41,"$Jackie Robinson scored standing up and twisted his ankle"1949PHI.EVN.regular.comment.csv",22

"PHI194908212",0,"Forfeit=V"1949PHI.EVN.regular.comment.csv",23

"PHI194908212",64,"$1B umpire George Barr ruled Richie Ashburn trapped Joe Lafata's fly that went for a double; fans barraged the field with pop bottles and the game was forfeited to the Giants"1949PHI.EVN.regular.comment.csv",24

