"MIA201604060",52,"$originally scored single plus E7; changed to double with no error on 04-08-2016","FILENAME_TX","LINE_NUMBER_CT"
"MIA201604060",73,"replay,8,pradm001,MIA,westj901,MIA02,,N,M,DET,A $Giancarlo Stanton rounded 2B too far and Miguel Cabrera threw behind Stanton; when Stanton was called safe, Tigers manager Brad Ausmus challenged the ruling; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",2
"MIA201604160",73,"replay,9,petej002,ATL,cedeg901,MIA02,,Y,M,MIA,C $when Jace Peterson was called safe at 1B, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",3
"MIA201604170",86,"replay,10,smitm007,ATL,cedeg901,MIA02,,N,M,ATL,A $when Jace Peterson was called out at HP, Braves manager Fredi Gonzalez challenged the ruling; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",4
"MIA201604180",14,"replay,2,murpd006,WAS,laynj901,MIA02,,N,M,WAS,O $when Daniel Murphy's fly to LF was called foul, Nationals manager Dusty Baker challenged the ruling; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",5
"MIA201604180",23,"replay,2,fernj003,MIA,laynj901,MIA02,,Y,M,MIA,C $when Adeiny Hechavarria was called out at 2B, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",6
"MIA201604180",65,"replay,7,stanm004,MIA,laynj901,MIA02,,Y,M,MIA,A $when Giancarlo Stanton was called out at 1B, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",7
"MIA201604190",11,"umpchange,2,ump1b,wendh902 umpchange,2,ump2b,(None) $1B umpire Jerry Layne jumped to get out of the way of Daniel Murphy's double down the line; he landed awkwardly on his right foot; after three pitches to Jayson Werth, Layne left; 2B umpire Hunter Wendelstedt moved to 1B","2016MIA.EVN.regular.comment.csv",8
"MIA201604190",67,"replay,9,taylm002,WAS,wendh902,MIA02,,N,M,WAS,C $when Michael Taylor was called out at 1B, Nationals manager Dusty Baker challenged the ruling; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",9
"MIA201605030",53,"replay,6,dietd001,MIA,demud901,MIA02,,N,M,ARI,I $when Derek Dietrich was ruled to have been hit by a pitch, D-Backs manager Chip Hale challenged the ruling; the call was upheld by replay","2016MIA.EVN.regular.comment.csv",10
"MIA201605040",49,"replay,6,tomay001,ARI,demud901,MIA02,,Y,M,MIA,A $when Yasmany Tomas was called safe at 2B, Marlins manager Don Mattingly challenged the ruling; the call was overturned by replay","2016MIA.EVN.regular.comment.csv",11
