"NYA201804050",61,"$Yankees challenged call that 7th pitch was a ball, claiming Gardner had been hit; call was upheld - ball, not hit by pitch","FILENAME_TX","LINE_NUMBER_CT"
"NYA201804060",34,"$CC Sabathia left game with injured hip","2018NYA.EVA.regular.comment.csv",2
"NYA201804060",53,"$Stanton got in rundown while Sanchez went to 3rd; Stanton ran past 3rd base down the line and was tagged; Orioles argued that it should be double play because Sanchez had passed Stanton; 3b umpire Kulpa ruled Stanton was out for abandoning the play, so no dp; Crew chief Meals agreed later that Kulpa was incorrect and Sanchez should have been out for passing Stanton; relevant rule is 5.06b","2018NYA.EVA.regular.comment.csv",3
"NYA201804060",93,"$Yankees challenged call that Torreyes was out at first to complete double play; call was overturned - forcout, no DP","2018NYA.EVA.regular.comment.csv",4
"NYA201804060",95,"$Umpire review of play at plate to be sure there was no obstruction; call was upheld - out at home","2018NYA.EVA.regular.comment.csv",5
"NYA201804080",50,"$Yankees challenged call that Peterson was out at first; call was overturned - single to shortstop","2018NYA.EVA.regular.comment.csv",6
"NYA201804170",13,"$originally scored as single with advance to second on error by 1bman; changed on 04-25-2018 to remove single; run later scored by Maybin now unearned","2018NYA.EVA.regular.comment.csv",7
"NYA201804170",61,"$Marlins challenged call that Gardner was safe at 1st; call was overturned - ground out","2018NYA.EVA.regular.comment.csv",8
"NYA201804220",65,"$Yankees challenged call that Austin was out at first; call was upheld - ground out","2018NYA.EVA.regular.comment.csv",9
"NYA201804250",85,"$Twins challenged call that Escobar was out at first; call was upheld - ground out","2018NYA.EVA.regular.comment.csv",10
"NYA201804260",2,"$Twins challenged call that Mauer was out at first to complete DP; call was overturned - force out, no DP","2018NYA.EVA.regular.comment.csv",11
"NYA201804260",29,"$Twins challenged call that Gardner was safe at first on pickoff attempt after 2nd pitch; call was overturned - out on pickoff","2018NYA.EVA.regular.comment.csv",12
"NYA201805040",29,"$Indians challenged call that Ramirez was out at 3rd; call was upheld - out on caught stealing","2018NYA.EVA.regular.comment.csv",13
"NYA201805040",67,"ej,alony001,P,timmt901,Arguing called strike $Yonder Alonso ejected by plate umpire Timmons for arguing the called strike on his next to last pitch","2018NYA.EVA.regular.comment.csv",14
"NYA201805100",13,"$Yankees challenged call that Vazquez was safe at first; call was overturned - ground out","2018NYA.EVA.regular.comment.csv",15
"NYA201805120",80,"$Yankees challenged call that Olson was safe at home; call was overturned - out at home for double play","2018NYA.EVA.regular.comment.csv",16
"NYA201805250",12,"$Yankees challenged call that Gregorius was out at first to complete double play; call was overturned - force out, no DP","2018NYA.EVA.regular.comment.csv",17
"NYA201805260",51,"$Justin Upton left with an injured arm","2018NYA.EVA.regular.comment.csv",18
"NYA201805280",15,"$Yankees challenged call that third pitch to Hicks was a ball, claiming it hit him; call was overturned - hit by pitch","2018NYA.EVA.regular.comment.csv",19
"NYA201805300",58,"$runner interference","2018NYA.EVA.regular.comment.csv",20
"NYA201806120",48,"$Yankees challenged call that Taylor was safe at 2nd on stolen base; call was overturned - out on caught stealing","2018NYA.EVA.regular.comment.csv",21
"NYA201806130",23,"$Nationals challenged call that Turner was out at 1st; call was upheld - out on pickoff","2018NYA.EVA.regular.comment.csv",22
"NYA201806130",62,"$Umpire review of play at second; call was upheld - out on caught stealing","2018NYA.EVA.regular.comment.csv",23
"NYA201806160",3,"$Yankees challenged call that Bauers was safe at second on stolen base; call was overturned - on caught stealing for double play","2018NYA.EVA.regular.comment.csv",24
"NYA201806300",57,"$Umpire review of ball hit by Devers; call was upheld - double, not home run","2018NYA.EVA.regular.comment.csv",25
"NYA201806300",73,"$Red Sox challenged call that third pitch to Holt was hit foul in the outfield; call was upheld - foul ball","2018NYA.EVA.regular.comment.csv",26
"NYA201807020",27,"Mound Visit","2018NYA.EVA.regular.comment.csv",27
"NYA201807020",28,"Mound Visit","2018NYA.EVA.regular.comment.csv",28
"NYA201807020",43,"Mound Visit","2018NYA.EVA.regular.comment.csv",29
"NYA201807020",58,"Mound Visit","2018NYA.EVA.regular.comment.csv",30
"NYA201807020",84,"Mound Visit","2018NYA.EVA.regular.comment.csv",31
"NYA201807030",14,"Mound Visit","2018NYA.EVA.regular.comment.csv",32
"NYA201807030",27,"Mound Visit","2018NYA.EVA.regular.comment.csv",33
"NYA201807030",31,"Mound Visit","2018NYA.EVA.regular.comment.csv",34
"NYA201807030",48,"Mound Visit","2018NYA.EVA.regular.comment.csv",35
"NYA201807030",50,"Mound Visit","2018NYA.EVA.regular.comment.csv",36
"NYA201807030",64,"Mound Visit","2018NYA.EVA.regular.comment.csv",37
"NYA201807030",69,"Injury Delay","2018NYA.EVA.regular.comment.csv",38
"NYA201807030",77,"Mound Visit","2018NYA.EVA.regular.comment.csv",39
"NYA201807030",77,"Injury Delay","2018NYA.EVA.regular.comment.csv",40
"NYA201807040",31,"$Freddie Freeman left with an injured arm","2018NYA.EVA.regular.comment.csv",41
"NYA201807040",36,"Mound Visit","2018NYA.EVA.regular.comment.csv",42
"NYA201807040",37,"$Gleyber Torres left with an injured leg","2018NYA.EVA.regular.comment.csv",43
"NYA201807040",41,"Mound Visit","2018NYA.EVA.regular.comment.csv",44
"NYA201807040",51,"Mound Visit","2018NYA.EVA.regular.comment.csv",45
"NYA201807040",59,"Mound Visit","2018NYA.EVA.regular.comment.csv",46
"NYA201807200",6,"Mound Visit","2018NYA.EVA.regular.comment.csv",47
"NYA201807200",28,"Mound Visit","2018NYA.EVA.regular.comment.csv",48
"NYA201807200",32,"Mound Visit","2018NYA.EVA.regular.comment.csv",49
"NYA201807200",33,"Mound Visit","2018NYA.EVA.regular.comment.csv",50
"NYA201807200",35,"$Yankees challenged that Bird was out at first; call was upheld - ground out","2018NYA.EVA.regular.comment.csv",51
"NYA201807200",42,"Mound Visit","2018NYA.EVA.regular.comment.csv",52
"NYA201807200",45,"Mound Visit","2018NYA.EVA.regular.comment.csv",53
"NYA201807200",48,"Injury Delay","2018NYA.EVA.regular.comment.csv",54
"NYA201807200",56,"Mound Visit","2018NYA.EVA.regular.comment.csv",55
"NYA201807200",66,"Mound Visit","2018NYA.EVA.regular.comment.csv",56
"NYA201807200",76,"Mound Visit","2018NYA.EVA.regular.comment.csv",57
"NYA201807200",88,"Mound Visit","2018NYA.EVA.regular.comment.csv",58
"NYA201807210",16,"ej,roesp801,C,vanol901,Arguing called third strike $Mets hitting coach Pat Roessler ejected by plate umpire Vanover for arguing called third strike","2018NYA.EVA.regular.comment.csv",59
"NYA201807210",30,"$Fan interference","2018NYA.EVA.regular.comment.csv",60
"NYA201807210",31,"Mound Visit","2018NYA.EVA.regular.comment.csv",61
"NYA201807210",35,"Mound Visit","2018NYA.EVA.regular.comment.csv",62
"NYA201807210",39,"ej,cabra002,P,wendh902,Arguing check swing strike three $Asdrubal Cabrera ejected by 3b umpire Wendelstedt for arguing check swing strike three","2018NYA.EVA.regular.comment.csv",63
