"PHI201010160",44,"$Raul Ibanez had the ball in his glove, but dropped it when he hit wall"FILENAME_TX","LINE_NUMBER_CT"

"PHI201010170",7,"$Aubrey Huff tried to stay on the bag and catch the throw which was to his left; his foot came off the bag and he failed to hold the ball, which rolled towards RF"2010NLCS.EVE.post.comment.csv",2

"PHI201010170",56,"$Giants first baseman Aubrey Huff cut off the throw from CF when he should have allowed it to pass; Phillies third base coach Sam Perlozzo had tried to stop runner Roy Oswalt at third but Oswalt ran through the stop sign; Huff cut off the throw hoping to throw behind Oswalt at third; instead, his relay home was late"2010NLCS.EVE.post.comment.csv",3

"SFN201010190",41,"$low, soft line drive that Chase Utley tried to short hop but missed; originally scored as error, but changed before end of game to single; changed back to error on 11/4/2010, making the run unearned and removing the RBI"2010NLCS.EVE.post.comment.csv",4

"SFN201010200",55,"$Pedro Sandoval hit the third pitch down the RF line; it landed just in front of RF umpire Ted Barrett, who spun out of the way and made no call; 1B Jeff Nelson, who turned to watch the ball, made the call after he saw that Barrett would not; the play was ruled a foul ball and the Giants objected"2010NLCS.EVE.post.comment.csv",5

"SFN201010210",17,"$Roy Halladay bunted the ball straight down onto the plate; it rolled off the back slightly before catcher Buster Posey could pick it up; the play was ruled a fair ball by HP umpire Jeff Nelson, who could not see the ball when it was picked up; Posey threw to 3B where Pablo Sandoval was about 5 feet in front of the bag; he tried to stretch his leg back to touch the bag before Raul Ibanez got there but missed it the first time; Ibanez was safe and Sandoval rolled over into foul territory; he then got up and threw the ball to 1B to put out Halladay, who had not run on the play"2010NLCS.EVE.post.comment.csv",6

"SFN201010210",18,"$the ball caromed off Aubrey Huff into CF"2010NLCS.EVE.post.comment.csv",7

"PHI201010230",24,"$the throw hit Buster Posey on the back"2010NLCS.EVE.post.comment.csv",8

"PHI201010230",27,"$Chase Utley was hit on the number 6 near the top of his back; as he ran up the 1B line, the ball caromed off the backstop to him; he flipped it towards Jonathan Sanchez, who did not appreciate it and said so to Utley; Utley said something back from 1B and Sanchez barked back; 1B umpire Derryl Cousins ran in front of Utley, who went back to the bag; both benches cleared; the six umpires got between the two teams and kept the peace; no ejections were made but Giants manager Bruce Bochy removed Sanchez from the game; both teams warned"2010NLCS.EVE.post.comment.csv",9

