"CHN199504280",36,"Debut game for Curt Schmidt"FILENAME_TX","LINE_NUMBER_CT"

"CHN199504280",49,"Debut game for Chad Fonville"1995CHN.EVN.regular.comment.csv",2

"CHN199504280",58,"Debut game for Mark Grudzielanek"1995CHN.EVN.regular.comment.csv",3

"CHN199504290",39,"Debut game for Reid Cornelius"1995CHN.EVN.regular.comment.csv",4

"CHN199505030",58,"Debut game for Dean Hartgraves"1995CHN.EVN.regular.comment.csv",5

"CHN199505030",61,"Debut game for Tanyon Sturtze"1995CHN.EVN.regular.comment.csv",6

"CHN199506110",45,"ej,buecs001,P,mealj901,Balls and strikes ej,riggj801,M,mealj901,Balls and strikes Steve Buechele and Cubs manager Jim Riggleman ejected by HP umpire Jerry Meals"1995CHN.EVN.regular.comment.csv",7

"CHN199506110",49,"ej,dunss001,P,relic901,Fighting with Jason Bates Jason Bates slid hard into SS Shawon Dunston, who objected to the slide; Dunston flipped off Bates' helmet, instigating a bench-clearing brawl; Dunston was ejected by 2B umpire Charlie Reliford and suspended for two games"1995CHN.EVN.regular.comment.csv",8

"CHN199506300",58,"ej,mcrab001,P,gormb901,Balls and strikes (Bumped umpire) ej,riggj801,M,gormb901,Balls and strikes Brian McRae and Cubs manager Jim Riggleman ejected by HP umpire Brian Gorman; McRae bumped Gorman during argument over called strike two"1995CHN.EVN.regular.comment.csv",9

"CHN199507130",80,"Debut game for Mike Hubbard"1995CHN.EVN.regular.comment.csv",10

"CHN199507170",1,"Debut game for Jason Isringhausen"1995CHN.EVN.regular.comment.csv",11

"CHN199508101",60,"Debut game for Terry Adams"1995CHN.EVN.regular.comment.csv",12

"CHN199508220",70,"ej,sosas001,P,herna901,Balls and strikes Sammy Sosa ejected by HP umpire Angel Hernandez"1995CHN.EVN.regular.comment.csv",13

"CHN199508280",0,"$HP umpire John McSherry left the game due to heat exhaustion sometime in the contest; other changes unknown"1995CHN.EVN.regular.comment.csv",14

"CHN199509060",43,"Debut game for Matt Franco"1995CHN.EVN.regular.comment.csv",15

"CHN199509260",70,"ej,jordb001,P,rapue901,Checked swing Brian Jordan ejected by 1B umpire Ed Rapuano arguing a check swing call for strike three"1995CHN.EVN.regular.comment.csv",16

"CHN199509300",28,"ej,collt801,M,willc901,Call at 3B $Astros manager Collins ejected by 3B umpire Williams for arguing that Castillo was out at 3rd"1995CHN.EVN.regular.comment.csv",17

