"TOR200303310",5,"Debut game for Hideki Matsui","FILENAME_TX","LINE_NUMBER_CT"
"TOR200303310",21,"$Jeter tried to go from 1B to 3B when it was left uncovered; catcher Huckaby ran to 3B to cover and when he fell his shinguard drove into Jeter's shoulder; after a 12 minute delay, Jeter taken to hospital with separated shoulderm on DL for 6 weeks","2003TOR.EVA.regular.comment.csv",2
"TOR200303310",58,"Debut game for Jose Contreras","2003TOR.EVA.regular.comment.csv",3
"TOR200303310",76,"Debut game for Jason Anderson","2003TOR.EVA.regular.comment.csv",4
"TOR200304020",55,"Debut game for Aquilino Lopez","2003TOR.EVA.regular.comment.csv",5
"TOR200304260",18,"Blue Jays Greg Myers left the game due to an injured arm","2003TOR.EVA.regular.comment.csv",6
"TOR200304300",87,"Debut game for Gerald Laird","2003TOR.EVA.regular.comment.csv",7
"TOR200304300",92,"Debut game for Erasmo Ramirez","2003TOR.EVA.regular.comment.csv",8
"TOR200305140",70,"Debut game for Antonio Perez","2003TOR.EVA.regular.comment.csv",9
"TOR200305150",30,"Devil Rays Terry Shumpert left the game due to an injured elbow","2003TOR.EVA.regular.comment.csv",10
"TOR200307240",0,"26 minute delay during game","2003TOR.EVA.regular.comment.csv",11
"TOR200307250",37,"$Luis Matos called for interference","2003TOR.EVA.regular.comment.csv",12
"TOR200307270",24,"$Luis Matos called for interference","2003TOR.EVA.regular.comment.csv",13
"TOR200307300",66,"ej,toscc801,M,emmep901,Balls and strikes Blue Jays Manager Carlos Tosca ejected by HP umpire Paul Emmel","2003TOR.EVA.regular.comment.csv",14
"TOR200308100",8,"$Vernon Wells hit a line drive up the middle that hit the pitcher and was caught by 3rd baseman Hank Blalock on the fly; Mike Bordick was rounding 2B so Blalock lobbed the ball right over the 1st baseman's head and into the stands; Bordick was awarded 3B but never retouched 2B; Texas appealed at 2B and Bordick was called out","2003TOR.EVA.regular.comment.csv",15
"TOR200308190",43,"Mariners Willie Bloomquist left the game due to an injured leg","2003TOR.EVA.regular.comment.csv",16
"TOR200309130",36,"$the ball bounced over Raines' head and then he loafed retrieving it","2003TOR.EVA.regular.comment.csv",17
"TOR200309220",39,"ej,hallr001,P,cuzzp901,Intentional HBP $Pitcher Roy Halladay ejected by HP umpire Cuzzi for intentionally hitting Baldelli","2003TOR.EVA.regular.comment.csv",18
"TOR200309220",43,"ej,hallt001,P,cuzzp901,Disputing call that he swung at HBP $Hall ejected by HP umpire Cuzzi for arguing that he swung at the strike 3 pitch which hit him","2003TOR.EVA.regular.comment.csv",19
"TOR200309230",42,"ej,towej001,P,poncl901,Throwing at batter $Pitcher Towers ejected by HP umpire Poncino for throwing at Huff","2003TOR.EVA.regular.comment.csv",20
"TOR200309230",75,"ej,lopea003,P,poncl901,Throwing at batter ej,crawc002,P,poncl901,Fighting ej,sturt001,P,poncl901,Fighting $Pitcher Aquilino Lopez ejected by HP umpire Poncino for throwing behind Crawford; benches cleared and Crawford ejected by Poncino along with Blue Jays Sturtze for fighting; Miller originally credited with save, but proper reading of rule 10.20 indicates that he did not enter in a save situation; he inherited a 2-0 count on a batter who walked but that essentially created his own save situation which is not permitted","2003TOR.EVA.regular.comment.csv",21
"TOR200309250",74,"$Delgado becomes the 15th player to hit 4 homers in 1 game; the 6th to do it in consecutive at bats","2003TOR.EVA.regular.comment.csv",22
