"DET196404140",42,"Debut game for Vern Handrahan"FILENAME_TX","LINE_NUMBER_CT"

"DET196404191",76,"Debut game for Fritz Fisher"1964DET.EVA.regular.comment.csv",2

"DET196405120",6,"Al Downing left with back injury which happened during warmup"1964DET.EVA.regular.comment.csv",3

"DET196405130",47,"Game called after 36 minute rain delay with 2-2 count on Clete Boyer"1964DET.EVA.regular.comment.csv",4

"DET196405171",72,"ej,hemus101,C,runge901,Balls and strikes (Kicked dirt on HP) Indians Coach Solly Hemus ejected by HP umpire Ed Runge"1964DET.EVA.regular.comment.csv",5

"DET196406130",11,"ej,regap101,P,carrh901,Positioning of chair in bullpen $Tigers Regan,not in game, ejected by 3B umpire Carrigan while Adcock batted for complaining when umpire told him to move his chair in the bullpen"1964DET.EVA.regular.comment.csv",6

"DET196406180",54,"Debut game for Rick Joseph"1964DET.EVA.regular.comment.csv",7

"DET196407040",16,"ej,mcaud101,P,drumc901,Called third strike Dick McAuliffe ejected by HP umpire Cal Drummond"1964DET.EVA.regular.comment.csv",8

"DET196407241",8,"Bill Bruton hurt ankle sliding back to 1B on Al Kaline liner"1964DET.EVA.regular.comment.csv",9

"DET196407241",23,"$the ball struck the facing on roof"1964DET.EVA.regular.comment.csv",10

"DET196407250",20,"$lights on, thunder"1964DET.EVA.regular.comment.csv",11

"DET196407250",79,"$Joe Sparma threw at Tony Kubek"1964DET.EVA.regular.comment.csv",12

"DET196407250",86,"$Jim Bouton threw ball behind Joe Sparma in retaliation for Sparma throwing at Tony Kubek; Bouton warned by HP umpire Red Flaherty"1964DET.EVA.regular.comment.csv",13

"DET196407262",51,"$missed squeeze"1964DET.EVA.regular.comment.csv",14

"DET196407290",2,"discrepancy: Official doesn't charge Buford with K"1964DET.EVA.regular.comment.csv",15

"DET196407290",68,"discrepancy: Official doesn't credit Gladding with K"1964DET.EVA.regular.comment.csv",16

"DET196408070",5,"ej,gentj101,P,dimul901,Balls and strikes Jim Gentile ejected by HP umpire Lou DiMuro"1964DET.EVA.regular.comment.csv",17

"DET196408091",67,"discrepancy: Official gave this AB to McAuliffe"1964DET.EVA.regular.comment.csv",18

"DET196408181",35,"ej,brutb101,P,hallb901,Balls and strikes Bill Bruton ejected by HP umpire Bill Haller"1964DET.EVA.regular.comment.csv",19

"DET196408190",44,"$off LF pole"1964DET.EVA.regular.comment.csv",20

"DET196409130",16,"Debut game for Mickey Stanley"1964DET.EVA.regular.comment.csv",21

"DET196409150",75,"Debut game for Marv Staehle"1964DET.EVA.regular.comment.csv",22

"DET196409202",31,"Debut game for Johnnie Seale"1964DET.EVA.regular.comment.csv",23

"DET196409260",24,"$George Thomas struck on head"1964DET.EVA.regular.comment.csv",24

