"KCA201204130",41,"Royals pitcher Luke Hochevar left the game due to an injured ankle"FILENAME_TX","LINE_NUMBER_CT"

"KCA201204140",19,"$Jonathan Sanchez hit Shin-Soo Choo on the right knee; Choo yelled at Sanchez and told him to throw the ball over the plate; both benches emptied; Jack Hannahan ran onto the field and started wrestling with a Royals player; both teams were warned by HP umpire Gary Darling; Sanchez hit Choo on 6/24/2011, breaking Choo's left thumb"2012KCA.EVA.regular.comment.csv",2

"KCA201204140",27,"ej,gomej002,P,darlg901,Intentional HBP ej,actam801,M,darlg901,Intentional HBP ej,hannj001,P,darlg901,Fighting after HPB $Jeanmar Gomez hit Mike Moustakas in retaliation for the Choo HBP; Jeanmar Gomez and Indians manager Manny Acta ejected by HP umpire Gary Darling; both benches emptied again; Jack Hannahan was in the middle of both scrums and was ejected by Darling"2012KCA.EVA.regular.comment.csv",3

"KCA201205070",29,"run was originally scored as earned, changed to UR on 5-10"2012KCA.EVA.regular.comment.csv",4

"KCA201205080",15,"Red Sox third baseman Will Middlebrooks left the game due tightness in his hamstring"2012KCA.EVA.regular.comment.csv",5

"KCA201205160",46,"Royals second baseman Chris Getz left the game due to an injured side"2012KCA.EVA.regular.comment.csv",6

"KCA201205170",58,"$Robert Andino's throw to 1B trying to double off Humberto Quintero hit Quintero on the side of the helmet; after reaching 2B, Quintero bent over and grabbed his head; after talking with the trainer and manager Ned Yost, QUintero stayed in the game"2012KCA.EVA.regular.comment.csv",7

"KCA201205170",61,"Royals catcher Humberto Quintero left the game due to an injured head"2012KCA.EVA.regular.comment.csv",8

"KCA201206020",55,"$Francoeur tried to flip up and over the tag by catcher Suzuki; he was called out by HP umpire Schrieber and the Royals objected to the call; Francoeur bruised his right heel when he landed on the plate"2012KCA.EVA.regular.comment.csv",9

"KCA201206020",55,"ej,quinh001,P,schrp901,Balls and strikes $Catcher Quintero ejected by HP umpire Schrieber for arguing balls and strikes"2012KCA.EVA.regular.comment.csv",10

"KCA201206060",1,"$Ben Revere called for batter interference"2012KCA.EVA.regular.comment.csv",11

"KCA201206060",4,"Royals pitcher Felipe Paulino left the game due to an injured groin"2012KCA.EVA.regular.comment.csv",12

"KCA201206130",69,"$Run was originally scored as earned, changed on 6-19-2012"2012KCA.EVA.regular.comment.csv",13

"KCA201206140",11,"ej,franj004,P,iassd901,Called third strike Royals right fielder Jeff Francoeur ejected by HP umpire Dan Iassogna for drawing a line with his bat where he thought the third strike pitch went by the plate"2012KCA.EVA.regular.comment.csv",14

"KCA201206140",20,"ej,yoste001,M,iassd901,Whether batter was out on interference $Nyjer Morgan bunted the second pitch as he was starting to run out of the batter's box and the ball struck Morgan; HP umpire Dan Iassogna ruled that Morgan was still in the box when he ran into the ball; the Royals objected and manager Ned Yost came out to argue; Yost ejected by Iassogna"2012KCA.EVA.regular.comment.csv",15

"KCA201206140",72,"$SS Edwin Maysonet took the throw from LF and threw to 2B to catch Brayan Pena who had rounded 1B and was heading for 2B; the throw bounced in front of Rickie Weeks and Jarrod Dyson scored the winning run; originally run was coded as scoring on throw, changed to E6 on 6-21-2012"2012KCA.EVA.regular.comment.csv",16

"KCA201206240",78,"originally scored as E6 on the advance, changed to E3 on 6-27-2012"2012KCA.EVA.regular.comment.csv",17

"KCA201206260",22,"$originally scored as E6, changed to single on 7-02-2012, makes his run this inning earned"2012KCA.EVA.regular.comment.csv",18

"KCA201207160",18,"Mariners shortstop Brendan Ryan left the game due to an injured knee"2012KCA.EVA.regular.comment.csv",19

