"SEA198504090",17,"$Don Hill called for interference for running into own batted ball","FILENAME_TX","LINE_NUMBER_CT"
"SEA198504090",43,"$pitch out on caught stealing","1985SEA.EVA.regular.comment.csv",2
"SEA198504090",57,"Suicide squeeze","1985SEA.EVA.regular.comment.csv",3
"SEA198504100",48,"$infield fly dropped untouched","1985SEA.EVA.regular.comment.csv",4
"SEA198504110",43,"Debut game for Jeff Kaiser","1985SEA.EVA.regular.comment.csv",5
"SEA198504110",63,"$ball hit a wire; could have been a homer","1985SEA.EVA.regular.comment.csv",6
"SEA198504110",86,"Debut game for Mike Gallego","1985SEA.EVA.regular.comment.csv",7
"SEA198504120",50,"$infielders lost the popup in dome roof","1985SEA.EVA.regular.comment.csv",8
"SEA198504130",1,"Debut game for Rich Yett","1985SEA.EVA.regular.comment.csv",9
"SEA198504130",28,"ej,gardb101,M,cousd901,Call at 2B Twins manager Billy Gardner ejected by 2B umpire Derryl Cousins","1985SEA.EVA.regular.comment.csv",10
"SEA198504140",67,"Debut game for Tom Klawitter","1985SEA.EVA.regular.comment.csv",11
"SEA198504250",15,"$Gary Pettis called for interference for running out of the baseline","1985SEA.EVA.regular.comment.csv",12
"SEA198504270",37,"$Matt Young injured elbow","1985SEA.EVA.regular.comment.csv",13
"SEA198504270",52,"$liner bounced off Dave Geisel to Donnie Scott","1985SEA.EVA.regular.comment.csv",14
"SEA198504280",58,"Tommy John injured","1985SEA.EVA.regular.comment.csv",15
"SEA198504280",64,"Debut game for Rafael Lugo","1985SEA.EVA.regular.comment.csv",16
"SEA198504290",72,"$Bill Schroeder injured in collision at HP","1985SEA.EVA.regular.comment.csv",17
"SEA198505170",80,"$Floyd Rayford called for interference for running into his own batted ball","1985SEA.EVA.regular.comment.csv",18
"SEA198505180",0,"Protest=H","1985SEA.EVA.regular.comment.csv",19
"SEA198505180",2,"$Seattle protested game on this call","1985SEA.EVA.regular.comment.csv",20
"SEA198505210",27,"$lights failed on 1-2 count; 23-minute delay","1985SEA.EVA.regular.comment.csv",21
"SEA198505230",22,"ej,michg101,C,cousd901,Call at 2B Yankees coach Gene Michael ejected by 2B umpire Derryl Cousins for arguing that 2B Jack Perconte was not on the bag","1985SEA.EVA.regular.comment.csv",22
"SEA198505240",37,"Ball four was intentional","1985SEA.EVA.regular.comment.csv",23
"SEA198505250",1,"Debut game for Brian Snyder","1985SEA.EVA.regular.comment.csv",24
"SEA198505250",12,"Debut game for Bob Melvin","1985SEA.EVA.regular.comment.csv",25
"SEA198505250",40,"$Brian Snyder left with blister","1985SEA.EVA.regular.comment.csv",26
"SEA198506120",1,"Debut game for Bruce Tanner","1985SEA.EVA.regular.comment.csv",27
"SEA198506130",1,"Debut game for Bill Wilkinson","1985SEA.EVA.regular.comment.csv",28
"SEA198506160",10,"$both Phil Bradley and Ivan Calderon ended up on 3B","1985SEA.EVA.regular.comment.csv",29
"SEA198506240",6,"$Wayne Tolleson missed HP; tagged out in dugout","1985SEA.EVA.regular.comment.csv",30
