"SLN200004030",21,"$Kevin Tapani called for interference for running into his own batted ball","FILENAME_TX","LINE_NUMBER_CT"
"SLN200004060",66,"Debut game for Julio Zuleta","2000SLN.EVN.regular.comment.csv",2
"SLN200004200",26,"ej,bochb002,M,younl901,Balls and strikes ej,nevip001,P,younl901,Balls and strikes $after going to 3B for the bottom of the inning, Phil Nevin yelled at HP umpire Larry Young and was ejected by Young; Nevin threw his glove and hat in the air as he left the field and then tookoff his jersey and dropped it in foul territory. Padre manager Bochy also ejected","2000SLN.EVN.regular.comment.csv",3
"SLN200004200",60,"Debut game for Gene Stechschulte","2000SLN.EVN.regular.comment.csv",4
"SLN200004220",29,"ej,bellb001,M,kulpr901,Fair/foul call (Reversed) $Fernando Tatis' fly ball was ruled foul then the umpires huddled and reversed the call to a home run; Rockies Manager Buddy Bell ejected by HP umpire Ron Kulpa","2000SLN.EVN.regular.comment.csv",5
"SLN200004230",35,"44 minute rain delay","2000SLN.EVN.regular.comment.csv",6
"SLN200004230",61,"called for rain after 1:56 delay","2000SLN.EVN.regular.comment.csv",7
"SLN200004250",0,"Debut for umpire Scott Packard","2000SLN.EVN.regular.comment.csv",8
"SLN200004250",25,"$Edgar Renteria called out on appeal","2000SLN.EVN.regular.comment.csv",9
"SLN200004260",18,"Raul Casanova called for interference","2000SLN.EVN.regular.comment.csv",10
"SLN200005020",75,"DWS: error clearly on McGwire, play looks OK, maybe wild throw after runner beat play at first","2000SLN.EVN.regular.comment.csv",11
"SLN200005030",83,"SS ADDED BADJ 12/19/00","2000SLN.EVN.regular.comment.csv",12
"SLN200005230",0,"Debut for umpire Justin Klemm","2000SLN.EVN.regular.comment.csv",13
"SLN200005270",0,"36 minute rain delay in the sixth","2000SLN.EVN.regular.comment.csv",14
"SLN200006200",67,"Game called for rain after 1 hour 29 minutes","2000SLN.EVN.regular.comment.csv",15
"SLN200006230",0,"rain delays of 22 minutes in the 11th and 19 minutes in the 12th","2000SLN.EVN.regular.comment.csv",16
"SLN200006240",0,"rain delays of 33 minutes in the 1st and 3:16 in the 2nd","2000SLN.EVN.regular.comment.csv",17
"SLN200006300",32,"originally scored as SB2","2000SLN.EVN.regular.comment.csv",18
"SLN200007020",0,"18 minute rain delay in the ninth","2000SLN.EVN.regular.comment.csv",19
"SLN200007040",84,"Debut game for Keith McDonald $HR in first major league at bat","2000SLN.EVN.regular.comment.csv",20
"SLN200007050",16,"Boone tears ACL - out for year as of 7-31-00","2000SLN.EVN.regular.comment.csv",21
"SLN200007060",19,"$homer in first two major league at bats","2000SLN.EVN.regular.comment.csv",22
"SLN200008040",27,"$Davis started back to 1B when Galarraga dropped the ball but turned back to 2B as Galarraga went to 1B and then returned to 1B as Lopez threw to 2B","2000SLN.EVN.regular.comment.csv",23
"SLN200008040",30,"$into Cardinals' bullpen","2000SLN.EVN.regular.comment.csv",24
"SLN200008040",42,"$Clark should have tossed to 2B Vina instead of Benes","2000SLN.EVN.regular.comment.csv",25
"SLN200008040",46,"$Perez ran into his own batted ball","2000SLN.EVN.regular.comment.csv",26
"SLN200008050",0,"$Chipper Jones out with a sore left wrist and Lockhart with a swollen left foot","2000SLN.EVN.regular.comment.csv",27
"SLN200008060",51,"Rule 10.10 (b)(7) says putout 3 $GDP awarded because of Clark's overly aggressive slide","2000SLN.EVN.regular.comment.csv",28
"SLN200008070",62,"2:14 rain delay","2000SLN.EVN.regular.comment.csv",29
"SLN200008200",1,"Debut game for Britt Reames","2000SLN.EVN.regular.comment.csv",30
"SLN200009010",78,"Debut game for Timoniel Perez","2000SLN.EVN.regular.comment.csv",31
"SLN200009040",21,"ej,guerv001,P,vanvm901,Balls and strikes Vlad Guerrero ejected by HP umpire Mike Vanvleet","2000SLN.EVN.regular.comment.csv",32
"SLN200009070",67,"Debut game for Talmadge Nunnari","2000SLN.EVN.regular.comment.csv",33
"SLN200009170",66,"$Sosa dropped ball after long run into corner","2000SLN.EVN.regular.comment.csv",34
"SLN200009190",41,"Cedeno scores, Hidalgo to 2B on wild throw after rundown","2000SLN.EVN.regular.comment.csv",35
"SLN200009200",43,"Debut game for Keith Ginter","2000SLN.EVN.regular.comment.csv",36
"SLN200009200",76,"Debut game for Morgan Ensberg","2000SLN.EVN.regular.comment.csv",37
"SLN200009290",1,"$lead off homer for Tucker in second consecutive game","2000SLN.EVN.regular.comment.csv",38
