"KCA198510190",4,"$Lonnie Smith becomes the first player to play in the World Series against a team for which he played in the same season","FILENAME_TX","LINE_NUMBER_CT"
"KCA198510190",66,"$Jack Clark rounded 2B too far","1985WS.EVE.post.comment.csv",2
"KCA198510270",51,"ej,anduj001,P,denkd901,Balls and strikes ej,herzw101,M,denkd901,Balls and strikes Joaquin Andujar and Cardinals manager Whitey Herzog ejected by HP umpire Don Denkinger","1985WS.EVE.post.comment.csv",3
