"HOU197604160",1,"Debut game for Dave Wehrmeister","FILENAME_TX","LINE_NUMBER_CT"
"HOU197604210",27,"missing fielders in HOU7604210","1976HOU.EVN.regular.comment.csv",2
"HOU197604210",58,"missing fielders in HOU7604210","1976HOU.EVN.regular.comment.csv",3
"HOU197604210",114,"missing fielders in HOU7604210","1976HOU.EVN.regular.comment.csv",4
"HOU197604220",3,"missing fielders in HOU7604220","1976HOU.EVN.regular.comment.csv",5
"HOU197604240",68,"ej,virdb101,M,quicj901,Checked swing $Astros manager Virdon ejected by 1B umpire Quick arguing a checked swing sometime in eighth","1976HOU.EVN.regular.comment.csv",6
"HOU197604250",27,"ej,frazj101,M,quicj901,Balk call $Mets manager Frazier ejected by HP umpire Quick for arguing balk call","1976HOU.EVN.regular.comment.csv",7
"HOU197605171",20,"missing fielders in HOU7605171","1976HOU.EVN.regular.comment.csv",8
"HOU197605171",77,"missing fielders in HOU7605171","1976HOU.EVN.regular.comment.csv",9
"HOU197605172",75,"ej,brisd801,M,wendh901,Call at 1B (Shoved umpire) ej,bensv101,C,wendh901,Call at 1B (Bumped umpire) $Braves manager Bristol and coach Benson ejected by 1B umpire Wendelstedt thta Boswell was out at 1st; Wendelstedt ruled that throw pulled 1bman off bag; Bristol engaged in shoving match with Wendelstedt and Benson also bumped him","1976HOU.EVN.regular.comment.csv",10
"HOU197605310",31,"$Cesar Cedeno reached 3B and tried to score on bad throw","1976HOU.EVN.regular.comment.csv",11
"HOU197606010",21,"$Doug Flynn and Cesar Geronimo collided on pop fly","1976HOU.EVN.regular.comment.csv",12
"HOU197606010",45,"$Cesar Geronimo kicked the ball to the RF line","1976HOU.EVN.regular.comment.csv",13
"HOU197606140",0,"$umpire Tom Gorman's first game after knee sugery","1976HOU.EVN.regular.comment.csv",14
"HOU197606240",63,"missing play in HOU197606240","1976HOU.EVN.regular.comment.csv",15
"HOU197607090",65,"Debut game for Joe Kerrigan","1976HOU.EVN.regular.comment.csv",16
"HOU197608130",2,"ej,hebnr001,P,monte901,Call at 2B Richie Hebner ejected by 2B umpire Ed Montague","1976HOU.EVN.regular.comment.csv",17
"HOU197608290",22,"$Bob Watson caught Jerry Mumphrey with the hidden ball trick","1976HOU.EVN.regular.comment.csv",18
"HOU197609090",39,"$Joaquin Andujar ran to 3B on walk when not forced; Roger Metzger left 3B and tagged","1976HOU.EVN.regular.comment.csv",19
"HOU197609090",91,"Debut game for Alex Taveras","1976HOU.EVN.regular.comment.csv",20
"HOU197609090",99,"Debut game for Al Javier","1976HOU.EVN.regular.comment.csv",21
"HOU197610010",32,"$Ken Reitz hurt by own foul ball","1976HOU.EVN.regular.comment.csv",22
