"TEX200804101",0,"$Debut for umpire Shawn Rakos","FILENAME_TX","LINE_NUMBER_CT"
"TEX200804130",50,"Blue Jays catcher Rod Barajas left the game due to an injured groin","2008TEX.EVA.regular.comment.csv",2
"TEX200804140",69,"ej,sciom001,M,westj901,Called third strike to Guerrero Angels Manager Mike Scioscia ejected by HP umpire Joe West for arguing the called third strike","2008TEX.EVA.regular.comment.csv",3
"TEX200804150",10,"$Ball hit hard off Millwood's shin, it stiffened and he left five innings","2008TEX.EVA.regular.comment.csv",4
"TEX200804150",25,"$No one covered second on steal, ball went into center. Error originally to SS, changed next day to 2Bman","2008TEX.EVA.regular.comment.csv",5
"TEX200804150",54,"Rangers pitcher Kevin Millwood left the game due to an injured leg","2008TEX.EVA.regular.comment.csv",6
"TEX200804250",35,"Twins center fielder Carlos Gomez left the game due to an injured leg","2008TEX.EVA.regular.comment.csv",7
"TEX200804250",83,"Rangers third baseman Hank Blalock left the game due to an injured leg","2008TEX.EVA.regular.comment.csv",8
"TEX200804260",42,"Twins pitcher Scott Baker left the game due to an injured groin","2008TEX.EVA.regular.comment.csv",9
"TEX200804260",90,"Debut game for Bobby Korecky","2008TEX.EVA.regular.comment.csv",10
"TEX200804290",9,"ej,kinsi001,P,welkb901,Called third strike Rangers second baseman Ian Kinsler ejected by HP umpire Bill Welke","2008TEX.EVA.regular.comment.csv",11
"TEX200804290",25,"Rangers pitcher Jason Jennings left the game due to an injured elbow","2008TEX.EVA.regular.comment.csv",12
"TEX200804290",56,"Debut game for Brandon Boggs","2008TEX.EVA.regular.comment.csv",13
"TEX200805100",33,"Rangers pitcher Kevin Millwood left the game due to an injured groin","2008TEX.EVA.regular.comment.csv",14
"TEX200805120",75,"Rangers designated hitter Milton Bradley left the game due to an injured neck/shoulder","2008TEX.EVA.regular.comment.csv",15
"TEX200805120",101,"Debut game for Doug Mathis","2008TEX.EVA.regular.comment.csv",16
"TEX200805140",52,"Mariners pitcher Carlos Silva left the game due to an injured back","2008TEX.EVA.regular.comment.csv",17
"TEX200805160",75,"ej,coopc001,M,herna901,Call at HP $Astros Manager Cecil Cooper argued the call at the plate with HP umpire Angel Campos; acting crew chief Angel Hernandez joined the discussion; Hernandez asked Cooper if he wanted to leave and Cooper told him he had to do something because he was not leaving; Hernandez then ejected Cooper","2008TEX.EVA.regular.comment.csv",18
"TEX200805180",45,"ej,coopc001,M,campa902,Call at 2B on caught stealing Astros Manager Cecil Cooper ejected by 2B umpire Angel Campos; Cooper bumped Campos and told him he was 2 for 2 in blown calls","2008TEX.EVA.regular.comment.csv",19
"TEX200805300",16,"Debut game for Carlos Gonzalez","2008TEX.EVA.regular.comment.csv",20
"TEX200805310",71,"Debut game for Brad Ziegler","2008TEX.EVA.regular.comment.csv",21
"TEX200806030",31,"Rangers pitcher A. J. Murray left the game due to an injured neck/shoulder","2008TEX.EVA.regular.comment.csv",22
"TEX200806040",40,"Indians second baseman Asdrubal Cabrera left the game due to an injured leg","2008TEX.EVA.regular.comment.csv",23
"TEX200806080",24,"$Upton and Gross collided, allowing ball to fall; Originally scored E8, changed to E9 after game changed back to E8 following day","2008TEX.EVA.regular.comment.csv",24
"TEX200806080",35,"$Rays catcher Dioner Navarro went to the mound and was barked at by pitcher Matt Garza; pitching coach Jim Hickey went to the mound to calm down Garza","2008TEX.EVA.regular.comment.csv",25
"TEX200806080",38,"$Navarro and Garza have a shoving match in the dugout","2008TEX.EVA.regular.comment.csv",26
"TEX200806080",53,"ej,hinse001,P,hoyej901,Called third strike Rays designated hitter Eric Hinske ejected by HP umpire James Hoye","2008TEX.EVA.regular.comment.csv",27
"TEX200806170",22,"Rangers designated hitter Milton Bradley left the game due to an injured leg","2008TEX.EVA.regular.comment.csv",28
"TEX200807070",21,"$the ball landed in the club level, only the 15th time in the history of the park","2008TEX.EVA.regular.comment.csv",29
"TEX200807070",45,"ej,sciom001,M,fleta901,Arguing that a batter had been HBP Angels Manager Mike Scioscia ejected by HP umpire Andy Fletcher for arguing that a pitch had hit Howie Kendrick","2008TEX.EVA.regular.comment.csv",30
