"SLN195204260",54,"ej,stane101,M,warnl101,Call at 3B Cardinals Manager Eddie Stanky ejected by 3B umpire Lon Warneke","FILENAME_TX","LINE_NUMBER_CT"
"SLN195205010",4,"$Granny Hamner rounded 3B too far","1952SLN.EVN.regular.comment.csv",2
"SLN195205020",47,"$Stan Musial safe on attempted DP but thought he was out and went toward RF","1952SLN.EVN.regular.comment.csv",3
"SLN195205030",55,"$missed squeeze","1952SLN.EVN.regular.comment.csv",4
"SLN195205041",39,"$Sid Gordon pulled a leg muscle","1952SLN.EVN.regular.comment.csv",5
"SLN195205060",4,"$Bobby Thomson rounded 3B too far","1952SLN.EVN.regular.comment.csv",6
"SLN195205060",35,"$Al Dark bunted to Steve Bilko but had to dodge out of way of Joe Presko near first base; 1B umpire Babe Pinelli ruled interference; Cardinals manager Eddie Stanky argued","1952SLN.EVN.regular.comment.csv",7
"SLN195205070",6,"rain began","1952SLN.EVN.regular.comment.csv",8
"SLN195205070",34,"$Steve Bilko left with a right shoulder injury suffered when he fell down the night before","1952SLN.EVN.regular.comment.csv",9
"SLN195205110",38,"ej,riced101,P,jordl901,Balls and strikes Del Rice ejected by HP umpire Lou Jorda","1952SLN.EVN.regular.comment.csv",10
"SLN195206090",54,"ej,stalg103,P,gorea901,Bench jockeying $Cardinal Staley, not in game, ejected by HP umpire Gore for yelling racial epithets at Black","1952SLN.EVN.regular.comment.csv",11
"SLN195206110",41,"ej,schmj101,P,stewb901,Bench jockeying Johnny Schmitz ejected by HP umpire Bill Stewart sometime in sixth","1952SLN.EVN.regular.comment.csv",12
"SLN195206110",63,"ej,reesp101,P,gorea901,Catch/trap call Pee Wee Reese ejected by 2B umpire Artie Gore","1952SLN.EVN.regular.comment.csv",13
"SLN195206110",64,"ej,dresc101,M,gugla901,Call at 1B Dodgers Manager Chuck Dressen ejected by 1B umpire Augie Guglielmo","1952SLN.EVN.regular.comment.csv",14
"SLN195206120",37,"$Del Rice called for interference with Roy Campanella's attempt to field the bunt","1952SLN.EVN.regular.comment.csv",15
"SLN195206120",76,"ej,vancc101,P,conlj102,Bench jockeying ej,lavac101,C,conlj102,Bench jockeying $Dodger Van Cuyk and coach Lavagetto ejected by 2B umpire Conlan for bench jockeying","1952SLN.EVN.regular.comment.csv",16
"SLN195206300",64,"$Bob Borkowski waited to see if Enos Slaughter would catch the ball at the wall; Bobby Adams passed Borkowski after rounding 1B","1952SLN.EVN.regular.comment.csv",17
"SLN195207062",4,"Tremendous 410' drive","1952SLN.EVN.regular.comment.csv",18
"SLN195207062",33,"Atop RF roof","1952SLN.EVN.regular.comment.csv",19
"SLN195207062",53,"Atop RF roof","1952SLN.EVN.regular.comment.csv",20
"SLN195207160",38,"$Sal Maglie left with sore back","1952SLN.EVN.regular.comment.csv",21
"SLN195207160",55,"ej,stane101,M,pineb101,Balls and strikes Cardinals Manager Eddie Stanky ejected by HP umpire Babe Pinelli","1952SLN.EVN.regular.comment.csv",22
"SLN195207160",56,"ej,wareb101,C,boggd901,Near hit by pitch Cardinals Coach Buzzy Wares ejected by 3B umpire Dusty Boggess","1952SLN.EVN.regular.comment.csv",23
"SLN195207160",82,"ej,hemus101,P,pineb101,Balls and strikes Solly Hemus ejected by HP umpire Babe Pinelli","1952SLN.EVN.regular.comment.csv",24
"SLN195207170",30,"$Bill Johnson was knocked out after colliding with 3B umpire Babe Pinelli while chasing Bob Elliott's double","1952SLN.EVN.regular.comment.csv",25
"SLN195207180",64,"$Earl Torgeson was so mad at taking a called third strike that when someone in the Braves dugout tossed him the infield warm-up ball, he threw it over the grandstand","1952SLN.EVN.regular.comment.csv",26
"SLN195208170",49,"$fans threw bottles onto the field protesting the call at HP","1952SLN.EVN.regular.comment.csv",27
"SLN195208200",47,"$onto the pavillion roof","1952SLN.EVN.regular.comment.csv",28
"SLN195208200",71,"game called after 41 minute rain delay","1952SLN.EVN.regular.comment.csv",29
"SLN195208210",0,"7 minute rain delay before start of game","1952SLN.EVN.regular.comment.csv",30
"SLN195208210",59,"$Virgil Jester called for the balk on ball three of an intentional walk to Enos Slaughter; HP umpire Larry Goetz ruled that Jester was not coming to a stop","1952SLN.EVN.regular.comment.csv",31
"SLN195208220",15,"$Peanuts Lowrey scored as Whitey Lockman argued with 1B umpire Augie Donatelli that his foot was on bag","1952SLN.EVN.regular.comment.csv",32
"SLN195208230",52,"ej,ellib103,P,donaa901,Balls and strikes Bob Elliott ejected by HP umpire Augie Donatelli arguing called strike 2","1952SLN.EVN.regular.comment.csv",33
"SLN195208230",53,"ej,hofmb101,P,donaa901,Balls and strikes Bobby Hofman ejected by HP umpire Augie Donatelli after taking one pitch for strike three","1952SLN.EVN.regular.comment.csv",34
"SLN195208251",20,"ej,roe-p101,P,dascf901,Bench jockeying Dodger Roe, not in game, ejected by 1B umpire Dascoli for arguing Robinson was safe at 1st in rundown","1952SLN.EVN.regular.comment.csv",35
"SLN195208252",34,"$Dick Williams left injured","1952SLN.EVN.regular.comment.csv",36
"SLN195208270",26,"ej,riced101,P,warnl101,Call at HP $Catcher Rice ejected by HP umpire Warneke for arguing call at HP","1952SLN.EVN.regular.comment.csv",37
"SLN195209240",24,"$onto the RF roof","1952SLN.EVN.regular.comment.csv",38
"SLN195209280",2,"$Baumholtz and Musial were in close race for batting title, so as a stunt Musial moved from center field to pitcher to face Baumholtz, who then turned around to bat right-handed; after Baumholtz reached on the error, the Cardinals resumed their regular positions","1952SLN.EVN.regular.comment.csv",39
