"SEA199803310",72,"Debut game for Charles Gipson"FILENAME_TX","LINE_NUMBER_CT"

"SEA199804060",65,"Debut game for Mike Buddie"1998SEA.EVA.regular.comment.csv",2

"SEA199805020",46,"ej,segud001,P,younl901,Called third strike David Segui ejected by HP umpire Larry Young"1998SEA.EVA.regular.comment.csv",3

"SEA199805030",12,"$First inside the park grand slam in Mariner history"1998SEA.EVA.regular.comment.csv",4

"SEA199805100",16,"umpchange,3,umphome,joycj901 umpchange,3,ump1b,craft901 umpchange,3,ump2b,(None) $HP umpire Clark left when hit on hand by foul; 1B umpire Joyce went behind plate, 2B umpire Craft moved to 1st and game finished with 3 umpires"1998SEA.EVA.regular.comment.csv",5

"SEA199805250",67,"ej,bordm001,P,johnm901,Balls and strikes Mike Bordick ejected by HP umpire Mark Johnson"1998SEA.EVA.regular.comment.csv",6

"SEA199805250",82,"Debut game for Steve Gajkowski"1998SEA.EVA.regular.comment.csv",7

"SEA199806070",71,"Debut game for Alex Cora"1998SEA.EVA.regular.comment.csv",8

"SEA199807010",71,"Debut game for Rickey Cradle"1998SEA.EVA.regular.comment.csv",9

"SEA199807090",18,"Debut game for Shane Monahan"1998SEA.EVA.regular.comment.csv",10

"SEA199807090",54,"ej,nevip001,P,barnl901,Called third strike (threw bat) Phil Nevin ejected by HP umpire Larry Barnett"1998SEA.EVA.regular.comment.csv",11

"SEA199807100",75,"ej,pinil001,M,barnl901,Check swing $Mariners manager Piniella ejected by 3B umpire Barnett for arguing check swing call with Erstad at bat"1998SEA.EVA.regular.comment.csv",12

"SEA199809060",21,"Debut game for Carlos Guillen"1998SEA.EVA.regular.comment.csv",13

"SEA199809240",44,"ej,smits801,C,cedeg901,Balk non-call $Mariners coach Smith ejected by 3B umpire Cederstrom for arguing pitcher had balked"1998SEA.EVA.regular.comment.csv",14

"SEA199809270",1,"Debut game for Jonathan Johnson"1998SEA.EVA.regular.comment.csv",15

