"SFN201904050",6,"Mound Visit"FILENAME_TX","LINE_NUMBER_CT"

"SFN201904050",41,"$Rays challenged call that Lowe was out at 1st to complete double play; call was overturned - force out, not DP"2019SFN.EVN.regular.comment.csv",2

"SFN201904050",42,"Mound Visit"2019SFN.EVN.regular.comment.csv",3

"SFN201904050",48,"Mound Visit"2019SFN.EVN.regular.comment.csv",4

"SFN201904050",50,"Mound Visit"2019SFN.EVN.regular.comment.csv",5

"SFN201904050",61,"Mound Visit"2019SFN.EVN.regular.comment.csv",6

"SFN201904050",62,"Mound Visit"2019SFN.EVN.regular.comment.csv",7

"SFN201904050",68,"Mound Visit"2019SFN.EVN.regular.comment.csv",8

"SFN201904050",70,"Mound Visit"2019SFN.EVN.regular.comment.csv",9

"SFN201904050",74,"Mound Visit"2019SFN.EVN.regular.comment.csv",10

"SFN201904050",76,"Mound Visit"2019SFN.EVN.regular.comment.csv",11

"SFN201904050",79,"Mound Visit"2019SFN.EVN.regular.comment.csv",12

"SFN201904050",80,"$Rays challenged call that Duggar was safe at 1st, claiming completion of double play"2019SFN.EVN.regular.comment.csv",13

"SFN201904060",21,"Mound Visit"2019SFN.EVN.regular.comment.csv",14

"SFN201904060",36,"Mound Visit"2019SFN.EVN.regular.comment.csv",15

"SFN201904060",38,"Mound Visit $Giants challenged call that Choi was safe at end; call was upheld - single and safe advancing to 2nd on throw"2019SFN.EVN.regular.comment.csv",16

"SFN201904060",46,"Mound Visit"2019SFN.EVN.regular.comment.csv",17

"SFN201904060",65,"Mound Visit"2019SFN.EVN.regular.comment.csv",18

"SFN201904060",69,"Mound Visit"2019SFN.EVN.regular.comment.csv",19

"SFN201904070",1,"$Umpire review of ball hit by Diaz; call was upheld - homer"2019SFN.EVN.regular.comment.csv",20

"SFN201904070",7,"$Rays challenged call that Panik was safe at 1st; call was overturned - ground out"2019SFN.EVN.regular.comment.csv",21

"SFN201904070",36,"Mound Visit"2019SFN.EVN.regular.comment.csv",22

"SFN201904070",53,"Mound Visit"2019SFN.EVN.regular.comment.csv",23

"SFN201904070",54,"Mound Visit"2019SFN.EVN.regular.comment.csv",24

"SFN201904070",56,"Mound Visit"2019SFN.EVN.regular.comment.csv",25

"SFN201904070",60,"On-field Delay"2019SFN.EVN.regular.comment.csv",26

"SFN201904080",50,"Mound Visit"2019SFN.EVN.regular.comment.csv",27

"SFN201904080",51,"Mound Visit"2019SFN.EVN.regular.comment.csv",28

"SFN201904080",59,"$Padres challented call that Pillar was safe at 2nd; call was upheld - stolen base"2019SFN.EVN.regular.comment.csv",29

"SFN201904080",61,"Injury Delay"2019SFN.EVN.regular.comment.csv",30

"SFN201904080",68,"Mound Visit"2019SFN.EVN.regular.comment.csv",31

"SFN201904080",72,"Mound Visit"2019SFN.EVN.regular.comment.csv",32

"SFN201904080",78,"Mound Visit"2019SFN.EVN.regular.comment.csv",33

"SFN201904090",16,"Mound Visit"2019SFN.EVN.regular.comment.csv",34

"SFN201904090",60,"Mound Visit"2019SFN.EVN.regular.comment.csv",35

"SFN201904090",61,"Mound Visit"2019SFN.EVN.regular.comment.csv",36

"SFN201904100",38,"$Padres challenged call that Kratz was safe at home; call was overturned - out on fielder's choice"2019SFN.EVN.regular.comment.csv",37

"SFN201904100",49,"Mound Visit"2019SFN.EVN.regular.comment.csv",38

