"CHN199204100",29,"Shawon Dunston left with strained hamstring","FILENAME_TX","LINE_NUMBER_CT"
"CHN199204250",40,"$the ball stuck Kirk Gibson's helmet, which had fallen to the ground when Gibson started running","1992CHN.EVN.regular.comment.csv",2
"CHN199205080",29,"Reggie Sanders left game with sore left hamstring","1992CHN.EVN.regular.comment.csv",3
"CHN199205100",36,"$Luis Salazar called for interference","1992CHN.EVN.regular.comment.csv",4
"CHN199205260",18,"$Danny Jackson missed the bag on the toss from Mark Grace","1992CHN.EVN.regular.comment.csv",5
"CHN199205270",58,"Debut game for Jim Bullinger","1992CHN.EVN.regular.comment.csv",6
"CHN199206010",13,"Debut game for Dan Walters","1992CHN.EVN.regular.comment.csv",7
"CHN199206020",1,"Debut game for Frank Seminara","1992CHN.EVN.regular.comment.csv",8
"CHN199206120",44,"Sosa left after being hit on wrist","1992CHN.EVN.regular.comment.csv",9
"CHN199207070",46,"ej,lefej101,M,bonig901,Called third strike $Cubs manager Lefebvre ejected by HP umpire Bonin for arguing called third strike to Vizcaino","1992CHN.EVN.regular.comment.csv",10
"CHN199207120",74,"ej,martj103,C,tatat901,Balk non-call $Cubs coach Martinez ejected by 1B umpire Tata for pitcher had balked","1992CHN.EVN.regular.comment.csv",11
"CHN199207280",42,"Debut game for Blas Minor","1992CHN.EVN.regular.comment.csv",12
"CHN199207280",59,"Debut game for Al Martin","1992CHN.EVN.regular.comment.csv",13
"CHN199207280",60,"Debut game for Steve Cooke","1992CHN.EVN.regular.comment.csv",14
"CHN199208280",62,"Bud Black injured when liner hit his hand","1992CHN.EVN.regular.comment.csv",15
"CHN199208290",24,"$Rey Sanchez held at 2B to see if the ball was caught; Ryne Sandberg ran right behind Sanchez as they approached HP; Sanchez ran across the plate and Sandberg slid across","1992CHN.EVN.regular.comment.csv",16
"CHN199208290",40,"Debut game for Steve Hosey","1992CHN.EVN.regular.comment.csv",17
"CHN199208290",57,"ej,branj001,P,darlg901,Intentional HBP $Pitcher Brantley ejected by HP umpire Darling","1992CHN.EVN.regular.comment.csv",18
"CHN199208290",58,"$HP umpire Darling warns teams about throwing at batters","1992CHN.EVN.regular.comment.csv",19
"CHN199208290",59,"ej,castf001,P,darlg901,Automatic ejection for HBP after warning ej,lefej101,M,darlg901,Automatic ejection for HBP after warning $Pitcher Castillo and Cubs manager Lefebvre ejected by HP umpire Gary Darling automatically for HBP after warning; benches cleared","1992CHN.EVN.regular.comment.csv",20
"CHN199208300",55,"Debut game for Steve Reed","1992CHN.EVN.regular.comment.csv",21
"CHN199208310",21,"Tom Candiotti's 1000th career strikeout","1992CHN.EVN.regular.comment.csv",22
"CHN199209010",9,"Debut game for Mike Piazza","1992CHN.EVN.regular.comment.csv",23
"CHN199209010",12,"Debut game for Rafael Bournigal","1992CHN.EVN.regular.comment.csv",24
"CHN199209010",68,"Debut game for Billy Ashley","1992CHN.EVN.regular.comment.csv",25
"CHN199209020",0,"Protest=V","1992CHN.EVN.regular.comment.csv",26
"CHN199209020",6,"Dodgers protest the game","1992CHN.EVN.regular.comment.csv",27
"CHN199209050",58,"Jose Melendez threw near Ryne Sandberg's head","1992CHN.EVN.regular.comment.csv",28
"CHN199209050",64,"ej,maddg002,P,monte901,Intentional HBP Greg Maddux ejected by HP umpire Ed Montague","1992CHN.EVN.regular.comment.csv",29
"CHN199209060",40,"Tony Fernandez left with right leg injury","1992CHN.EVN.regular.comment.csv",30
"CHN199209140",0,"Debut for umpire Jerry Meals","1992CHN.EVN.regular.comment.csv",31
"CHN199209150",60,"Torrential rain, game called after 1:28 delay","1992CHN.EVN.regular.comment.csv",32
"CHN199209192",54,"Tracy Woodson ran into wall chasing foul","1992CHN.EVN.regular.comment.csv",33
"CHN199209192",81,"Debut game for Jessie Hollins","1992CHN.EVN.regular.comment.csv",34
