"CHA197404050",0,"Debut for umpire Jim McKean","FILENAME_TX","LINE_NUMBER_CT"
"CHA197404070",82,"$Bill Melton hit on left hand","1974CHA.EVA.regular.comment.csv",2
"CHA197404070",92,"$game called because of snow and gusting wind; snow started in ninth inning; umpire crew chief Larry Napp: 'I had to do it. The batters were complaining they couldn't see the ball and the wind gusts and snow were making it difficult for the outfielders to pick up the ball","1974CHA.EVA.regular.comment.csv",3
"CHA197404200",47,"Buddy Bradford's throw ended up in LF bullpen","1974CHA.EVA.regular.comment.csv",4
"CHA197404210",11,"$Fran Healy hit in groin by foul tip off Dick Allen's bat","1974CHA.EVA.regular.comment.csv",5
"CHA197404210",48,"$Ball hit Steve Busby on leg and bounced into foul territory","1974CHA.EVA.regular.comment.csv",6
"CHA197404280",56,"1:18 rain delay","1974CHA.EVA.regular.comment.csv",7
"CHA197405160",67,"$In the top of the 8th, Washington hit for Mangual and singled; He stole second; Kubiak grounded out 1-3 with Washington holding at second; Pitts singled Washington home; at that point there was a 1:26 rain delay before the game was called","1974CHA.EVA.regular.comment.csv",8
"CHA197405170",6,"$Buddy Bradford suffered broken collarbone","1974CHA.EVA.regular.comment.csv",9
"CHA197405180",16,"Debut game for Lamar Johnson","1974CHA.EVA.regular.comment.csv",10
"CHA197405222",9,"ej,martb105,M,brinj901,Balls and strikes Rangers Manager Billy Martin ejected by HP umpire Joe Brinkman","1974CHA.EVA.regular.comment.csv",11
"CHA197406060",0,"1:30 rain delay before start of game","1974CHA.EVA.regular.comment.csv",12
"CHA197406060",13,"$Rain resumes during Roy White's at bat in 2nd inning","1974CHA.EVA.regular.comment.csv",13
"CHA197406060",15,"Elliott Maddox strained his right hamstring during this at bat","1974CHA.EVA.regular.comment.csv",14
"CHA197406060",16,"29 minute rain delay","1974CHA.EVA.regular.comment.csv",15
"CHA197406070",1,"Debut game for Joe Henderson","1974CHA.EVA.regular.comment.csv",16
"CHA197406070",64,"ej,fiskc001,P,odomj901,Call at HP ej,lee-b101,P,odomj901,Call at HP ej,johnd106,M,odomj901,Call at HP Carlton Fisk, Bill Lee and Red Sox Manager Darrell Johnson ejected by HP umpire Jim Odom","1974CHA.EVA.regular.comment.csv",17
"CHA197406070",75,"$game delayed at 10:50 due to fire in RF concession stand; many fans went onto the field to escape the smoke in the stands; game resumed at 12:00 midnite","1974CHA.EVA.regular.comment.csv",18
"CHA197406080",10,"20 minute rain delay","1974CHA.EVA.regular.comment.csv",19
"CHA197406080",26,"37 minute rain delay","1974CHA.EVA.regular.comment.csv",20
"CHA197406090",43,"$Tommy Harper ran into fence trying for catch","1974CHA.EVA.regular.comment.csv",21
"CHA197406090",50,"Rain delay","1974CHA.EVA.regular.comment.csv",22
"CHA197406290",67,"ej,quilf101,M,evanj901,Balls and strikes $Twins manager Quilici ejected by HP umpire Evans for arguing balls and strikes while making pitching change","1974CHA.EVA.regular.comment.csv",23
"CHA197407010",37,"410' HR","1974CHA.EVA.regular.comment.csv",24
"CHA197407010",40,"380' HR","1974CHA.EVA.regular.comment.csv",25
"CHA197407010",51,"390' HR","1974CHA.EVA.regular.comment.csv",26
"CHA197407020",6,"380' HR","1974CHA.EVA.regular.comment.csv",27
"CHA197407020",50,"400' HR","1974CHA.EVA.regular.comment.csv",28
"CHA197407030",27,"380' HR","1974CHA.EVA.regular.comment.csv",29
"CHA197407030",32,"390' HR","1974CHA.EVA.regular.comment.csv",30
"CHA197407030",36,"400' HR; 8 rows into upper deck","1974CHA.EVA.regular.comment.csv",31
"CHA197407030",65,"ej,may-c101,P,brinj901,Called third strike ej,tannc101,M,brinj901,Called third strike $White Sox manager Tanner and May ejected by HP umpire Brinkman for arguing called 3rd strike","1974CHA.EVA.regular.comment.csv",32
"CHA197407040",14,"390' HR","1974CHA.EVA.regular.comment.csv",33
"CHA197407120",55,"ej,weave801,M,sprim901,Balls and strikes Orioles Manager Earl Weaver ejected by HP umpire Marty Springstead","1974CHA.EVA.regular.comment.csv",34
"CHA197407140",12,"50 minute delay","1974CHA.EVA.regular.comment.csv",35
"CHA197407190",22,"Ed Sprague injured on play","1974CHA.EVA.regular.comment.csv",36
"CHA197408041",30,"460 feet","1974CHA.EVA.regular.comment.csv",37
"CHA197408080",82,"Debut game for Jack Kucek","1974CHA.EVA.regular.comment.csv",38
"CHA197409120",2,"$Cesar Tovar called for interference","1974CHA.EVA.regular.comment.csv",39
"CHA197409120",49,"45 minute rain delay and then game called","1974CHA.EVA.regular.comment.csv",40
"CHA197409131",52,"Debut game for Don Kirkwood","1974CHA.EVA.regular.comment.csv",41
"CHA197409150",46,"$3B umpire Bill Haller hurt by throw in; stayed in game","1974CHA.EVA.regular.comment.csv",42
"CHA197409200",64,"ej,bands101,P,mckej901,Called third strike Sal Bando ejected by HP umpire Jim McKean","1974CHA.EVA.regular.comment.csv",43
"CHA197409220",32,"Ted Kubiak injured on play","1974CHA.EVA.regular.comment.csv",44
"CHA197410010",20,"$throw went into dugout","1974CHA.EVA.regular.comment.csv",45
"CHA197410020",87,"ej,healf102,P,malog901,Call at 2B Fran Healy ejected by 2B umpire George Maloney","1974CHA.EVA.regular.comment.csv",46
