"BOS201904090",27,"$Blue Jays challenged call that Grichuk was out at 3rd; call was overturned - passed ball","FILENAME_TX","LINE_NUMBER_CT"
"BOS201904090",28,"Mound Visit","2019BOS.EVA.regular.comment.csv",2
"BOS201904090",53,"Mound Visit","2019BOS.EVA.regular.comment.csv",3
"BOS201904090",54,"Mound Visit","2019BOS.EVA.regular.comment.csv",4
"BOS201904090",58,"Mound Visit","2019BOS.EVA.regular.comment.csv",5
"BOS201904090",61,"Mound Visit","2019BOS.EVA.regular.comment.csv",6
"BOS201904090",67,"Injury Delay","2019BOS.EVA.regular.comment.csv",7
"BOS201904090",72,"Mound Visit Mound Visit","2019BOS.EVA.regular.comment.csv",8
"BOS201904090",78,"Mound Visit","2019BOS.EVA.regular.comment.csv",9
"BOS201904090",79,"Mound Visit","2019BOS.EVA.regular.comment.csv",10
"BOS201904090",84,"Mound Visit","2019BOS.EVA.regular.comment.csv",11
"BOS201904110",9,"Mound Visit","2019BOS.EVA.regular.comment.csv",12
"BOS201904110",24,"Mound Visit","2019BOS.EVA.regular.comment.csv",13
"BOS201904110",31,"Mound Visit","2019BOS.EVA.regular.comment.csv",14
"BOS201904110",43,"$Runner on first went back to base, thinking ball would be caught in the air; it hit the ground so Galvis was forced; 1bman Moreland tagged Galvis and then the base for an unassisted GDP","2019BOS.EVA.regular.comment.csv",15
"BOS201904110",61,"Mound Visit","2019BOS.EVA.regular.comment.csv",16
"BOS201904110",62,"Mound Visit","2019BOS.EVA.regular.comment.csv",17
"BOS201904110",73,"Mound Visit","2019BOS.EVA.regular.comment.csv",18
"BOS201904110",82,"Mound Visit","2019BOS.EVA.regular.comment.csv",19
"BOS201904120",26,"Mound Visit","2019BOS.EVA.regular.comment.csv",20
"BOS201904120",42,"Mound Visit","2019BOS.EVA.regular.comment.csv",21
"BOS201904120",45,"Mound Visit","2019BOS.EVA.regular.comment.csv",22
"BOS201904120",47,"Mound Visit","2019BOS.EVA.regular.comment.csv",23
"BOS201904120",54,"Mound Visit","2019BOS.EVA.regular.comment.csv",24
"BOS201904120",65,"Mound Visit","2019BOS.EVA.regular.comment.csv",25
"BOS201904120",67,"Mound Visit","2019BOS.EVA.regular.comment.csv",26
"BOS201904120",70,"Mound Visit","2019BOS.EVA.regular.comment.csv",27
"BOS201904120",71,"Mound Visit","2019BOS.EVA.regular.comment.csv",28
"BOS201904130",6,"Mound Visit","2019BOS.EVA.regular.comment.csv",29
