"LAN197904050",0,"Debut for umpire Fred Brocklander"FILENAME_TX","LINE_NUMBER_CT"

"LAN197904120",0,"Debut for umpire Jack Conn"1979LAN.EVN.regular.comment.csv",2

"LAN197905250",64,"$Davey Lopes hit the 3-0 pitch for a home run; the Reds were not happy that he did so with a big lead"1979LAN.EVN.regular.comment.csv",3

"LAN197905250",87,"ej,thomd001,P,mcshj901,Fighting ej,auerr101,P,mcshj901,Fighting $Davey Lopes walked on 4 inside pitches; then pitcher Dave Tomlin threw a brushback at Ted Martinez; both benchs emptied and a brawl ensued; Derrell Thomas and Rick Auerbach ejected by HP umpire John McSherry"1979LAN.EVN.regular.comment.csv",4

"LAN197905290",85,"$Dusty Baker ran past Steve Yeager and was called out"1979LAN.EVN.regular.comment.csv",5

"LAN197905310",58,"ej,altoj101,M,quicj901,Fair/foul call ej,davej101,C,quicj901,Fair/foul call ej,sadem101,P,quicj901,Fair/foul call $Sadek, Giants coach Davenport and manager Altobelli ejected by 1B umpire Quick for arguing about Sadek's grounder which hit umpire Quick and was ruled foul"1979LAN.EVN.regular.comment.csv",6

"LAN197906130",72,"$Bill Russell's liner hit Mark Littell in head"1979LAN.EVN.regular.comment.csv",7

"LAN197906180",0,"$HP umpire Nick Colosi was struck on the sternum by a foul ball sometime in the game; two days later in New York, he was admitted to the hospital after experiencing chest pains; he suffered a mild heart attack on 6/21"1979LAN.EVN.regular.comment.csv",8

"LAN197906250",64,"Ken Brett entered the game during Jerry Turner's plate appearance and we do not know the count; 2-0 is guess"1979LAN.EVN.regular.comment.csv",9

"LAN197907010",15,"$Johnny Oates dislocated right finger"1979LAN.EVN.regular.comment.csv",10

"LAN197907210",57,"Debut game for Joe Beckwith"1979LAN.EVN.regular.comment.csv",11

"LAN197908030",59,"Debut game for Mickey Hatcher"1979LAN.EVN.regular.comment.csv",12

"LAN197908250",39,"$Garry Templeton pulled his right hamstring on Bill Russell hit but stayed in game"1979LAN.EVN.regular.comment.csv",13

"LAN197908250",46,"$Garry Templeton left because of previous injury"1979LAN.EVN.regular.comment.csv",14

"LAN197908310",54,"$both benches clear"1979LAN.EVN.regular.comment.csv",15

"LAN197908310",65,"ej,lasot101,M,mcshj901,Intentional HBP ej,sutcr001,P,mcshj901,Intentional HBP Rick Sutcliffe and Dodgers Manager Tom Lasorda ejected by HP umpire John McSherry"1979LAN.EVN.regular.comment.csv",16

