"PIT190910080",1,"Debut game for Babe Adams","FILENAME_TX","LINE_NUMBER_CT"
"PIT190910080",2,"Debut game for Donie Bush","1909WS.EVE.post.comment.csv",2
"PIT190910080",5,"Debut game for Jim Delahanty","1909WS.EVE.post.comment.csv",3
"PIT190910080",6,"Debut game for George Moriarty","1909WS.EVE.post.comment.csv",4
"PIT190910080",7,"Debut game for Bobby Byrne","1909WS.EVE.post.comment.csv",5
"PIT190910080",10,"Debut game for Tom Jones","1909WS.EVE.post.comment.csv",6
"PIT190910080",15,"Debut game for Dots Miller","1909WS.EVE.post.comment.csv",7
"PIT190910080",16,"Debut game for Bill Abstein","1909WS.EVE.post.comment.csv",8
"PIT190910080",17,"Debut game for Chief Wilson","1909WS.EVE.post.comment.csv",9
"PIT190910080",23,"Debut game for George Gibson","1909WS.EVE.post.comment.csv",10
"PIT190910090",1,"Debut game for Howie Camnitz","1909WS.EVE.post.comment.csv",11
"PIT190910090",27,"Debut game for Vic Willis","1909WS.EVE.post.comment.csv",12
"DET190910110",9,"Debut game for Ed Willett","1909WS.EVE.post.comment.csv",13
"DET190910110",11,"Debut game for Nick Maddox","1909WS.EVE.post.comment.csv",14
"DET190910110",34,"$Sam Crawford caught the ball in the overflow crowd","1909WS.EVE.post.comment.csv",15
"DET190910110",68,"Debut game for Ralph Works","1909WS.EVE.post.comment.csv",16
"DET190910120",0,"$first use of 4 umpires in a World Series game (as a result of dispute over foul ball in game 2)","1909WS.EVE.post.comment.csv",17
"DET190910120",1,"ej,donob101,P,klemb901,Refusing to end conference with coach Bill Donovan ejected by HP umpire Bill Klem sometime in game","1909WS.EVE.post.comment.csv",18
"DET190910120",4,"Debut game for Lefty Leifield","1909WS.EVE.post.comment.csv",19
"DET190910120",17,"Debut game for Oscar Stanage","1909WS.EVE.post.comment.csv",20
"DET190910120",41,"Debut game for Paddy O'Connor","1909WS.EVE.post.comment.csv",21
"DET190910120",48,"$Honus Wagner hit by a pitch but was not allowed to take 1B because he tried to get hit","1909WS.EVE.post.comment.csv",22
"PIT190910130",1,"$bounce HR","1909WS.EVE.post.comment.csv",23
"PIT190910130",61,"$bounce HR","1909WS.EVE.post.comment.csv",24
"DET190910140",61,"Debut game for Ham Hyatt","1909WS.EVE.post.comment.csv",25
"DET190910140",75,"$Chief Wilson collided with Tom Jones, who dropped the ball; Jones carried off on a stretcher","1909WS.EVE.post.comment.csv",26
"DET190910140",77,"Debut game for Ed Abbaticchio","1909WS.EVE.post.comment.csv",27
"DET190910160",3,"$Bobby Byrne spiked on the play","1909WS.EVE.post.comment.csv",28
"DET190910160",23,"$George Moriarty left with unknown injury","1909WS.EVE.post.comment.csv",29
