"SLN196404220",4,"$Sandy Koufax pitching with stiff left elbow"FILENAME_TX","LINE_NUMBER_CT"

"SLN196404220",56,"$onto the roof"1964SLN.EVN.regular.comment.csv",2

"SLN196404230",39,"450 feet"1964SLN.EVN.regular.comment.csv",3

"SLN196404230",44,"$onto the roof"1964SLN.EVN.regular.comment.csv",4

"SLN196404290",80,"$Bill White rounded 1B too far"1964SLN.EVN.regular.comment.csv",5

"SLN196405040",35,"ej,gibsb101,P,harvd901,Threw bat at pitcher Bob Gibson ejected by HP umpire Doug Harvey for throwing his bat at pitcher Jack Baldschun"1964SLN.EVN.regular.comment.csv",6

"SLN196405300",63,"$Tommy Harper called for interference"1964SLN.EVN.regular.comment.csv",7

"SLN196406180",2,"Debut game for Hal Lanier"1964SLN.EVN.regular.comment.csv",8

"SLN196406200",45,"ej,whitb105,P,craws901,Call at 1B Bill White ejected by 1B umpire Shag Crawford"1964SLN.EVN.regular.comment.csv",9

"SLN196406200",60,"ej,darka101,M,craws901,Call at 1B Giants manager Al Dark ejected by 1B umpire Shag Crawford"1964SLN.EVN.regular.comment.csv",10

"SLN196406200",66,"Debut game for Dave Bakenhaster"1964SLN.EVN.regular.comment.csv",11

"SLN196406240",8,"umpchange,1,ump2b,(None) $2B umpire Conlan left when hit on foot by line drive; game finished with 3 umpires"1964SLN.EVN.regular.comment.csv",12

"SLN196406260",67,"$only ball 4 intentional"1964SLN.EVN.regular.comment.csv",13

"SLN196407140",56,"$onto roof"1964SLN.EVN.regular.comment.csv",14

"SLN196407150",7,"$onto roof"1964SLN.EVN.regular.comment.csv",15

"SLN196407150",54,"$over the roof"1964SLN.EVN.regular.comment.csv",16

"SLN196407150",75,"$onto the roof"1964SLN.EVN.regular.comment.csv",17

"SLN196407160",6,"$onto the roof"1964SLN.EVN.regular.comment.csv",18

"SLN196407170",52,"Galen Cisco injured by batted ball"1964SLN.EVN.regular.comment.csv",19

"SLN196407210",38,"1:21 rain delay"1964SLN.EVN.regular.comment.csv",20

"SLN196407230",90,"Debut game for Ed Spiezio"1964SLN.EVN.regular.comment.csv",21

"SLN196408010",17,"1:04 rain delay"1964SLN.EVN.regular.comment.csv",22

"SLN196408110",30,"ej,hallt102,P,lands901,Balls and strikes (from bench) Tom Haller ejected by HP umpire Stan Landes from the bench for arguing a called strike on Harvey Kuenn"1964SLN.EVN.regular.comment.csv",23

"SLN196408240",55,"$Tim McCarver stole 2B but Julian Javier was called for interference with the catcher on the steal attempt"1964SLN.EVN.regular.comment.csv",24

"SLN196408280",23,"$onto the roof"1964SLN.EVN.regular.comment.csv",25

"SLN196408310",61,"$onto the roof"1964SLN.EVN.regular.comment.csv",26

"SLN196409020",45,"Debut game for Clay Carroll"1964SLN.EVN.regular.comment.csv",27

"SLN196409030",68,"ej,alouf101,P,donaa901,Called third strike Felipe Alou ejected by HP umpire Augie Donatelli"1964SLN.EVN.regular.comment.csv",28

"SLN196410030",90,"Debut game for Dave Dowling"1964SLN.EVN.regular.comment.csv",29

