"BAL198310050",26,"42 minute rain delay","FILENAME_TX","LINE_NUMBER_CT"
"CHA198310070",32,"$Ron Kittle injured","1983ALCS.EVE.post.comment.csv",2
"CHA198310070",37,"$retaliation for Kittle HP; both teams warned","1983ALCS.EVE.post.comment.csv",3
"CHA198310080",56,"$Vance Law stopped at 3B Jerry but Dybzinski tried to go first to third; Law broke for home as Todd Cruz threw to Rich Dauer","1983ALCS.EVE.post.comment.csv",4
"CHA198310080",79,"Upper deck; 420' HR","1983ALCS.EVE.post.comment.csv",5
