"PHA192204280",31,"Young failed to touch second then overthrew first per WPost.","FILENAME_TX","LINE_NUMBER_CT"
"PHA192204280",36,"Not clear when Scheer entered.","1922PHA.EVA.regular.comment.csv",2
"PHA192204280",50,"Single to right per Washington Post.","1922PHA.EVA.regular.comment.csv",3
"PHA192204280",53,"All four infielders and battery involved in rundown per WP.","1922PHA.EVA.regular.comment.csv",4
"PHA192205010",57,"Unknown when Shanks entered.","1922PHA.EVA.regular.comment.csv",5
"PHA192205030",53,"source 451 used for remainder of game","1922PHA.EVA.regular.comment.csv",6
"PHA192205030",69,"ej,odoul101,P,wilsf901,Bench jockeying Lefty O'Doul ejected by HP umpire Frank Wilson","1922PHA.EVA.regular.comment.csv",7
"PHA192205050",12,"ej,wittw101,P,connt901,Balls and strikes Whitey Witt ejected by HP umpire Tommy Connolly","1922PHA.EVA.regular.comment.csv",8
"PHA192205050",56,"source 451 used for remainder of game","1922PHA.EVA.regular.comment.csv",9
"PHA192205060",25,"source 451 used for remainder of game","1922PHA.EVA.regular.comment.csv",10
"PHA192205060",41,"ej,fewsc101,P,wilsf901,Called third strike Chick Fewster ejected by HP umpire Frank Wilson","1922PHA.EVA.regular.comment.csv",11
"PHA192205120",45,"$Bounce HR","1922PHA.EVA.regular.comment.csv",12
"PHA192205130",67,"$Bounce HR","1922PHA.EVA.regular.comment.csv",13
"PHA192205160",56,"$Rube Yarrison left with an injured finger","1922PHA.EVA.regular.comment.csv",14
"PHA192205170",29,"$rain started","1922PHA.EVA.regular.comment.csv",15
"PHA192205190",9,"$Bounce HR","1922PHA.EVA.regular.comment.csv",16
"PHA192205190",51,"$Bounce HR","1922PHA.EVA.regular.comment.csv",17
"PHA192205230",41,"PR not noted on scoresheet.","1922PHA.EVA.regular.comment.csv",18
"PHA192205230",68,"DWS: no CS if error in 1922","1922PHA.EVA.regular.comment.csv",19
"PHA192206280",18,"Third out seemingly not given.","1922PHA.EVA.regular.comment.csv",20
"PHA192206280",65,"Not clear which batter error occured on.","1922PHA.EVA.regular.comment.csv",21
"PHA192206290",51,"Not clear when Maynard entered.","1922PHA.EVA.regular.comment.csv",22
"PHA192206290",51,"Not clear when Chaplin entered.","1922PHA.EVA.regular.comment.csv",23
"PHA192207011",46,"$rain delay of 10 minutes; when the sun came out the players were slow taking the field and it started raining again; a 20 minute delay this time","1922PHA.EVA.regular.comment.csv",24
"PHA192207011",53,"$short rain delay","1922PHA.EVA.regular.comment.csv",25
"PHA192207042",51,"Not clear when Miller entered.","1922PHA.EVA.regular.comment.csv",26
"PHA192207081",1,"$Ernie Johnson called for interference for running into his own batted ball","1922PHA.EVA.regular.comment.csv",27
"PHA192207082",63,"$game called after a 20 minute rain delay","1922PHA.EVA.regular.comment.csv",28
"PHA192207100",59,"source 451 used for remainder of game","1922PHA.EVA.regular.comment.csv",29
"PHA192207180",10,"$infield in for Steve O'Neill","1922PHA.EVA.regular.comment.csv",30
"PHA192207190",26,"$Ellerbe went after the grounder and wrenched his knee which was injured in Boston and which put him out of the game for several days.  Ellerbe was carried off the field.","1922PHA.EVA.regular.comment.csv",31
"PHA192207190",37,"source 451 used for remainder of game","1922PHA.EVA.regular.comment.csv",32
"PHA192207220",70,"source 451 used for remainder of game","1922PHA.EVA.regular.comment.csv",33
"PHA192208151",27,"$Guy Morton called for interference for running into his own batted ball","1922PHA.EVA.regular.comment.csv",34
"PHA192208152",38,"$Bounce HR","1922PHA.EVA.regular.comment.csv",35
"PHA192208152",54,"$Bounce HR","1922PHA.EVA.regular.comment.csv",36
"PHA192208152",71,"$Frank Bruggy left with an injured hand from a foul ball","1922PHA.EVA.regular.comment.csv",37
"PHA192208210",78,"Not certain when McGowan entered.","1922PHA.EVA.regular.comment.csv",38
"PHA192208221",18,"ej,perkc101,P,guthb901,Interference non-call ej,romme101,P,guthb901,Interference non-call $Bounce HR grabbed by fan; left fielder Perkins argued the call and was ejected by HP umpire Guthrie; Ed Rommel argued from bench and was also ejected by Guthrie","1922PHA.EVA.regular.comment.csv",39
"PHA192208222",37,"Not clear when Callaway entered.","1922PHA.EVA.regular.comment.csv",40
"PHA192208222",74,"Not certain when substitutions occurred.","1922PHA.EVA.regular.comment.csv",41
"PHA192208282",64,"reconstructed last 1.5 innings","1922PHA.EVA.regular.comment.csv",42
"PHA192208290",35,"$Bounce HR","1922PHA.EVA.regular.comment.csv",43
"PHA192208310",37,"Game called due to rain after four batters in the top of the sixth","1922PHA.EVA.regular.comment.csv",44
"PHA192209010",64,"Boston Globe says Pratt stopped at third.","1922PHA.EVA.regular.comment.csv",45
"PHA192209010",84,"To RF per Boston Globe.","1922PHA.EVA.regular.comment.csv",46
"PHA192209110",64,"$Wally Schang struck on the knee by a foul ball","1922PHA.EVA.regular.comment.csv",47
"PHA192209281",63,"There's no chance he was sacrificing.","1922PHA.EVA.regular.comment.csv",48
"PHA192209281",76,"Galloway given sacrifice despite there being two outs.","1922PHA.EVA.regular.comment.csv",49
"PHA192209282",66,"Game called for darkness","1922PHA.EVA.regular.comment.csv",50
"PHA192209292",23,"Not certain when Bush entered.","1922PHA.EVA.regular.comment.csv",51
