"BOS195704200",68,"$Bob Porterfield struck on hand","FILENAME_TX","LINE_NUMBER_CT"
"BOS195704210",1,"$wind-blown popup","1957BOS.EVA.regular.comment.csv",2
"BOS195704210",42,"$off RF pole","1957BOS.EVA.regular.comment.csv",3
"BOS195705150",7,"$Ted Williams threw his bat towards the dugout and was fined $25","1957BOS.EVA.regular.comment.csv",4
"BOS195705150",92,"some of the putouts in this game are questionable WP for Gromek somewhere","1957BOS.EVA.regular.comment.csv",5
"BOS195705170",66,"$Ted Williams rounded 3B too far","1957BOS.EVA.regular.comment.csv",6
"BOS195705180",17,"$Willard Nixon left with soreness in shoulder","1957BOS.EVA.regular.comment.csv",7
"BOS195705180",48,"$Frank Malzone struck on jaw by bad hop","1957BOS.EVA.regular.comment.csv",8
"BOS195705190",63,"$415 feet","1957BOS.EVA.regular.comment.csv",9
"BOS195705210",49,"Klaus made a third error at some point in the 6th","1957BOS.EVA.regular.comment.csv",10
"BOS195705210",55,"$Hit Klaus in the face","1957BOS.EVA.regular.comment.csv",11
"BOS195705210",56,"ej,whits103,P,summb901,Balls and strikes Sammy White ejected by HP umpire Bill Summers arguing a pitch to Rocky Colavito, whose checked swing was called a ball on what would have been strike three","1957BOS.EVA.regular.comment.csv",12
"BOS195705220",52,"$420 ft","1957BOS.EVA.regular.comment.csv",13
"BOS195705270",98,"$the throw hit Ted Lepcio on the face","1957BOS.EVA.regular.comment.csv",14
"BOS195705290",61,"missing play in BOS195705290","1957BOS.EVA.regular.comment.csv",15
"BOS195705290",83,"ej,loesb101,P,summb901,Balls and strikes Billy Loes ejected by HP umpire Bill Summers $Loes ejected for arguing ball 2 to Mauch","1957BOS.EVA.regular.comment.csv",16
"BOS195706180",11,"$Hal Naragon broke his right index finger in this $inning, but finished the game","1957BOS.EVA.regular.comment.csv",17
"BOS195706190",59,"ej,kresr101,C,runge901,Call at 1B ej,lemob101,P,runge901,Call at 1B Bob Lemon and Indians Coach Red Kress ejected by 3B umpire Ed Runge","1957BOS.EVA.regular.comment.csv",18
"BOS195706190",65,"$Roger Maris was hit on the face by a return throw to the mound by Sammy White","1957BOS.EVA.regular.comment.csv",19
"BOS195706220",38,"ej,jensj101,P,runge901,Bench jockeying $Red Soxe Jensen, not in game, ejected by HP umpire Runge for bench jockeying","1957BOS.EVA.regular.comment.csv",20
"BOS195706290",83,"ej,tighj801,M,berrc103,Balls and strikes (Threw towel) $Tigers manager Tighe ejected by 1B umpire Berry for arguing called strike 3","1957BOS.EVA.regular.comment.csv",21
"BOS195706300",31,"19 minute rain delay","1957BOS.EVA.regular.comment.csv",22
"BOS195706300",59,"$Willard Nixon left with nagging hip injury","1957BOS.EVA.regular.comment.csv",23
"BOS195707010",14,"$Frank Malzone rounded 1B too far after overthrow","1957BOS.EVA.regular.comment.csv",24
"BOS195707070",26,"ej,richp101,M,papaj901,Balls and strikes $Orioles manager Richards ejected by HP umpire Paparella for arguing balls and strikes to Jensen","1957BOS.EVA.regular.comment.csv",25
"BOS195707270",7,"$420 ft","1957BOS.EVA.regular.comment.csv",26
"BOS195707270",44,"ej,deloi101,P,ricej901,Balk call Ike Delock ejected by 3B umpire John Rice","1957BOS.EVA.regular.comment.csv",27
"BOS195707310",65,"should this be 64(1) or E6/TH1","1957BOS.EVA.regular.comment.csv",28
"BOS195708020",42,"$420 feet","1957BOS.EVA.regular.comment.csv",29
"BOS195708030",11,"$Jackie Jensen dropped the fly ball but recovered to throw out Minnie Minoso","1957BOS.EVA.regular.comment.csv",30
"BOS195708030",47,"$Larry Doby tried to score when a pitch got away from Sammy White","1957BOS.EVA.regular.comment.csv",31
"BOS195708111",1,"dropped throw; need assist","1957BOS.EVA.regular.comment.csv",32
"BOS195708112",86,"$Clint Courtney called for interference","1957BOS.EVA.regular.comment.csv",33
"BOS195708140",1,"$Ted Williams played the carom off the wall","1957BOS.EVA.regular.comment.csv",34
"BOS195708140",17,"$Whitey Ford left with sore shoulder","1957BOS.EVA.regular.comment.csv",35
"BOS195708150",76,"$Gene Mauch flipped to Billy Consolo who was nowhere near the bag","1957BOS.EVA.regular.comment.csv",36
"BOS195709120",44,"DIFF: officials Stephens 1 A not 2","1957BOS.EVA.regular.comment.csv",37
"BOS195709140",15,"$hit 3B bag","1957BOS.EVA.regular.comment.csv",38
"BOS195709140",31,"$the ball struck the wall in left center and caromed into the CF bleachers for a ground rule HR","1957BOS.EVA.regular.comment.csv",39
"BOS195709140",34,"missing play in BOS195709140","1957BOS.EVA.regular.comment.csv",40
"BOS195709140",36,"missing play in BOS195709140","1957BOS.EVA.regular.comment.csv",41
"BOS195709140",38,"missing play in BOS195709140","1957BOS.EVA.regular.comment.csv",42
"BOS195709140",40,"$Jimmy Piersall was trapped rounding 2B","1957BOS.EVA.regular.comment.csv",43
"BOS195709140",43,"missing play in BOS195709140","1957BOS.EVA.regular.comment.csv",44
"BOS195709140",44,"$Vic Wertz knocked down by first two pitches; Rudy Minarcin warned by HP umpire Frank Tabacchi","1957BOS.EVA.regular.comment.csv",45
"BOS195709151",42,"$Pete Daley dropped the third strike and then made a bad throw to 1B","1957BOS.EVA.regular.comment.csv",46
"BOS195709270",77,"$off Andy Carey's chest","1957BOS.EVA.regular.comment.csv",47
"BOS195709280",26,"$off Dave Sisler's foot","1957BOS.EVA.regular.comment.csv",48
"BOS195709290",59,"$into the triangle","1957BOS.EVA.regular.comment.csv",49
