"HOU198104140",65,"$Danny Heep left with ankle sprain","FILENAME_TX","LINE_NUMBER_CT"
"HOU198104230",81,"$Art Howe in close at 3B and the ball glanced off Howe's glove; Dickie Thon tried to back him up and ball bounced off his glove toward 2B","1981HOU.EVN.regular.comment.csv",2
"HOU198104250",62,"Debut game for Joe Pittman","1981HOU.EVN.regular.comment.csv",3
"HOU198105120",2,"$Tony Scott called for interference with Alan Ashby's throw","1981HOU.EVN.regular.comment.csv",4
"HOU198105270",65,"missing play in HOU198105270","1981HOU.EVN.regular.comment.csv",5
"HOU198108190",64,"Debut game for Terry Francona","1981HOU.EVN.regular.comment.csv",6
"HOU198109010",13,"$Alex Trevino called for interference","1981HOU.EVN.regular.comment.csv",7
"HOU198109010",56,"Debut game for Ron Gardenhire","1981HOU.EVN.regular.comment.csv",8
"HOU198109130",78,"ej,holla001,P,harvd901,Call at 1B Al Holland ejected by 1B umpire Doug Harvey","1981HOU.EVN.regular.comment.csv",9
"HOU198109140",60,"Debut game for Bert Pena","1981HOU.EVN.regular.comment.csv",10
"HOU198109220",62,"Debut game for Ken Smith","1981HOU.EVN.regular.comment.csv",11
"HOU198109220",64,"Debut game for Matt Sinatro","1981HOU.EVN.regular.comment.csv",12
"HOU198109270",36,"ej,loped001,P,westj901,Arguing balls and strikes $Dodgers Lopes ejected by HP umpire West for arguing balls and strikes from the dugout on Russell's strikeout","1981HOU.EVN.regular.comment.csv",13
