"DET200803310",21,"Royals center fielder David DeJesus left the game due to an injured foot/ankle","FILENAME_TX","LINE_NUMBER_CT"
"DET200803310",72,"Debut game for Clete Thomas","2008DET.EVA.regular.comment.csv",2
"DET200804150",52,"Tigers pitcher Nate Robertson left the game due to an injured back","2008DET.EVA.regular.comment.csv",3
"DET200804220",18,"fan interference","2008DET.EVA.regular.comment.csv",4
"DET200804240",35,"Tigers left fielder Jacque Jones left the game due to an injured knee","2008DET.EVA.regular.comment.csv",5
"DET200804270",56,"Angels third baseman Maicer Izturis left the game due to an injured back","2008DET.EVA.regular.comment.csv",6
"DET200805050",16,"Debut game for Matthew Joyce","2008DET.EVA.regular.comment.csv",7
"DET200805060",50,"Debut game for Freddy Dolsi $the 47th time that Ortiz and Ramirez have homered in the same game; Dolsi surrendered a homer on the first pitch he threw in the majors","2008DET.EVA.regular.comment.csv",8
"DET200805070",18,"fan interference","2008DET.EVA.regular.comment.csv",9
"DET200805100",28,"Yankees third baseman Wilson Betemit left the game due to an injured leg","2008DET.EVA.regular.comment.csv",10
"DET200805230",53,"ej,leylj801,M,wendh902,Umpire instructing player to be quiet $Tigers manager Leyland ejected by 3B umpire Wendelstedt who was telling Cabrera not to complain about strike call to Guillen while Cabrera was on 2nd base","2008DET.EVA.regular.comment.csv",11
"DET200805240",16,"Debut game for Matt Macri","2008DET.EVA.regular.comment.csv",12
"DET200806090",72,"Debut game for Mike Hollimon","2008DET.EVA.regular.comment.csv",13
"DET200806130",0,"$Start delayed by 1:05 for rain","2008DET.EVA.regular.comment.csv",14
"DET200806130",61,"$words exchanged, benches empty, no ejections","2008DET.EVA.regular.comment.csv",15
"DET200806140",1,"Debut game for Eddie Bonine","2008DET.EVA.regular.comment.csv",16
"DET200806250",29,"ej,thamm001,P,bellw901,Called third strike Tigers Marcus Thames ejected by HP umpire Wally Bell","2008DET.EVA.regular.comment.csv",17
