"WS1193704300",0,"$8000 women attended Ladies Day"FILENAME_TX","LINE_NUMBER_CT"

"WS1193704300",18,"$Wild throw by shortstop allowed advances"1937.EDA.regular.comment.csv",2

"SLA193706061",11,"$Thomas injured by Higgins' liner off his shin"1937.EDA.regular.comment.csv",3

"WS1193706270",61,"$30 minute rain delay"1937.EDA.regular.comment.csv",4

"CHA193707112",18,"$17 minute rain delay"1937.EDA.regular.comment.csv",5

"SLA193707042",68,"$Walker dropped Davis's fly ball. Davis tried to take second on the play, but Carey was there, and Davis was out trying to get back to first base."1937.EDA.regular.comment.csv",6

"WS1193705170",67,"$Ferrell hurt finger on swing by Lewis"1937.EDA.regular.comment.csv",7

"DET193708310",34,"$Simmons cut his finger sliding into second base"1937.EDA.regular.comment.csv",8

"DET193708310",65,"$This was Rudy York's 18th home run in August, breaking Babe Ruth's record for home runs in a calendar month."1937.EDA.regular.comment.csv",9

"BOS193708012",83,"$Game called for curfew"1937.EDA.regular.comment.csv",10

"WS1193708130",50,"$Ostermueller injured on last pitch to Ferrell"1937.EDA.regular.comment.csv",11

"WS1193709210",41,"$Almada tried for a shoestring catch and missed"1937.EDA.regular.comment.csv",12

"WS1193708151",14,"$Red Sox got Stone in rundown and he scored when 3bman dropped the ball trying to make tag"1937.EDA.regular.comment.csv",13

"WS1193708151",55,"ej,myerb103,P,hubbc901,Call at 3B (Threw dirt) $Myer ejected by 3b umpire Hubbard for throwing two handsful of dirt at him after being called out on steal attempt"1937.EDA.regular.comment.csv",14

