"ATL201904010",28,"Mound Visit"FILENAME_TX","LINE_NUMBER_CT"

"ATL201904010",44,"Mound Visit"2019ATL.EVN.regular.comment.csv",2

"ATL201904010",52,"Mound Visit"2019ATL.EVN.regular.comment.csv",3

"ATL201904010",78,"Mound Visit"2019ATL.EVN.regular.comment.csv",4

"ATL201904030",26,"Mound Visit"2019ATL.EVN.regular.comment.csv",5

"ATL201904030",32,"Mound Visit"2019ATL.EVN.regular.comment.csv",6

"ATL201904030",49,"Mound Visit"2019ATL.EVN.regular.comment.csv",7

"ATL201904030",50,"Mound Visit"2019ATL.EVN.regular.comment.csv",8

"ATL201904030",51,"Injury Delay"2019ATL.EVN.regular.comment.csv",9

"ATL201904030",69,"Mound Visit"2019ATL.EVN.regular.comment.csv",10

"ATL201904030",71,"Mound Visit"2019ATL.EVN.regular.comment.csv",11

"ATL201904030",72,"Mound Visit"2019ATL.EVN.regular.comment.csv",12

"ATL201904030",77,"Mound Visit"2019ATL.EVN.regular.comment.csv",13

"ATL201904040",29,"Injury Delay $Braves challenged play at plate, claiming catcher blocked plate without ball; call was upheld - pickoff and caught stealing"2019ATL.EVN.regular.comment.csv",14

"ATL201904040",30,"Mound Visit"2019ATL.EVN.regular.comment.csv",15

"ATL201904040",36,"Mound Visit"2019ATL.EVN.regular.comment.csv",16

"ATL201904040",39,"Mound Visit"2019ATL.EVN.regular.comment.csv",17

"ATL201904040",45,"On-field Delay"2019ATL.EVN.regular.comment.csv",18

"ATL201904040",49,"On-field Delay"2019ATL.EVN.regular.comment.csv",19

"ATL201904040",71,"Mound Visit $Run scored by Acuna originally scored as earned, changed earned due to catcher's interference on 04-05-2019"2019ATL.EVN.regular.comment.csv",20

"ATL201904040",77,"Mound Visit"2019ATL.EVN.regular.comment.csv",21

"ATL201904040",78,"Mound Visit"2019ATL.EVN.regular.comment.csv",22

"ATL201904050",29,"Mound Visit"2019ATL.EVN.regular.comment.csv",23

"ATL201904050",31,"Mound Visit"2019ATL.EVN.regular.comment.csv",24

"ATL201904050",64,"Mound Visit"2019ATL.EVN.regular.comment.csv",25

"ATL201904060",30,"Mound Visit"2019ATL.EVN.regular.comment.csv",26

"ATL201904060",31,"Injury Delay"2019ATL.EVN.regular.comment.csv",27

"ATL201904060",34,"$McCann left with injured leg"2019ATL.EVN.regular.comment.csv",28

"ATL201904060",43,"Injury Delay Mound Visit"2019ATL.EVN.regular.comment.csv",29

"ATL201904060",64,"Mound Visit"2019ATL.EVN.regular.comment.csv",30

"ATL201904060",71,"Mound Visit"2019ATL.EVN.regular.comment.csv",31

"ATL201904060",74,"Mound Visit"2019ATL.EVN.regular.comment.csv",32

"ATL201904060",77,"Mound Visit"2019ATL.EVN.regular.comment.csv",33

"ATL201904070",15,"Mound Visit"2019ATL.EVN.regular.comment.csv",34

"ATL201904070",27,"Mound Visit"2019ATL.EVN.regular.comment.csv",35

"ATL201904070",45,"$Fan interference"2019ATL.EVN.regular.comment.csv",36

"ATL201904070",56,"Mound Visit"2019ATL.EVN.regular.comment.csv",37

"ATL201904070",68,"Mound Visit"2019ATL.EVN.regular.comment.csv",38

"ATL201904110",10,"Mound Visit"2019ATL.EVN.regular.comment.csv",39

"ATL201904110",27,"Injury Delay"2019ATL.EVN.regular.comment.csv",40

"ATL201904110",43,"Mound Visit"2019ATL.EVN.regular.comment.csv",41

"ATL201904110",55,"Mound Visit"2019ATL.EVN.regular.comment.csv",42

"ATL201904110",59,"Mound Visit"2019ATL.EVN.regular.comment.csv",43

"ATL201904110",67,"Mound Visit"2019ATL.EVN.regular.comment.csv",44

"ATL201904110",68,"ej,snitb801,M,belld901,Arguing check swing $Atlanta manager Snitker ejected by plate umpire Bellino for arguing check swing strike call for strike 2 on Culberson"2019ATL.EVN.regular.comment.csv",45

"ATL201904110",70,"Mound Visit"2019ATL.EVN.regular.comment.csv",46

"ATL201904110",81,"Mound Visit"2019ATL.EVN.regular.comment.csv",47

"ATL201904120",15,"Mound Visit"2019ATL.EVN.regular.comment.csv",48

"ATL201904120",37,"Mound Visit"2019ATL.EVN.regular.comment.csv",49

"ATL201904120",38,"Mound Visit"2019ATL.EVN.regular.comment.csv",50

"ATL201904120",63,"$Braves challenged call that Broxton was safe at 1st; call was overturned - ground out"2019ATL.EVN.regular.comment.csv",51

"ATL201904130",3,"Mound Visit"2019ATL.EVN.regular.comment.csv",52

"ATL201904130",10,"Mound Visit"2019ATL.EVN.regular.comment.csv",53

"ATL201904130",11,"Mound Visit"2019ATL.EVN.regular.comment.csv",54

"ATL201904130",11,"ej,callm001,M,marqa901,Arguing balls and strikes $New York manager Mickey Callaway ejected by HP umpire Marquez for arguing balls and strikes"2019ATL.EVN.regular.comment.csv",55

"ATL201904130",17,"Mound Visit"2019ATL.EVN.regular.comment.csv",56

"ATL201904130",19,"Mound Visit"2019ATL.EVN.regular.comment.csv",57

"ATL201904130",27,"Mound Visit"2019ATL.EVN.regular.comment.csv",58

"ATL201904130",42,"$Mets challenged call that Lagares was out at 2nd; call was upheld - out on pickoff"2019ATL.EVN.regular.comment.csv",59

"ATL201904130",74,"Mound Visit"2019ATL.EVN.regular.comment.csv",60

"ATL201904130",75,"Mound Visit"2019ATL.EVN.regular.comment.csv",61

