"PHI201903280",13,"Mound Visit"FILENAME_TX","LINE_NUMBER_CT"

"PHI201903280",28,"Mound Visit"2019PHI.EVN.regular.comment.csv",2

"PHI201903280",34,"Mound Visit"2019PHI.EVN.regular.comment.csv",3

"PHI201903280",52,"Mound Visit"2019PHI.EVN.regular.comment.csv",4

"PHI201903280",53,"Mound Visit"2019PHI.EVN.regular.comment.csv",5

"PHI201903280",57,"Mound Visit"2019PHI.EVN.regular.comment.csv",6

"PHI201903280",58,"Mound Visit"2019PHI.EVN.regular.comment.csv",7

"PHI201903280",63,"Mound Visit"2019PHI.EVN.regular.comment.csv",8

"PHI201903300",7,"$Braves challenged call that Segura was safe at 3rd; call was overturned - out advancing to complete double play"2019PHI.EVN.regular.comment.csv",9

"PHI201903300",27,"Mound Visit"2019PHI.EVN.regular.comment.csv",10

"PHI201903300",37,"Mound Visit"2019PHI.EVN.regular.comment.csv",11

"PHI201903300",40,"Mound Visit"2019PHI.EVN.regular.comment.csv",12

"PHI201903300",43,"Mound Visit"2019PHI.EVN.regular.comment.csv",13

"PHI201903300",48,"Mound Visit"2019PHI.EVN.regular.comment.csv",14

"PHI201903300",52,"Mound Visit $Braves challenged call that Swanson was out at 1st to complete double play; call was overturned - safe at 1st"2019PHI.EVN.regular.comment.csv",15

"PHI201903300",56,"Mound Visit"2019PHI.EVN.regular.comment.csv",16

"PHI201903300",58,"Mound Visit"2019PHI.EVN.regular.comment.csv",17

"PHI201903300",63,"Mound Visit"2019PHI.EVN.regular.comment.csv",18

"PHI201903300",67,"Mound Visit"2019PHI.EVN.regular.comment.csv",19

"PHI201903300",70,"Mound Visit"2019PHI.EVN.regular.comment.csv",20

"PHI201903300",72,"Mound Visit"2019PHI.EVN.regular.comment.csv",21

"PHI201903300",75,"Mound Visit"2019PHI.EVN.regular.comment.csv",22

"PHI201903300",78,"Mound Visit"2019PHI.EVN.regular.comment.csv",23

"PHI201903310",3,"Mound Visit"2019PHI.EVN.regular.comment.csv",24

"PHI201903310",7,"Mound Visit"2019PHI.EVN.regular.comment.csv",25

"PHI201903310",9,"Mound Visit"2019PHI.EVN.regular.comment.csv",26

"PHI201903310",15,"$Phillies challenged call that McCann was hit by pitch; call was upheld - hit by pitch"2019PHI.EVN.regular.comment.csv",27

"PHI201903310",30,"Mound Visit"2019PHI.EVN.regular.comment.csv",28

"PHI201903310",46,"Mound Visit"2019PHI.EVN.regular.comment.csv",29

"PHI201903310",48,"Mound Visit"2019PHI.EVN.regular.comment.csv",30

"PHI201903310",64,"ej,carls002,P,drakr901,Intentionally HBP $Braves pitcher Carle ejected by HP umpire Drake foro intentionally hitting Hoskins after home run"2019PHI.EVN.regular.comment.csv",31

"PHI201904050",0,"$Steady light rain througout game"2019PHI.EVN.regular.comment.csv",32

"PHI201904050",9,"Mound Visit"2019PHI.EVN.regular.comment.csv",33

"PHI201904050",10,"Mound Visit"2019PHI.EVN.regular.comment.csv",34

"PHI201904050",11,"Mound Visit"2019PHI.EVN.regular.comment.csv",35

"PHI201904050",35,"Mound Visit"2019PHI.EVN.regular.comment.csv",36

"PHI201904050",52,"Mound Visit"2019PHI.EVN.regular.comment.csv",37

"PHI201904050",53,"Mound Visit"2019PHI.EVN.regular.comment.csv",38

"PHI201904050",65,"Mound Visit"2019PHI.EVN.regular.comment.csv",39

"PHI201904050",72,"Mound Visit"2019PHI.EVN.regular.comment.csv",40

"PHI201904060",20,"Mound Visit"2019PHI.EVN.regular.comment.csv",41

"PHI201904060",48,"Mound Visit"2019PHI.EVN.regular.comment.csv",42

"PHI201904060",50,"Mound Visit"2019PHI.EVN.regular.comment.csv",43

"PHI201904060",66,"Mound Visit"2019PHI.EVN.regular.comment.csv",44

"PHI201904060",70,"Mound Visit"2019PHI.EVN.regular.comment.csv",45

"PHI201904060",72,"Mound Visit"2019PHI.EVN.regular.comment.csv",46

"PHI201904070",46,"Mound Visit"2019PHI.EVN.regular.comment.csv",47

"PHI201904070",54,"Mound Visit"2019PHI.EVN.regular.comment.csv",48

"PHI201904070",58,"Mound Visit"2019PHI.EVN.regular.comment.csv",49

"PHI201904070",63,"Mound Visit"2019PHI.EVN.regular.comment.csv",50

"PHI201904070",63,"Mound Visit"2019PHI.EVN.regular.comment.csv",51

"PHI201904070",64,"Mound Visit"2019PHI.EVN.regular.comment.csv",52

"PHI201904080",46,"Mound Visit"2019PHI.EVN.regular.comment.csv",53

"PHI201904080",53,"Mound Visit"2019PHI.EVN.regular.comment.csv",54

"PHI201904080",55,"Mound Visit"2019PHI.EVN.regular.comment.csv",55

"PHI201904080",63,"$originally scored E5, changed to single on 04-10-2019"2019PHI.EVN.regular.comment.csv",56

"PHI201904080",66,"Mound Visit"2019PHI.EVN.regular.comment.csv",57

"PHI201904080",67,"Mound Visit"2019PHI.EVN.regular.comment.csv",58

"PHI201904090",22,"Mound Visit"2019PHI.EVN.regular.comment.csv",59

"PHI201904090",35,"Mound Visit"2019PHI.EVN.regular.comment.csv",60

"PHI201904090",39,"Mound Visit"2019PHI.EVN.regular.comment.csv",61

"PHI201904090",47,"Mound Visit"2019PHI.EVN.regular.comment.csv",62

"PHI201904090",56,"Mound Visit"2019PHI.EVN.regular.comment.csv",63

"PHI201904090",65,"Mound Visit Mound Visit"2019PHI.EVN.regular.comment.csv",64

"PHI201904090",66,"Mound Visit"2019PHI.EVN.regular.comment.csv",65

"PHI201904090",73,"Mound Visit"2019PHI.EVN.regular.comment.csv",66

"PHI201904090",76,"Mound Visit"2019PHI.EVN.regular.comment.csv",67

"PHI201904090",78,"Mound Visit"2019PHI.EVN.regular.comment.csv",68

"PHI201904090",82,"$Umpire review of Soto's ball; call was upheld - homer"2019PHI.EVN.regular.comment.csv",69

"PHI201904100",2,"Mound Visit"2019PHI.EVN.regular.comment.csv",70

"PHI201904100",4,"Mound Visit"2019PHI.EVN.regular.comment.csv",71

