"BAL201205080",67,"$Josh Hamilton becomes the 16th player to hit four homers in one game and the first since Carlos Delgado in 2003; this is the first time the Rangers franchise has been involved in one; Hamilton is also the seventh player with five extra base hits in a game; his 18 total bases set a new AL record these games on either side","FILENAME_TX","LINE_NUMBER_CT"
"BAL201205101",4,"$Ryan Flaherty's first major league homer","2012BAL.EVA.regular.comment.csv",2
"BAL201205101",6,"$the first three Orioles batters each homered; this is the first time an American League team has performed this feat and the fourth overall","2012BAL.EVA.regular.comment.csv",3
"BAL201205101",59,"$originally scored as single, RBI and earned, changed to error, no RBI and unearned on 5-14-2012","2012BAL.EVA.regular.comment.csv",4
"BAL201205120",36,"$Elliott Johnson called out for running into his own bunt","2012BAL.EVA.regular.comment.csv",5
"BAL201205140",53,"Yankees pitcher Ivan Nova left the game due to an injured ankle","2012BAL.EVA.regular.comment.csv",6
"BAL201205260",19,"Royals center fielder Jarrod Dyson left the game due to an injured leg","2012BAL.EVA.regular.comment.csv",7
"BAL201206090",22,"$Originally scored as single, changed to error on 6-13-2012; makes one run unearned","2012BAL.EVA.regular.comment.csv",8
"BAL201206120",55,"$Endy Chavez hit 1B awkwardly and strained his right hamstring; he made it to 2B, but had to leave game","2012BAL.EVA.regular.comment.csv",9
"BAL201206270",6,"$Mike Trout caught the ball over the top of the wall","2012BAL.EVA.regular.comment.csv",10
"BAL201206270",42,"Orioles designated hitter Nick Johnson left the game due to an injured wrist","2012BAL.EVA.regular.comment.csv",11
"BAL201206290",43,"Indians designated hitter Lonnie Chisenhall left the game due to an injured hand","2012BAL.EVA.regular.comment.csv",12
"BAL201207130",26,"Orioles pitcher Jason Hammel left the game due to an injured knee","2012BAL.EVA.regular.comment.csv",13
"BAL201207130",44,"$Quinton Berry caught the ball over the top of the wall, taking it away from a fan with a glove","2012BAL.EVA.regular.comment.csv",14
"BAL201207150",45,"Orioles second baseman Robert Andino left the game due to an injured shoulder","2012BAL.EVA.regular.comment.csv",15
"BAL201207270",39,"replay,5,reddj001,OAK,mcclt901,BAL12,O,N,I,,H $Josh Reddick's fly ball hit the top of the wall in CF and caromed back onto the field; it was ruled in play but Athletics manager Bob Melvin asked about the ruling so crew chief Tim McClelland watched the replay and upheld the call","2012BAL.EVA.regular.comment.csv",16
"BAL201208070",119,"ej,wedge001,M,knigb901,Call at 1B $1B umpire Brian Knight ruled that Mike Carp's foot was off the 1B bag when he stretched for the throw; Mariners Manager Eric Wedge ejected by Knight","2012BAL.EVA.regular.comment.csv",17
"BAL201208100",63,"Royals center fielder Jarrod Dyson left the game due to an injured ankle","2012BAL.EVA.regular.comment.csv",18
"BAL201208110",48,"$delayed double steal","2012BAL.EVA.regular.comment.csv",19
"BAL201208120",16,"replay,2,machm001,BAL,tscht901,BAL12,O,Y,I,,H $Manny Machado's fly hit the top of the wall and caromed off the back wall onto the field; the back wall is behind the barrier and a homer; the ball was ruled in play by 1B umpire and crew chief Tim Tschida; the umpires huddled immediately; Tschida watched the replay and overturned the call to a home run","2012BAL.EVA.regular.comment.csv",20
"BAL201208150",61,"ej,gonza003,P,everm901,Quick pitch ej,valeb102,M,everm901,Quick pitch $Adrian Gonzalez thought that Pedro Strop quick-pitched him and complained after taking an emergency swing at the fourth pitch; when Gonzalez returned to the bench, he continued yelling and was ejected by HP umpire Mike Everitt; Red Sox manager Bobby Valentine went out and talked with Everitt and was also ejected","2012BAL.EVA.regular.comment.csv",21
"BAL201208250",22,"Blue Jays right fielder Jose Bautista left the game due to an injured wrist","2012BAL.EVA.regular.comment.csv",22
"BAL201208250",41,"replay,5,hardj003,BAL,scotd901,BAL12,O,N,I,,H $J.J. Hardy's fly ball hit the yellow vertical stripe on the RF wall; each runner advanced two bases but 1B umpire CB Bucknor seemed to signal home run; everyone acted as if it was ruled in play; the umpires huddled and crew chief Dale Scott watched the replay and upheld the call of ball in play","2012BAL.EVA.regular.comment.csv",23
"BAL201208300",26,"replay,3,reynm001,BAL,mcclt901,BAL12,I,N,I,,H $Mark Reynolds fly hit the top of the wall in LF and caromed back onto the field; the ball appeared to be touched by a fan reaching over the fence; the ball was ruled in play but the Orioles asked about the call; crew chief Tim McClelland watched the replay and upheld the call; even though the fan touched the ball in the playing area, there was no fielder close enough to make a play on the ball; Reynolds would have been awarded a double, which is where he reached","2012BAL.EVA.regular.comment.csv",24
"BAL201209080",39,"$Nick Markakis left with a broken left thumb","2012BAL.EVA.regular.comment.csv",25
"BAL201209080",74,"$Teixeira chose to dive into base and had his hand on the bag just before the throw arrived, but umpire Meals called him out","2012BAL.EVA.regular.comment.csv",26
"BAL201209090",71,"$originally scored E3, changed to double on 9-14-2012, changes his run to earned","2012BAL.EVA.regular.comment.csv",27
"BAL201209110",27,"Orioles pitcher Jason Hammel left the game due to an injured knee","2012BAL.EVA.regular.comment.csv",28
"BAL201209110",57,"Rays third baseman Ryan Roberts left the game due to an injured arm","2012BAL.EVA.regular.comment.csv",29
"BAL201209130",85,"Rays third baseman Ryan Roberts left the game due to an injured leg after the second pitch","2012BAL.EVA.regular.comment.csv",30
