"TBA200004110",71,"ej,vaugg001,P,millb901,Balls and strikes Greg Vaughn ejected by HP umpire Bill Miller"FILENAME_TX","LINE_NUMBER_CT"

"TBA200004130",98,"ej,manuj101,M,millb901,Call at 2B White Sox manager Jerry Manuel ejected by 2B umpire Bill Miller"2000TBA.EVA.regular.comment.csv",2

"TBA200004210",82,"$second back-to-back homers in game for Vaughn and Salmon"2000TBA.EVA.regular.comment.csv",3

"TBA200005020",23,"ej,rothl101,M,randt901,Checked swing $Tampa manager Rothschild ejected by HP umpire Randazzo for arguing Williams had not swung at strike 3"2000TBA.EVA.regular.comment.csv",4

"TBA200005140",41,"ej,rothl101,M,everm901,Call at 2B Devil Rays Manager Rothschild ejected by 2B umpire Mike Everitt"2000TBA.EVA.regular.comment.csv",5

"TBA200005240",77,"DWS: originally scored E6"2000TBA.EVA.regular.comment.csv",6

"TBA200005280",78,"ej,mesaj001,P,demud901,Throwing at batter Jose Mesa ejected by HP umpire Dana DeMuth"2000TBA.EVA.regular.comment.csv",7

"TBA200005300",56,"DV removed E6 from 2-H"2000TBA.EVA.regular.comment.csv",8

"TBA200005310",70,"$originally ruled 143 ground out, then 3B umpire John Shulock overruled, saying Fred McGriff was off the bag (after Baltimore appeal); Rays had left field, 9 minute argument, then resume game"2000TBA.EVA.regular.comment.csv",9

"TBA200006090",3,"SS ADDS 1st inning Winn badj 12/19/00"2000TBA.EVA.regular.comment.csv",10

"TBA200006090",80,"DWS: originally scored E4"2000TBA.EVA.regular.comment.csv",11

"TBA200006110",76,"ej,boner001,P,danlk901,Balls and strikes Ricky Bones ejected by HP umpire Kerwin Danley for asking about a pitch after backing up the plate on the wild pitch"2000TBA.EVA.regular.comment.csv",12

"TBA200006110",78,"$Fred McGriff rounded 1B too far and got in a rundown; Jose Guillen tried to score but catcher Mike Redmond blocked the plate and tagged Guillen; Guillen and Redmond exchanged words in the collision; Gerald Williams, who had scored on the play, stepped between the two and Guillen became animated; both dugouts emptied"2000TBA.EVA.regular.comment.csv",13

"TBA200006130",5,"SS ADDED BADJ 12/19/00"2000TBA.EVA.regular.comment.csv",14

"TBA200006130",21,"SS ADDED BADJ 12/19/00"2000TBA.EVA.regular.comment.csv",15

"TBA200006150",70,"$five man infield with Darin Erstad moving in"2000TBA.EVA.regular.comment.csv",16

"TBA200006270",5,"SS ADDED 1ST INN BADJ 12/19/00"2000TBA.EVA.regular.comment.csv",17

"TBA200006290",7,"SS ADDED 1ST INNING BADJ 12/19/00"2000TBA.EVA.regular.comment.csv",18

"TBA200006300",30,"Debut game for Craig Dingman"2000TBA.EVA.regular.comment.csv",19

"TBA200007010",24,"ej,hatcb001,C,buckc901,Checked swing $Orlando Hernandez, angry about Russ Johnson's double, threw a fastball inside to Randy Winn, who had to jump out of the way; many Devil Rays yelled at Hernandez from the bench; Hernandez stared at them until catcher Jorge Posada went to Hernandez and turned him away; Winn tried to check his swing on the 2-1 pitch, which was called a strike; Devils Rays 3B coach Billy Hatcher was ejected by 3B umpire CB Bucknor; Winn's at bat took about 10 minutes"2000TBA.EVA.regular.comment.csv",20

